ticker,strategy_type,timeframe,method,trial_number,composite_score,param_vwap_window,param_vwap_tol,param_vwap_mode,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,vwap,1D,DiffEvolution,0,68.267,200,0.0029829613752663,yearly,True,2224.19,1.147,1.913,37.37,72,34.72,,,,,,,,,
SBER,vwap,1D,DiffEvolution,1,7.855,101,0.0169232784816995,rolling,False,378.37,0.781,0.853,37.62,22,36.36,,,,,,,,,
SBER,vwap,1D,DiffEvolution,2,30.629,59,0.0076542291464284,yearly,True,1346.47,0.982,1.519,43.17,59,37.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,3,15.889,152,0.0121016434505581,rolling,False,562.65,0.924,1.035,32.72,16,37.5,,,,,,,,,
SBER,vwap,1D,DiffEvolution,4,12.574,126,0.0084157362589612,rolling,False,499.0,0.886,0.981,35.16,26,30.77,,,,,,,,,
SBER,vwap,1D,DiffEvolution,5,17.298,39,0.0140504706390202,yearly,True,896.35,0.864,1.321,44.77,51,35.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,6,10.206,87,0.0034460997357964,rolling,False,458.85,0.845,0.931,37.99,40,35.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,7,19.902,168,0.0185740245701745,yearly,True,1022.96,0.914,1.481,46.98,43,39.53,,,,,,,,,
SBER,vwap,1D,DiffEvolution,8,13.606,158,0.0066096305837854,rolling,True,696.41,0.836,1.193,42.79,41,29.27,,,,,,,,,
SBER,vwap,1D,DiffEvolution,9,18.771,71,0.0110686053987592,yearly,False,613.95,0.953,1.023,31.17,28,39.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,10,1.576,29,0.001634040640667,rolling,True,157.71,0.436,0.682,43.62,227,25.11,,,,,,,,,
SBER,vwap,1D,DiffEvolution,11,18.871,111,0.0155998341320082,yearly,False,647.31,0.995,1.153,34.13,24,45.83,,,,,,,,,
SBER,vwap,1D,DiffEvolution,12,36.989,142,0.0047689271625131,yearly,False,901.27,1.12,1.322,27.29,33,39.39,,,,,,,,,
SBER,vwap,1D,DiffEvolution,13,2.593,43,0.0199224008610472,rolling,True,262.09,0.536,0.853,54.17,76,36.84,,,,,,,,,
SBER,vwap,1D,DiffEvolution,14,21.307,91,0.0094493170557543,yearly,False,654.29,0.974,1.049,29.91,29,41.38,,,,,,,,,
SBER,vwap,1D,DiffEvolution,15,9.262,184,0.0150956844259053,rolling,True,498.69,0.737,1.044,39.68,31,32.26,,,,,,,,,
SBER,vwap,1D,DiffEvolution,16,21.028,179,0.009907109116204,yearly,False,647.73,0.971,1.045,29.91,28,39.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,17,2.78,97,0.0143775355815887,rolling,True,257.35,0.553,0.778,51.2,48,29.17,,,,,,,,,
SBER,vwap,1D,DiffEvolution,18,25.494,50,0.0053873410932719,yearly,False,746.11,1.022,1.104,29.91,32,40.62,,,,,,,,,
SBER,vwap,1D,DiffEvolution,19,15.459,137,0.0193416829342022,rolling,True,740.51,0.844,1.214,40.43,30,40.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,20,12.514,118,0.0011020196378231,rolling,True,660.09,0.808,1.142,42.62,71,25.35,,,,,,,,,
SBER,vwap,1D,DiffEvolution,21,15.462,25,0.0162437517689541,yearly,False,555.48,0.95,1.083,34.13,23,43.48,,,,,,,,,
SBER,vwap,1D,DiffEvolution,22,4.411,67,0.0059170035654678,rolling,True,312.93,0.586,0.858,41.57,83,26.51,,,,,,,,,
SBER,vwap,1D,DiffEvolution,23,16.745,166,0.0115751125030219,yearly,False,566.72,0.921,0.983,31.17,28,39.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,24,20.172,173,0.0040522828642278,rolling,False,591.51,0.945,1.055,27.71,23,30.43,,,,,,,,,
SBER,vwap,1D,DiffEvolution,25,19.902,80,0.0180043415380641,yearly,True,1022.96,0.914,1.481,46.98,43,39.53,,,,,,,,,
SBER,vwap,1D,DiffEvolution,26,8.409,32,0.0088856866424903,rolling,False,317.58,0.725,0.842,27.38,70,38.57,,,,,,,,,
SBER,vwap,1D,DiffEvolution,27,16.88,131,0.013321359379217,yearly,True,856.31,0.851,1.301,43.17,53,33.96,,,,,,,,,
SBER,vwap,1D,DiffEvolution,28,30.099,144,0.0069737966908141,yearly,True,1327.24,0.979,1.513,43.17,61,37.7,,,,,,,,,
SBER,vwap,1D,DiffEvolution,29,4.848,63,0.0125970794204622,rolling,False,282.07,0.673,0.74,39.16,37,40.54,,,,,,,,,
SBER,vwap,1D,DiffEvolution,30,61.294,105,0.002438818288967,yearly,True,2043.33,1.121,1.869,37.37,76,32.89,,,,,,,,,
SBER,vwap,1D,DiffEvolution,31,13.461,192,0.0175781947737559,rolling,False,458.16,0.855,0.945,29.1,15,33.33,,,,,,,,,
SBER,vwap,1D,DiffEvolution,32,14.439,190,0.0080477350158616,rolling,False,488.59,0.883,0.964,29.88,18,33.33,,,,,,,,,
SBER,vwap,1D,DiffEvolution,33,21.01,108,0.0118942614588886,yearly,True,1010.02,0.898,1.372,43.17,53,37.74,,,,,,,,,
SBER,vwap,1D,DiffEvolution,34,13.325,61,0.0032203481476753,rolling,False,489.6,0.881,1.039,32.37,53,35.85,,,,,,,,,
SBER,vwap,1D,DiffEvolution,35,25.419,147,0.0165739809190854,yearly,True,1175.91,0.955,1.549,44.18,43,39.53,,,,,,,,,
SBER,vwap,1D,DiffEvolution,36,71.015,127,0.0039433598611503,yearly,True,2198.17,1.143,1.906,35.38,67,35.82,,,,,,,,,
SBER,vwap,1D,DiffEvolution,37,5.571,35,0.0184843849046155,rolling,False,280.83,0.682,0.806,34.38,44,43.18,,,,,,,,,
SBER,vwap,1D,DiffEvolution,38,31.705,77,0.0084750778293237,yearly,True,1382.51,0.99,1.53,43.17,57,38.6,,,,,,,,,
SBER,vwap,1D,DiffEvolution,39,14.965,175,0.0135092841964215,rolling,False,518.85,0.895,0.998,31.03,16,43.75,,,,,,,,,
SBER,vwap,1D,DiffEvolution,40,35.475,162,0.0021758045107126,yearly,False,873.75,1.108,1.307,27.29,39,33.33,,,,,,,,,
SBER,vwap,1D,DiffEvolution,41,1.092,69,0.0155410702722147,rolling,True,146.3,0.433,0.619,57.99,61,29.51,,,,,,,,,
SBER,vwap,1D,DiffEvolution,42,21.877,21,0.0066986880088225,yearly,False,666.32,0.982,1.056,29.91,31,38.71,,,,,,,,,
SBER,vwap,1D,DiffEvolution,43,4.141,120,0.0105707633160054,rolling,True,299.83,0.592,0.833,42.86,52,28.85,,,,,,,,,
SBER,vwap,1D,DiffEvolution,44,7.691,135,0.0097980326609686,rolling,True,507.68,0.736,1.057,48.58,48,27.08,,,,,,,,,
SBER,vwap,1D,DiffEvolution,45,16.495,53,0.0148577154129743,yearly,False,560.69,0.917,0.98,31.17,25,44.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,46,11.388,95,0.0049768868647515,rolling,True,652.98,0.8,1.134,45.87,59,28.81,,,,,,,,,
SBER,vwap,1D,DiffEvolution,47,19.273,183,0.0195294724190607,yearly,False,581.99,0.965,1.106,29.14,20,50.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,48,13.517,186,0.0054717632438987,rolling,True,641.3,0.81,1.146,38.43,41,29.27,,,,,,,,,
SBER,vwap,1D,DiffEvolution,49,18.329,88,0.0188484806558117,yearly,False,561.05,0.952,1.089,29.14,22,45.45,,,,,,,,,
SBER,vwap,1D,DiffEvolution,50,9.861,46,0.0104535127906128,rolling,True,606.71,0.741,1.187,45.59,92,34.78,,,,,,,,,
SBER,vwap,1D,DiffEvolution,51,15.172,139,0.0143141364473849,yearly,False,527.81,0.896,0.955,31.17,26,42.31,,,,,,,,,
SBER,vwap,1D,DiffEvolution,52,23.134,114,0.006129605337046,yearly,False,694.01,0.997,1.073,29.91,31,41.94,,,,,,,,,
SBER,vwap,1D,DiffEvolution,53,2.69,26,0.0111775465216487,rolling,True,220.13,0.498,0.783,40.75,138,36.23,,,,,,,,,
SBER,vwap,1D,DiffEvolution,54,21.727,74,0.0014460977036505,yearly,False,707.88,1.031,1.207,33.59,46,30.43,,,,,,,,,
SBER,vwap,1D,DiffEvolution,55,8.506,156,0.0160104248253628,rolling,True,536.22,0.754,1.077,47.53,32,34.38,,,,,,,,,
SBER,vwap,1D,DiffEvolution,56,29.686,171,0.0091184358755126,yearly,True,1314.41,0.975,1.507,43.17,57,38.6,,,,,,,,,
SBER,vwap,1D,DiffEvolution,57,10.175,85,0.0129767038859426,rolling,False,457.81,0.845,0.929,38.02,26,42.31,,,,,,,,,
SBER,vwap,1D,DiffEvolution,58,67.451,42,0.0044504308030009,yearly,True,2111.88,1.13,1.886,35.38,67,35.82,,,,,,,,,
SBER,vwap,1D,DiffEvolution,59,7.606,124,0.0177923220070078,rolling,False,348.58,0.755,0.821,34.6,24,33.33,,,,,,,,,
SBER,vwap,1D,DiffEvolution,60,16.706,154,0.0025027996636927,rolling,False,561.57,0.924,1.037,31.06,30,30.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,61,25.419,56,0.017032373056747,yearly,True,1175.91,0.955,1.549,44.18,43,39.53,,,,,,,,,
SBER,vwap,1D,DiffEvolution,62,11.55,103,0.0074664215417578,rolling,False,453.51,0.842,0.924,33.06,26,34.62,,,,,,,,,
SBER,vwap,1D,DiffEvolution,63,20.001,196,0.0125120795592665,yearly,True,972.33,0.888,1.355,43.17,53,37.74,,,,,,,,,
SBER,vwap,1D,DiffEvolution,64,71.015,189,0.0039433598611503,yearly,True,2198.17,1.143,1.906,35.38,67,35.82,,,,,,,,,
SBER,vwap,1D,DiffEvolution,65,25.419,101,0.0169232784816995,yearly,True,1175.91,0.955,1.549,44.18,43,39.53,,,,,,,,,
SBER,vwap,1D,DiffEvolution,66,18.329,144,0.0184352982801842,yearly,False,561.05,0.952,1.089,29.14,22,45.45,,,,,,,,,
SBER,vwap,1D,DiffEvolution,67,8.757,92,0.0128832355531652,rolling,False,428.0,0.825,0.903,40.32,25,44.0,,,,,,,,,
SBER,vwap,1D,DiffEvolution,68,12.477,126,0.0025678752428446,rolling,True,680.21,0.828,1.186,45.14,59,27.12,,,,,,,,,
SBER,vwap,1D,DiffEvolution,69,3.193,62,0.0163570960131092,rolling,True,316.17,0.584,0.928,57.82,66,33.33,,,,,,,,,
SBER,vwap,1D,DiffEvolution,70,73.821,103,0.0050371696233264,yearly,True,2152.89,1.136,1.895,33.13,65,36.92,,,,,,,,,
SBER,vwap,1D,DiffEvolution,71,7.175,80,0.0064906492357897,rolling,True,495.89,0.722,1.04,49.9,72,30.56,,,,,,,,,
SBER,vwap,1D,DiffEvolution,72,10.706,158,0.0130772611170996,rolling,True,633.68,0.803,1.148,47.53,32,34.38,,,,,,,,,
SBER,vwap,1D,DiffEvolution,73,18.771,47,0.0110686053987592,yearly,False,613.95,0.953,1.023,31.17,28,39.29,,,,,,,,,
SBER,vwap,1D,DiffEvolution,74,37.706,127,0.001634040640667,yearly,True,1498.33,1.026,1.691,40.77,88,29.55,,,,,,,,,
SBER,vwap,1D,DiffEvolution,75,21.292,111,0.0095963726165218,yearly,False,653.84,0.974,1.049,29.91,29,41.38,,,,,,,,,
SBER,vwap,1D,DiffEvolution,76,22.367,179,0.0061627935175712,yearly,False,677.13,0.988,1.062,29.91,31,41.94,,,,,,,,,
SBER,vwap,1D,DiffEvolution,77,6.365,43,0.0082603463947394,rolling,True,439.54,0.658,1.052,45.44,112,33.04,,,,,,,,,
SBER,vwap,1D,DiffEvolution,78,68.267,55,0.002923619211166,yearly,True,2224.19,1.147,1.913,37.37,72,34.72,,,,,,,,,
SBER,vwap,1D,DiffEvolution,79,6.124,74,0.0152061217697583,rolling,False,343.43,0.747,0.825,41.89,29,44.83,,,,,,,,,
SBER,vwap,1D,DiffEvolution,80,69.19,179,0.0032490331000205,yearly,True,2248.36,1.15,1.918,37.37,71,35.21,,,,,,,,,
SBER,vwap,1D,DiffEvolution,81,68.267,152,0.0027785904213478,yearly,True,2224.19,1.147,1.913,37.37,72,34.72,,,,,,,,,
SBER,vwap,1D,DiffEvolution,82,15.172,113,0.0140531747856853,yearly,False,527.81,0.896,0.955,31.17,26,42.31,,,,,,,,,
