ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
SBER,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,77.651,"{""vwap_window"":80,""vwap_tol"":0.0033654897101561866,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,103,67,25,41,37.31,1120510.41,-108068.85,59.81,,35.38,10576204.589999998,-265500.1200000001,2358.19,1.16,1.94,0.018,0.06,38,27,3,24,11.11,30649.8,-17949.53,17.33,,40.56,52386.0400000001,-72841.93000000001,-33.88,-1.29,-1.62,0.0115,-0.04,141,93,28,65,30.11,1079738.32,-235003.31,48.19,,48.31,10576204.589999998,-1758222.3900000004,1495.75,0.94,1.52,0.0173,0.03
SBER,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,77.651,"{""vwap_window"":169,""vwap_tol"":0.0033654897101561866,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,103,67,25,41,37.31,1120510.41,-108068.85,59.81,,35.38,10576204.589999998,-265500.1200000001,2358.19,1.16,1.94,0.018,0.06,38,27,3,24,11.11,30649.8,-17949.53,17.33,,40.56,52386.0400000001,-72841.93000000001,-33.88,-1.29,-1.62,0.0115,-0.04,141,93,28,65,30.11,1079738.32,-235003.31,48.19,,48.31,10576204.589999998,-1758222.3900000004,1495.75,0.94,1.52,0.0173,0.03
SBER,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,77.651,"{""vwap_window"":86,""vwap_tol"":0.0033666778300098215,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,103,67,25,41,37.31,1120510.41,-108068.85,59.81,,35.38,10576204.589999998,-265500.1200000001,2358.19,1.16,1.94,0.018,0.06,38,27,3,24,11.11,30649.8,-17949.53,17.33,,40.56,52386.0400000001,-72841.93000000001,-33.88,-1.29,-1.62,0.0115,-0.04,141,93,28,65,30.11,1079738.32,-235003.31,48.19,,48.31,10576204.589999998,-1758222.3900000004,1495.75,0.94,1.52,0.0173,0.03
SBER,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,77.651,"{""vwap_window"":172,""vwap_tol"":0.0033654897101561866,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,103,67,25,41,37.31,1120510.41,-108068.85,59.81,,35.38,10576204.589999998,-265500.1200000001,2358.19,1.16,1.94,0.018,0.06,38,27,3,24,11.11,30649.8,-17949.53,17.33,,40.56,52386.0400000001,-72841.93000000001,-33.88,-1.29,-1.62,0.0115,-0.04,141,93,28,65,30.11,1079738.32,-235003.31,48.19,,48.31,10576204.589999998,-1758222.3900000004,1495.75,0.94,1.52,0.0173,0.03
SBER,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,77.651,"{""vwap_window"":86,""vwap_tol"":0.0033527742934157485,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,103,67,25,41,37.31,1120510.41,-108068.85,59.81,,35.38,10576204.589999998,-265500.1200000001,2358.19,1.16,1.94,0.018,0.06,38,27,3,24,11.11,30649.8,-17949.53,17.33,,40.56,52386.0400000001,-72841.93000000001,-33.88,-1.29,-1.62,0.0115,-0.04,141,93,28,65,30.11,1079738.32,-235003.31,48.19,,48.31,10576204.589999998,-1758222.3900000004,1495.75,0.94,1.52,0.0173,0.03
VKCO,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,10.991,"{""vwap_window"":28,""vwap_tol"":0.008,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,50,31,14,17,45.16,259102.2,-71855.94,32.45,,26.88,774032.8,-155370.6000000001,240.59,1.23,1.85,0.026,0.12,52,35,8,27,22.86,59921.42,-27036.6,12.57,,44.1,116557.69999999995,-65378.199999999946,-25.06,-0.45,-0.65,0.0187,-0.02,102,66,22,44,33.33,246445.75,-86082.49,22.44,,45.93,774032.8,-229859.1999999998,163.42,0.75,1.14,0.024,0.04
VKCO,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,10.103,"{""vwap_window"":27,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,53,31,14,17,45.16,250641.03,-72728.78,32.45,,26.88,743774.0000000001,-149272.2000000001,227.26,1.19,1.8,0.026,0.12,53,31,8,23,25.81,63744.7,-30135.7,14.19,,37.86,128928.79999999993,-68691.79999999994,-18.32,-0.27,-0.39,0.0188,-0.01,106,62,22,40,35.48,242551.29,-89436.37,23.89,,39.9,743774.0000000001,-231995.59999999983,175.87,0.77,1.18,0.0241,0.05
VKCO,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,9.402,"{""vwap_window"":29,""vwap_tol"":0.007,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,31,14,17,45.16,244179.4,-69140.67,32.45,,28.32,737002.8,-147945.6000000001,224.31,1.19,1.79,0.0261,0.11,51,37,8,28,21.62,60850.6,-25220.53,11.89,,44.37,119948.70000000003,-61471.10000000002,-21.94,-0.36,-0.53,0.0186,-0.02,100,68,22,45,32.35,234172.83,-78645.79,21.78,,46.2,737002.8,-205746.10000000006,161.27,0.74,1.14,0.024,0.04
VKCO,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,9.042,"{""vwap_window"":28,""vwap_tol"":0.007,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,50,33,15,18,45.45,220861.24,-66848.16,30.48,,26.88,706744.0000000001,-141847.20000000007,210.97,1.15,1.74,0.026,0.11,52,37,8,29,21.62,59532.87,-25558.3,11.89,,45.68,113708.00000000007,-65378.199999999946,-26.49,-0.49,-0.71,0.0186,-0.02,102,70,23,47,32.86,214829.63,-76217.01,21.16,,47.47,706744.0000000001,-209868.59999999983,135.89,0.68,1.05,0.024,0.03
VKCO,vwap,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,8.754,"{""vwap_window"":28,""vwap_tol"":0.01,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,51,31,14,17,45.16,239741.39,-71609.28,32.45,,28.32,713303.6000000001,-143193.6000000001,213.9,1.16,1.75,0.0261,0.11,51,31,7,23,22.58,71306.17,-30438.68,14.19,,38.03,117835.90000000002,-68691.79999999994,-20.09,-0.31,-0.45,0.0188,-0.02,102,62,21,40,33.87,241611.89,-87136.75,23.89,,40.07,713303.6000000001,-222512.59999999983,158.84,0.74,1.13,0.0241,0.04
