Тикер,Стратегия,TF,AllowShort,Период начало,Период окончание,"Доходность, %","Макс. просадка, %",Sharpe,Sortino,"Волатильность, %",Дней
SBER,Equity_EMA_Crossover_50_100_False (1D),1D,False,2014-01-06 00:00:00,2024-12-30 00:00:00,341.32,42.06,0.74,0.78,21.52,2759.0
SBER,Equity_EMA_Crossover_50_200_False (1D),1D,False,2014-01-06 00:00:00,2024-12-30 00:00:00,170.53,50.74,0.53,0.56,21.73,2759.0
SBER,Equity_EMA_Crossover_50_100_False (1h),1h,False,2014-01-06 00:00:00,2024-12-30 00:00:00,468.36,29.48,0.88,1.01,20.42,2759.0
SBER,Equity_EMA_Crossover_50_200_False (1h),1h,False,2014-01-06 00:00:00,2024-12-30 00:00:00,291.06,32.36,0.7,0.8,20.98,2759.0
SBER,Equity_EMA_Crossover_50_100_True (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,324.8,66.96,0.6,0.84,28.84,2759.0
SBER,Equity_EMA_Crossover_50_200_True (1D),1D,True,2014-01-06 00:00:00,2024-12-30 00:00:00,74.75,75.48,0.32,0.45,28.7,2759.0
SBER,Equity_EMA_Crossover_50_100_True (1h),1h,True,2014-01-06 00:00:00,2024-12-30 00:00:00,530.18,48.64,0.71,1.13,30.05,2759.0
SBER,Equity_EMA_Crossover_50_200_True (1h),1h,True,2014-01-06 00:00:00,2024-12-30 00:00:00,213.99,49.85,0.49,0.78,30.39,2759.0
SBER,Equity_LongTermHold (1D),1D,False,2014-01-06 00:00:00,2024-12-30 00:00:00,182.51,73.81,0.45,0.54,34.9,2759.0
SBER,Equity_RSI_30_70_14 (1D)_x,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-103.41,109.44,-0.45,-0.32,1367.47,2759.0
SBER,Equity_RSI_30_70_14 (1D)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-36.92,66.7,-0.01,-0.01,27.21,2759.0
SBER,Equity_RSI_20_80_14 (1D)_x,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-84.94,153.99,-0.14,-0.2,1053.32,2759.0
SBER,Equity_RSI_20_80_14 (1D)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,54.18,39.89,0.31,0.24,18.06,2759.0
SBER,Equity_RSI_30_70_14 (1h)_x,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-94.92,95.33,-0.55,-0.66,36.88,2759.0
SBER,Equity_RSI_30_70_14 (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-44.13,65.58,-0.05,-0.04,27.02,2759.0
SBER,Equity_RSI_20_80_14 (1h)_x,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-90.96,96.38,-0.31,-0.37,41.79,2759.0
SBER,Equity_RSI_20_80_14 (1h)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,-10.66,62.15,0.11,0.09,28.21,2759.0
SBER,Equity_MACD_12_26_9 (1D)_x,,,2014-01-06 00:00:00,2024-12-30 00:00:00,506.72,53.83,0.66,1.06,32.75,2759.0
SBER,Equity_MACD_12_26_9 (1D)_y,,,2014-01-06 00:00:00,2024-12-30 00:00:00,435.95,50.25,0.82,0.79,21.69,2759.0
