Тикер,Стратегия,TF,AllowShort,Период начало,Период окончание,"Доходность, %","Макс. просадка, %",Sharpe,Sortino,"Волатильность, %",Дней
SBER,Equity_EMA_Crossover_50_100_False (1D),1D,False,2025-01-03 00:00:00,2026-04-19 00:00:00,11.84,13.49,0.52,0.63,15.58,414.0
SBER,Equity_EMA_Crossover_50_200_False (1D),1D,False,2025-01-03 00:00:00,2026-04-19 00:00:00,4.33,15.6,0.24,0.3,15.63,414.0
SBER,Equity_EMA_Crossover_50_100_False (1h),1h,False,2025-01-03 00:00:00,2026-04-19 00:00:00,-0.92,19.59,0.02,0.02,12.91,414.0
SBER,Equity_EMA_Crossover_50_200_False (1h),1h,False,2025-01-03 00:00:00,2026-04-19 00:00:00,-6.12,23.13,-0.23,-0.25,13.05,414.0
SBER,Equity_EMA_Crossover_50_100_True (1D),1D,True,2025-01-03 00:00:00,2026-04-19 00:00:00,4.86,14.29,0.25,0.34,18.34,414.0
SBER,Equity_EMA_Crossover_50_200_True (1D),1D,True,2025-01-03 00:00:00,2026-04-19 00:00:00,-9.9,22.91,-0.24,-0.32,18.97,414.0
SBER,Equity_EMA_Crossover_50_100_True (1h),1h,True,2025-01-03 00:00:00,2026-04-19 00:00:00,-18.93,33.02,-0.62,-0.76,17.97,414.0
SBER,Equity_EMA_Crossover_50_200_True (1h),1h,True,2025-01-03 00:00:00,2026-04-19 00:00:00,-27.17,38.33,-1.0,-1.28,17.8,414.0
SBER,Equity_LongTermHold (1D),1D,False,2025-01-03 00:00:00,2026-04-19 00:00:00,19.28,14.26,0.67,0.97,18.67,414.0
SBER,Equity_RSI_30_70_14 (1D)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-3.19,0.0,0.0,0.0,20.28,414.0
SBER,Equity_RSI_30_70_14 (1D)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,7.85,14.26,0.38,0.46,15.02,414.0
SBER,Equity_RSI_20_80_14 (1D)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,19.25,14.24,0.67,0.97,18.64,414.0
SBER,Equity_RSI_20_80_14 (1D)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,19.28,14.26,0.67,0.97,18.67,414.0
SBER,Equity_RSI_30_70_14 (1h)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-2.15,18.91,0.02,0.03,18.67,414.0
SBER,Equity_RSI_30_70_14 (1h)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,8.96,12.27,0.47,0.52,13.01,414.0
SBER,Equity_RSI_20_80_14 (1h)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,51.33,18.34,1.42,1.96,19.11,414.0
SBER,Equity_RSI_20_80_14 (1h)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,39.01,7.4,1.68,2.21,12.41,414.0
SBER,Equity_MACD_12_26_9 (1D)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-20.69,29.32,-0.68,-0.94,18.36,414.0
SBER,Equity_MACD_12_26_9 (1D)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-2.11,17.39,-0.03,-0.02,13.8,414.0
SBER,Equity_MACD_12_26_9 (1h)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-20.38,25.67,-0.71,-1.04,17.49,414.0
SBER,Equity_MACD_12_26_9 (1h)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-1.51,13.79,-0.01,-0.01,12.94,414.0
SBER,Equity_OBV_Signal_14 (1D)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-29.35,43.4,-1.08,-1.35,18.12,414.0
SBER,Equity_OBV_Signal_14 (1D)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-7.57,22.94,-0.32,-0.3,12.62,414.0
SBER,Equity_OBV_Signal_14 (1h)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-21.93,32.04,-0.68,-0.85,19.49,414.0
SBER,Equity_OBV_Signal_14 (1h)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-2.42,20.45,-0.04,-0.05,14.18,414.0
SBER,Equity_VWAP_Signal_yearly_100_5 (1D)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-33.63,40.8,-1.28,-1.61,18.27,414.0
SBER,Equity_VWAP_Signal_yearly_100_5 (1D)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-10.58,25.23,-0.41,-0.45,14.17,414.0
SBER,Equity_VWAP_Signal_rolling_100_5 (1h)_x,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-19.15,27.28,-0.58,-0.66,19.23,414.0
SBER,Equity_VWAP_Signal_rolling_100_5 (1h)_y,,,2025-01-03 00:00:00,2026-04-19 00:00:00,-1.16,16.73,0.02,0.02,14.34,414.0
