Тикер,Стратегия,TF,AllowShort,Период начало,Период окончание,"Доходность, %","Макс. просадка, %",Sharpe,Sortino,"Волатильность, %",Дней
SBER,Equity_EMA_Crossover_50_100_False (1D),1D,False,2014-01-06 00:00:00,2026-04-19 00:00:00,393.55,42.06,0.71,0.76,20.84,3173.0
SBER,Equity_EMA_Crossover_50_200_False (1D),1D,False,2014-01-06 00:00:00,2026-04-19 00:00:00,182.25,50.74,0.5,0.53,21.03,3173.0
SBER,Equity_EMA_Crossover_50_100_False (1h),1h,False,2014-01-06 00:00:00,2026-04-19 00:00:00,448.65,29.48,0.79,0.89,19.62,3173.0
SBER,Equity_EMA_Crossover_50_200_False (1h),1h,False,2014-01-06 00:00:00,2026-04-19 00:00:00,257.69,32.36,0.6,0.69,20.13,3173.0
SBER,Equity_EMA_Crossover_50_100_True (1D),1D,True,2014-01-06 00:00:00,2026-04-19 00:00:00,356.88,66.96,0.57,0.79,27.7,3173.0
SBER,Equity_EMA_Crossover_50_200_True (1D),1D,True,2014-01-06 00:00:00,2026-04-19 00:00:00,62.13,75.48,0.28,0.39,27.63,3173.0
SBER,Equity_EMA_Crossover_50_100_True (1h),1h,True,2014-01-06 00:00:00,2026-04-19 00:00:00,397.75,48.64,0.59,0.91,28.77,3173.0
SBER,Equity_EMA_Crossover_50_200_True (1h),1h,True,2014-01-06 00:00:00,2026-04-19 00:00:00,122.81,49.85,0.36,0.56,29.07,3173.0
SBER,Equity_LongTermHold (1D),1D,False,2014-01-06 00:00:00,2026-04-19 00:00:00,228.32,73.81,0.46,0.54,33.24,3173.0
SBER,Equity_RSI_30_70_14 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-103.39,109.44,-0.42,-0.3,1275.17,3173.0
SBER,Equity_RSI_30_70_14 (1D)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-31.97,66.7,0.02,0.01,25.94,3173.0
SBER,Equity_RSI_20_80_14 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-82.5,153.99,-0.13,-0.19,982.18,3173.0
SBER,Equity_RSI_20_80_14 (1D)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,79.18,39.89,0.35,0.3,18.15,3173.0
SBER,Equity_RSI_30_70_14 (1h)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-94.83,95.76,-0.49,-0.59,35.06,3173.0
SBER,Equity_RSI_30_70_14 (1h)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-39.13,65.58,-0.02,-0.01,25.62,3173.0
SBER,Equity_RSI_20_80_14 (1h)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,-85.94,96.38,-0.19,-0.23,39.59,3173.0
SBER,Equity_RSI_20_80_14 (1h)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,24.18,62.15,0.21,0.16,26.68,3173.0
SBER,Equity_MACD_12_26_9 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,368.84,53.83,0.54,0.86,31.26,3173.0
SBER,Equity_MACD_12_26_9 (1D)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,411.16,50.25,0.73,0.7,20.84,3173.0
SBER,Equity_MACD_12_26_9 (1h)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,3196.43,35.64,1.11,1.75,28.86,3173.0
SBER,Equity_MACD_12_26_9 (1h)_y,,,2014-01-06 00:00:00,2026-04-19 00:00:00,1284.86,28.72,1.04,1.46,22.45,3173.0
SBER,Equity_OBV_Signal_14 (1D)_x,,,2014-01-06 00:00:00,2026-04-19 00:00:00,75.92,46.18,0.3,0.44,29.61,3173.0
