Тикер,Стратегия,Таймфрейм,AllowShort,Pyramiding,Initial Account Size,Entry %,Дата начала,Дата окончания,Параметры стратегии,Количество сигналов,Количество сделок,Прибыльных сделок,Убыточных сделок,Процент прибыльных сделок,Средняя прибыль,Средний убыток,Среднее время удержания (дней),Среднее время удержания (часов),Макс. просадка (%),Макс. прибыль по сделке,Макс. убыток по сделке,Процент роста,Sharpe,Sortino,Std. return,Reward/Risk
SBER,EMA_Crossover_50_100_False,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""short_ema"":50,""long_ema"":100}",23,12,7,5,58.33,722310.25,-224130.56,241.0,,42.06,2186659.7999999993,-639575.2300000001,393.55,0.71,0.76,0.0131,0.02
SBER,EMA_Crossover_50_200_False,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""short_ema"":50,""long_ema"":200}",25,13,6,7,46.15,457540.3,-131819.04,219.85,,50.74,941711.8,-260424.8400000001,182.25,0.5,0.53,0.0132,0.01
SBER,EMA_Crossover_50_100_False,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""short_ema"":50,""long_ema"":100}",307,154,62,92,40.26,153862.48,-54923.39,16.11,386.64,29.63,1030967.6000000002,-231719.52000000046,448.65,0.6,0.55,0.0033,0.01
SBER,EMA_Crossover_50_200_False,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""short_ema"":50,""long_ema"":200}",243,122,49,73,40.16,126757.48,-49783.23,21.53,516.78,32.88,862315.5599999999,-168806.4299999998,257.69,0.46,0.44,0.0034,0.0
SBER,EMA_Crossover_50_100_True,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""short_ema"":50,""long_ema"":100}",23,23,10,13,43.48,631326.4,-211116.02,194.74,,66.96,2104980.1999999997,-715971.74,356.88,0.57,0.79,0.0175,0.01
SBER,EMA_Crossover_50_200_True,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""short_ema"":50,""long_ema"":200}",25,25,8,17,32.0,359779.29,-132761.92,179.16,,75.48,920575.84,-459875.7000000001,62.13,0.28,0.39,0.0174,0.01
SBER,EMA_Crossover_50_100_True,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""short_ema"":50,""long_ema"":100}",307,307,102,205,33.22,147624.04,-54049.54,14.58,349.99,50.11,1149820.3600000003,-444646.8300000001,397.75,0.44,0.57,0.0049,0.0
SBER,EMA_Crossover_50_200_True,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""short_ema"":50,""long_ema"":200}",243,243,75,168,30.86,104417.51,-39304.69,18.42,442.1,51.59,766658.64,-264038.1799999999,122.81,0.27,0.35,0.005,0.0
SBER,LongTermHold,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,{},2,1,1,0,100.0,2283242.4,0.0,4486.0,,73.81,2283242.4,2283242.4,228.32,0.46,0.54,0.0209,0.01
SBER,RSI_30_70_14,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""rsi_lower"":30,""rsi_upper"":70,""rsi_window"":14}",123,19,9,10,47.37,45493.4,-144669.53,202.95,,109.44,157982.24000000005,-305285.75999999995,-103.73,-0.42,-0.3,0.8033,-0.31
SBER,RSI_30_70_14,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""rsi_lower"":30,""rsi_upper"":70,""rsi_window"":14}",123,11,7,4,63.64,114228.6,-279830.67,153.27,,66.7,189349.32000000004,-756368.7999999999,-31.97,0.02,0.01,0.0163,0.0
SBER,RSI_20_80_14,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""rsi_lower"":20,""rsi_upper"":80,""rsi_window"":14}",21,5,3,2,60.0,116480.91,-587244.54,885.8,,153.99,294901.1,-1140366.0,-82.5,-0.13,-0.19,0.6187,-0.05
SBER,RSI_20_80_14,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""rsi_lower"":20,""rsi_upper"":80,""rsi_window"":14}",21,3,3,0,100.0,263937.8,0.0,475.0,,39.89,294901.1,217921.5,79.18,0.35,0.3,0.0114,0.01
SBER,RSI_30_70_14,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""rsi_lower"":30,""rsi_upper"":70,""rsi_window"":14}",1300,304,177,127,58.22,10734.56,-22428.02,14.75,353.93,95.8,88493.40000000004,-276843.29999999993,-94.83,-0.31,-0.36,0.0068,-0.0
SBER,RSI_30_70_14,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""rsi_lower"":30,""rsi_upper"":70,""rsi_window"":14}",1300,152,99,53,65.13,23874.16,-51977.4,13.8,331.1,75.71,102316.7999999999,-412396.71,-39.13,0.02,0.02,0.0055,0.0
SBER,RSI_20_80_14,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""rsi_lower"":20,""rsi_upper"":80,""rsi_window"":14}",290,86,56,30,65.12,20268.44,-66479.93,52.13,1251.14,96.5,146708.02000000008,-577987.2,-85.94,-0.11,-0.13,0.0076,-0.0
SBER,RSI_20_80_14,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""rsi_lower"":20,""rsi_upper"":80,""rsi_window"":14}",290,43,31,12,72.09,62817.94,-142125.71,49.58,1189.84,69.8,215148.7799999999,-620778.38,24.18,0.16,0.12,0.0057,0.0
SBER,MACD_12_26_9,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""macd_fast"":12,""macd_slow"":26,""macd_signal"":9}",213,213,89,124,41.78,174627.63,-95592.16,21.03,,53.83,1231510.7400000002,-907699.4999999999,368.84,0.54,0.86,0.0197,0.02
SBER,MACD_12_26_9,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""macd_fast"":12,""macd_slow"":26,""macd_signal"":9}",213,107,55,52,51.4,160319.99,-90500.08,20.13,,50.25,945203.8200000002,-873834.7799999999,411.16,0.73,0.7,0.0131,0.02
SBER,MACD_12_26_9,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""macd_fast"":12,""macd_slow"":26,""macd_signal"":9}",2952,2952,1091,1855,36.96,256249.9,-133479.43,1.52,36.45,36.79,3607031.649999998,-2859295.73,3196.43,0.73,0.96,0.0059,0.01
SBER,MACD_12_26_9,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""macd_fast"":12,""macd_slow"":26,""macd_signal"":9}",2952,1476,569,902,38.55,112123.2,-56485.04,1.49,35.73,32.19,1294099.3800000001,-1146715.5200000012,1284.86,0.75,0.64,0.0041,0.01
SBER,OBV_Signal_14,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""obv_ema_window"":14,""confirmation_bars"":1}",610,610,154,456,25.25,65768.16,-20546.21,7.35,,46.18,652010.9199999998,-336250.20000000024,75.92,0.3,0.44,0.0187,0.01
SBER,OBV_Signal_14,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""obv_ema_window"":14,""confirmation_bars"":1}",610,305,90,215,29.51,95236.21,-28584.52,7.98,,30.21,777789.6799999998,-293630.19999999995,242.56,0.59,0.6,0.0127,0.02
SBER,OBV_Signal_14,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""obv_ema_window"":14,""confirmation_bars"":1}",5766,5766,1623,4130,28.15,71322.12,-26900.91,0.78,18.67,59.73,1600243.2399999998,-3172171.2,465.51,0.42,0.5,0.0061,0.0
