time,equity
2017-01-03,1000000.0
2017-01-18,997716.455
2017-01-19,1035498.745
2017-01-20,1043179.7599999999
2017-01-23,1031139.2500000001
2017-01-24,1035291.1499999999
2017-01-25,1025949.3749999999
2017-01-27,1027402.5399999999
2017-01-30,1013078.4849999999
2017-01-31,992526.58
2017-02-01,996263.29
2017-02-02,983807.59
2017-02-03,1004359.4950000001
2017-02-06,972805.0549999999
2017-02-08,1004151.8999999999
2017-02-09,1004774.6849999999
2017-02-10,988167.085
2017-02-13,987336.705
2017-02-14,982977.21
2017-02-15,957858.215
2017-02-16,945402.5149999999
2017-02-17,934815.17
2017-02-20,959103.785
2017-02-21,946855.6799999999
2017-02-22,942080.995
2017-02-24,914886.0499999999
2017-02-27,913017.695
2017-02-28,939174.665
2017-03-01,942496.1849999999
2017-03-02,911772.125
2017-03-03,904921.49
2017-03-06,934192.385
2017-03-07,929210.105
2017-03-09,880632.875
2017-03-10,870460.72
2017-03-16,897125.3799999999
2017-03-17,901569.49
2017-03-20,878540.9199999999
2017-03-21,888843.1749999999
2017-03-22,882783.0249999999
2017-03-23,887631.1449999999
2017-03-24,900963.475
2017-03-27,889651.1949999998
2017-03-28,921163.975
2017-03-29,917123.8749999999
2017-03-30,914093.7999999999
2017-03-31,898135.4049999999
2017-04-03,929244.1749999999
2017-04-04,925204.0749999998
2017-04-05,919143.9249999999
2017-04-06,921971.9949999999
2017-04-07,902983.5249999999
2017-04-10,867834.6549999999
2017-04-11,874702.8249999998
2017-04-12,868238.6649999998
2017-09-07,850990.9449999997
2017-09-08,846679.0149999997
2017-09-11,825427.3599999998
2017-09-12,854378.8899999997
2017-09-13,850374.9549999997
2017-09-14,837747.1599999997
2017-09-15,865466.7099999998
2017-09-19,832203.2499999998
2017-09-20,837131.1699999998
2017-09-21,842675.0799999997
2017-09-22,831587.2599999998
2017-09-25,836515.1799999998
2017-09-26,842983.0749999998
2017-09-27,843907.0599999997
2017-09-28,830663.2749999997
2017-09-29,822963.3999999997
2017-10-02,807255.6549999998
2017-10-03,806331.6699999998
2017-10-04,805715.6799999998
2017-10-05,803559.7149999997
2017-10-06,803251.7199999997
2017-10-09,810643.5999999997
2017-10-10,806023.6749999998
2017-10-11,810027.6099999998
2017-10-12,809719.6149999998
2017-10-13,819267.4599999998
2017-10-16,832819.2399999998
2017-10-18,826351.3449999997
2017-10-19,817111.4949999998
2017-10-20,827891.3199999997
2017-10-23,827275.3299999997
2017-10-25,823579.3899999997
2017-10-26,815879.5149999997
2017-10-27,817419.4899999998
2017-10-30,813107.5599999997
2017-10-31,811259.5899999997
2017-11-01,804791.6949999997
2017-11-02,804175.7049999997
2017-11-03,802019.7399999998
2017-11-07,815571.5199999998
2017-11-08,820499.4399999998
2017-11-09,799555.7799999998
2017-11-10,797707.8099999997
2017-11-13,796167.8349999998
2017-11-14,759824.4249999998
2017-11-15,720709.0599999997
2017-11-16,722557.0299999998
2017-11-17,737648.7849999997
2017-11-20,740728.7349999998
2017-11-21,732720.8649999998
2017-11-22,718553.0949999997
2017-11-23,701921.3649999998
2017-11-24,705925.2999999998
2017-11-27,695453.4699999997
2017-11-28,678205.7499999998
2017-11-29,670813.8699999998
2017-11-30,656954.0949999997
2017-12-01,697301.4399999997
2017-12-04,716397.1299999998
2017-12-05,727484.9499999998
2017-12-06,738572.7699999998
2017-12-07,628310.5599999997
2017-12-08,616606.7499999998
2017-12-11,675125.7999999998
2017-12-12,666809.9349999997
2017-12-13,629542.5399999998
2017-12-14,634470.4599999998
2017-12-27,591536.8599999999
2017-12-28,577225.6599999998
2017-12-29,576748.6199999998
2018-09-17,583357.9082995501
2018-09-18,589967.1965991005
2018-09-19,600402.9149668114
2018-09-20,604925.0595928195
2018-09-21,626840.0681650126
2018-09-24,629622.9263964023
2018-09-25,615360.7779605305
2018-09-26,602142.2013614299
2018-09-27,603881.4877560483
2018-09-28,605272.9168717432
2018-10-01,626144.3536071652
2018-10-03,623013.6380968519
2018-10-04,611882.2051712935
2018-10-05,591706.4829937189
2018-10-08,583010.0510206266
2018-11-02,592557.9698560964
2018-11-06,597149.7170823145
2018-11-07,597878.5658483809
2018-11-08,598024.3356015943
2018-11-12,585998.3309614987
2018-11-14,586508.5250977452
2018-11-15,584540.6334293659
2018-11-16,579438.6920669011
2018-11-19,583593.1300334795
2018-11-20,569890.7732314313
2018-11-21,580240.4257095741
2018-11-22,576158.8726196024
2018-11-23,573607.90193837
2018-11-26,573316.3624319433
2018-11-27,566319.414277706
2018-11-28,600939.7306658599
2018-11-29,613621.6991954152
2018-11-30,624554.4306864112
2018-12-03,617411.7127789605
2018-12-04,613257.274812382
2018-12-05,617484.5976555671
2018-12-06,609831.68561187
2018-12-07,599846.4575167603
2018-12-10,585488.1368252521
2019-01-24,567580.8369593938
2019-01-25,584752.2203924085
2019-01-28,582912.4293102998
2019-01-29,585610.7895640592
2019-01-30,585672.115933463
2019-01-31,589351.6980976803
2019-02-01,584568.2412841977
2019-02-04,591007.5100715782
2019-02-05,610202.6636949126
2019-02-06,607136.3452247314
2019-02-07,591191.4891797892
2019-02-08,585058.8522394267
2019-02-11,594871.0713440065
2019-02-12,601616.9719784053
2019-02-13,601003.7082843691
2019-02-14,577577.0351721845
2019-02-15,595177.7031910246
2019-02-18,594932.3977134102
2019-02-19,591804.7528738254
2019-02-20,601310.3401313871
2019-02-21,601126.3610231762
2019-02-22,597324.1261201516
2019-02-25,593951.1758029523
2019-02-26,599163.9172022602
2019-02-28,608301.5462434003
2019-03-01,607197.671594135
2019-03-05,603150.1312134959
2019-03-06,606645.7342695025
2019-03-07,602843.4993664777
2019-03-11,601739.6247172125
2019-03-12,607749.6089187677
2019-03-14,604070.0267545502
2019-03-15,613268.9821650938
2019-03-19,603763.3949075321
