window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",1.377,-42.33,-1.793,44.71
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42683180247728636,""cluster_atr_mult"":1.0219772826786355,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",0.417,1.52,0.186,10.05
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":299,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.1578096190093605,""cluster_atr_mult"":0.7694771337747536,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":false}",0.953,59.59,2.156,15.4
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.9561064512368884,""cluster_atr_mult"":0.9941433120173511,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",7.608,0.0,0.0,0.0
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",31.512,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":258,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":1.1517428775383185,""cluster_atr_mult"":0.6985501703999157,""confirmation_bars"":1,""cooldown_bars"":7,""allowshort"":false}",32.969,14.16,0.697,16.82
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.0491983767203794,""cluster_atr_mult"":0.4911051996104485,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",5.673,24.37,1.056,20.92
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":264,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":1.151228747976342,""cluster_atr_mult"":0.32482565948076725,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",0.549,36.14,1.262,21.48
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":140,""pivot_window"":8,""min_touches"":5,""tolerance_atr_mult"":0.32644058644075924,""cluster_atr_mult"":0.621986143605362,""confirmation_bars"":3,""cooldown_bars"":9,""allowshort"":true}",9.197,-0.84,0.024,11.28
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":137,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.19660366317436,""cluster_atr_mult"":0.9077477161614623,""confirmation_bars"":1,""cooldown_bars"":16,""allowshort"":true}",3.408,-6.53,-2.136,6.79
