time,equity
2017-01-03,1000000.0
2017-01-09,994893.64
2017-01-10,992340.46
2017-01-16,986240.11
2017-01-17,979529.7250000001
2017-01-18,977292.93
2017-01-19,1014301.7200000002
2017-01-20,1021825.4849999999
2017-01-23,1010031.4750000001
2017-01-24,1014098.3750000001
2017-01-25,1004947.8500000002
2017-01-27,1006371.265
2017-03-17,997256.2500000001
2017-03-20,971783.5200000001
2017-03-21,983179.2150000001
2017-03-22,976475.8650000001
2017-03-23,981838.545
2017-03-24,996585.915
2017-03-27,984072.995
2017-03-28,1018930.415
2017-03-29,1014461.515
2017-03-30,1011109.8400000001
2017-03-31,993457.685
2017-04-03,1027868.2150000001
2017-04-04,1023399.3150000001
2017-04-05,1016695.9650000001
2017-04-06,1019824.195
2017-04-07,998820.3650000001
2017-04-10,959940.935
2017-04-26,969760.61
2017-04-27,947284.465
2017-04-28,931791.2000000001
2017-05-02,972815.62
2017-05-03,613633.73
2017-05-29,595916.0349999999
2017-05-30,620121.9
2017-05-31,621619.17
2017-06-01,621369.625
2017-06-02,674023.62
2017-06-05,706714.015
2017-06-06,654060.02
2017-06-07,635344.145
2017-06-08,633846.875
2017-06-09,641333.225
2017-06-13,635094.6
2017-06-14,629854.1549999999
2017-06-15,603901.475
2017-06-16,623365.985
2017-06-19,652313.205
2017-06-20,650316.845
2017-06-22,668783.175
2017-06-23,698728.575
2017-06-26,648819.575
2017-06-27,607395.105
2017-06-28,604151.02
2017-06-29,600407.845
2017-06-30,605398.745
2017-07-03,618874.175
2017-07-04,637839.595
2017-07-06,623615.5299999999
2017-07-10,623116.44
2017-07-11,624863.255
2017-07-12,601655.57
2017-07-13,598910.575
2017-07-14,594418.765
2017-07-17,579446.065
2017-08-01,574617.365
2017-08-02,582584.72
2017-08-03,580894.6749999999
2017-08-04,571478.71
2017-08-07,560131.2649999999
2017-08-08,550473.865
2017-08-09,554336.825
2017-08-11,558199.7849999999
2017-08-14,570754.4049999999
2017-08-15,568340.0549999999
2017-08-16,565201.3999999999
2017-08-17,556751.1749999999
2017-08-18,557716.915
2017-08-21,563994.225
2017-08-22,558924.0899999999
2017-08-23,540816.4649999999
2017-08-24,552163.9099999999
2017-08-25,552405.345
2017-08-28,545645.165
2017-09-01,555164.75
2017-09-04,582562.5800000001
2017-09-05,633643.28
2017-09-06,654539.93
2017-09-07,641537.5700000001
2017-09-08,638286.98
2017-09-11,622266.2150000001
