window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":12,""macd_slow"":24,""macd_signal"":8,""allowshort"":false}",0.126,-42.49,-0.722,47.62
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":12,""macd_slow"":42,""macd_signal"":12,""allowshort"":true}",0.65,-16.16,-0.602,29.07
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":12,""macd_slow"":42,""macd_signal"":12,""allowshort"":true}",0.702,84.46,2.708,11.2
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":10,""macd_slow"":41,""macd_signal"":7,""allowshort"":true}",0.96,135.78,2.574,14.75
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":5,""macd_slow"":50,""macd_signal"":14,""allowshort"":true}",46.779,25.96,1.023,18.9
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":17,""macd_slow"":29,""macd_signal"":6,""allowshort"":true}",60.083,-6.79,0.139,45.82
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":5,""macd_slow"":50,""macd_signal"":14,""allowshort"":true}",5.574,-26.9,-1.136,36.97
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":10,""macd_slow"":48,""macd_signal"":13,""allowshort"":false}",0.457,9.03,0.431,45.61
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":5,""macd_slow"":37,""macd_signal"":8,""allowshort"":true}",0.366,25.09,0.694,17.19
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",1.843,-3.49,-0.435,10.67
