window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",1.179,-42.03,-0.471,64.18
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":244,""pivot_window"":5,""min_touches"":2,""tolerance_atr_mult"":0.6397448568469659,""cluster_atr_mult"":0.6128700874469244,""confirmation_bars"":2,""cooldown_bars"":5,""retest_window"":40,""cancel_atr_mult"":1.085754129981579,""allowshort"":false}",1.242,-6.23,-0.53,11.65
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.9419203085006955,""cluster_atr_mult"":0.9847065437552076,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5454656587639881,""allowshort"":true}",0.8,58.98,2.271,13.43
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":259,""pivot_window"":5,""min_touches"":2,""tolerance_atr_mult"":0.5046617782298058,""cluster_atr_mult"":0.5885054815375879,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":29,""cancel_atr_mult"":1.095389705855385,""allowshort"":false}",6.961,136.11,2.931,18.77
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":231,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.5606642550526072,""cluster_atr_mult"":1.133731744374818,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":29,""cancel_atr_mult"":0.6569247699335614,""allowshort"":true}",19.417,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":219,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.415931536461115,""cluster_atr_mult"":0.6367447495010696,""confirmation_bars"":1,""cooldown_bars"":17,""retest_window"":40,""cancel_atr_mult"":0.8080428874618995,""allowshort"":false}",26.408,4.62,0.449,11.12
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":226,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":1.1924634424867446,""cluster_atr_mult"":1.1884567310116885,""confirmation_bars"":1,""cooldown_bars"":6,""retest_window"":18,""cancel_atr_mult"":0.5212261173590615,""allowshort"":false}",4.187,24.02,1.137,13.8
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":234,""pivot_window"":8,""min_touches"":3,""tolerance_atr_mult"":0.9041419783359452,""cluster_atr_mult"":1.180686995559925,""confirmation_bars"":2,""cooldown_bars"":18,""retest_window"":29,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",7.537,43.89,1.321,34.62
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",4.426,-39.92,-1.438,50.68
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",2.357,0.0,0.0,0.0
