time,equity
2017-01-03,1000000.0
2017-01-19,962131.26
2017-01-20,954432.67
2017-01-23,966500.73
2017-01-24,962339.3300000001
2017-01-25,971702.48
2017-01-27,970245.99
2017-01-30,984602.8200000001
2017-01-31,1005201.7499999999
2017-02-01,1001456.49
2017-02-02,1013940.6900000001
2017-02-03,993341.76
2017-02-06,1024968.4000000001
2017-02-08,993549.8300000001
2017-02-09,992925.6200000001
2017-02-10,1009571.22
2017-02-13,1010403.5
2017-02-14,1014772.9699999999
2017-02-15,1039949.4400000001
2017-02-16,1052433.6400000001
2017-02-17,1063045.21
2017-02-20,1038701.02
2017-02-21,1050977.1500000001
2017-02-22,1055762.76
2017-02-24,1083019.93
2017-02-27,1084892.56
2017-02-28,1058675.74
2017-03-01,1055346.62
2017-03-02,1086140.98
2017-03-03,1093007.29
2017-03-06,1063669.4200000002
2017-03-07,1068663.1
2017-03-09,1117351.48
2017-03-10,1127546.9100000001
2017-03-13,1094463.78
2017-03-14,1073032.57
2017-03-15,1103410.79
2017-03-16,1075945.55
2017-03-17,1071368.01
2017-03-20,1095087.99
2017-03-21,1084476.42
2017-03-22,1090718.52
2017-03-23,1085724.84
2017-03-24,1071992.22
2017-03-27,1083644.1400000001
2017-03-28,1051185.22
2017-03-30,1058467.6700000002
2017-03-31,1074905.2
2017-04-03,1042862.42
2017-04-04,1047023.8200000002
2017-04-05,1053265.9200000002
2017-04-06,1050352.94
2017-04-07,1069911.52
2017-04-10,1106115.7
2017-04-11,1099041.32
2017-04-12,1105699.56
2017-04-13,1115686.92
2017-04-14,1136077.78
2017-04-17,1111109.3800000001
2017-04-18,1119432.18
2017-04-19,1125258.1400000001
2017-04-20,1118599.9000000001
2017-04-21,1127963.05
2017-04-24,1099665.53
2017-04-25,1084684.49
2017-04-26,1075321.34
2017-04-27,1096752.55
2017-04-28,1111525.52
2017-05-02,1072408.36
2017-05-03,1414891.58
2017-05-04,1396997.56
2017-05-05,1396789.4900000002
2017-05-10,1344563.92
2017-05-11,1427375.78
2017-05-12,1445269.8
2017-05-15,1456297.51
2017-05-16,1464412.2400000002
2017-05-17,1455257.1600000001
2017-05-18,1458586.28
2017-05-19,1450679.62
2017-05-22,1448598.92
2017-05-23,1434242.09
2017-05-24,1492293.62
2017-05-25,1500408.35
2017-05-26,1488340.29
2017-05-29,1503113.26
2017-05-30,1482930.47
2017-05-31,1481682.05
2017-06-01,1481890.12
2017-06-02,1437987.35
2017-06-05,1410730.1800000002
2017-06-06,1454632.95
2017-06-07,1470238.2
2017-06-08,1471486.62
2017-06-09,1465244.52
2017-06-13,1470446.27
2017-06-14,1474815.7400000002
2017-06-15,1496455.02
2017-06-16,1480225.56
2017-06-19,1456089.44
2017-06-20,1457754.0
2017-06-22,1442356.82
2017-06-23,1417388.42
2017-06-26,1459002.42
2017-06-27,1493542.04
2017-06-28,1496246.95
2017-06-29,1499368.0
2017-06-30,1495206.6
2017-07-03,1483970.82
2017-07-04,1468157.5
2017-07-06,1480017.4900000002
2017-07-10,1480433.6300000001
2017-07-11,1478977.1400000001
2017-07-12,1498327.6500000001
2017-07-13,1500616.42
2017-07-14,1504361.6800000002
2017-07-17,1516845.8800000001
2017-07-18,1525376.75
2017-07-19,1529746.22
2017-07-20,1537652.8800000001
2017-07-21,1533075.3399999999
2017-07-24,1536820.6
2017-07-25,1541814.28
2017-07-26,1542022.35
2017-07-27,1535572.1800000002
2017-07-28,1537860.9500000002
2017-08-01,1504777.82
2017-08-02,1497911.51
2017-08-04,1507482.73
2017-08-07,1517262.02
2017-08-08,1525584.82
2017-08-09,1522255.7
2017-08-11,1518926.58
2017-08-14,1508106.94
2017-08-15,1510187.6400000001
2017-08-16,1512892.55
2017-08-17,1520175.0
2017-08-18,1519342.72
2017-08-21,1513932.9000000001
2017-08-22,1518302.37
2017-08-23,1533907.62
2017-08-24,1524128.33
2017-08-25,1523920.26
2017-08-29,1526625.17
2017-08-30,1533283.4100000001
2017-08-31,1511019.92
2017-09-01,1502489.05
2017-09-04,1477936.79
2017-09-05,1432161.3900000001
2017-09-06,1413435.09
2017-09-07,1425087.01
2017-09-08,1427999.9900000002
2017-09-12,1422798.2400000002
2017-09-13,1425503.1500000001
2017-09-14,1434034.02
2017-09-15,1415307.72
2017-09-19,1437779.28
2017-09-20,1434450.1600000001
2017-09-21,1430704.9000000001
2017-09-22,1438195.42
2017-09-25,1434866.3
2017-09-26,1430496.83
2017-09-27,1429872.62
2017-09-28,1438819.6300000001
2017-09-29,1444021.3800000001
2017-10-04,1455673.3
2017-10-05,1457129.79
2017-10-06,1457337.86
2017-10-09,1452344.1800000002
2017-10-10,1455465.23
2017-10-11,1452760.32
2017-10-12,1452968.3900000001
2017-10-13,1446518.22
2017-10-16,1437363.1400000001
2017-10-18,1441732.61
2017-10-19,1447974.71
2017-10-20,1440692.26
2017-10-23,1441108.4000000001
2017-10-25,1443605.2400000002
2017-10-26,1448806.9900000002
2017-10-27,1447766.6400000001
2017-10-31,1451928.04
2017-11-02,1456713.6500000001
2017-11-03,1458170.1400000001
2017-11-07,1449015.06
2017-11-08,1445685.94
2017-11-09,1459834.7
2017-11-10,1461083.12
2017-11-13,1462123.47
2017-11-14,1486675.73
2017-11-15,1513100.62
2017-11-16,1511852.2
2017-11-17,1501656.77
2017-11-20,1499576.07
2017-11-21,1504985.8900000001
2017-11-22,1514557.11
2017-11-23,1525792.8900000001
2017-11-24,1523087.98
2017-11-27,1530162.36
2017-11-29,1546807.96
2017-11-30,1556171.11
2017-12-01,1528913.94
2017-12-04,1516013.6
2017-12-05,1508523.08
2017-12-06,1501032.56
2017-12-07,1575521.62
2017-12-08,1583428.28
2017-12-11,1543894.98
2017-12-12,1549512.87
2017-12-13,1574689.3399999999
2017-12-14,1571360.22
2017-12-18,1625458.42
2017-12-19,1616095.27
2017-12-20,1608188.61
2017-12-21,1599865.81
2017-12-25,1427791.92
2017-12-29,1496871.1600000001
2018-04-19,1509628.4540230625
2018-04-20,1534434.3035123504
2018-04-23,1542230.4276375552
2018-04-24,1537977.9962965345
2018-04-25,1530890.6107281668
2018-04-26,1550735.2903195967
2018-04-27,1559240.1530016386
2018-04-28,1562075.1072289858
2018-04-30,1591842.1266161315
2018-05-02,1560657.630115312
2018-05-03,1531599.349285003
2018-05-04,1537269.2577396978
2018-05-07,1547900.3360922495
2018-05-08,1552152.7674332706
2018-05-11,1553570.2445469443
2018-05-14,1571288.7084678644
2018-05-15,1545065.3818649026
2018-05-16,1533725.5649555137
2018-05-17,1516007.1010345935
2018-05-18,1518842.0552619407
2018-05-21,1489075.0358747952
2018-05-22,1469939.0948402015
2018-05-23,1450094.4152487712
2018-05-24,1445841.9839077503
2018-05-25,1469230.3562833648
2018-05-28,1486948.820204285
2018-05-30,1470647.8333970385
2018-05-31,1476317.7418517326
2018-06-01,1472774.049067549
2018-06-04,1468521.617726528
2018-06-05,1451511.892362445
2018-06-07,1448676.9381350977
2018-06-08,1418909.918747952
2018-06-09,1427414.7814299937
2018-06-13,1415366.225963768
2018-06-14,1401900.193383869
2018-06-15,1389142.8993608067
2018-06-18,1377803.0824514176
2018-06-19,1374259.3896672337
2018-06-20,1393395.3307018273
2018-06-21,1366463.2655420292
2018-06-22,1248103.9265502833
2018-06-25,1240307.8024250786
2018-06-26,1224715.5541746689
2018-06-27,1216210.6914926271
2018-06-28,1225424.2927315056
2018-06-29,1248812.66510712
2018-07-02,1287084.5471763073
2018-07-03,1258026.2663459985
2018-07-04,1292754.4556310016
2018-07-05,1301259.318313043
2018-07-06,1307637.9653245744
2018-07-09,1331026.3377001889
2018-07-10,1301968.0568698803
2018-07-12,1284958.3315057966
2018-07-13,1275744.7302669184
2018-07-16,1292045.717074165
2018-07-17,1281414.6387216127
