time,equity
2017-01-03,1000000.0
2019-01-30,1000104.7230000002
2019-01-31,1006388.1029999999
2019-02-01,998219.709
2019-02-04,1009215.6240000001
2019-02-05,1041993.923
2019-02-06,1036757.7729999999
2019-02-07,1009529.7930000001
2019-02-08,999057.493
2019-02-11,1015813.173
2019-02-12,1027332.7030000001
2019-02-13,1026285.4730000001
2019-02-14,986281.287
2019-02-15,1016336.7880000001
2019-02-18,1015917.8960000002
2019-02-19,1010577.0229999999
2019-02-20,1026809.088
2019-02-21,1026494.9189999999
2019-02-22,1020002.0930000002
2019-02-25,1014242.3280000001
2019-02-26,1023143.783
2019-02-28,1038747.5100000001
2019-03-01,1036862.4960000002
2019-03-05,1029950.7780000002
2019-03-06,1035919.989
2019-03-07,1029427.1630000001
2019-03-11,1027542.1490000001
2019-03-12,1037805.0030000001
2019-03-14,1031521.6229999999
2019-03-15,1047230.0730000002
2019-03-19,1030998.008
2019-03-20,1032568.8529999999
2019-03-25,1018221.8020000003
2019-03-27,1017384.018
2019-03-28,1014661.2200000001
2019-03-29,999266.939
2019-04-01,978427.062
2019-04-02,974971.2030000001
2019-04-03,969316.1610000001
2019-04-04,952665.204
2019-04-05,948790.4530000001
2019-04-08,960309.983
2019-04-09,957796.6310000002
2019-04-10,961880.8280000001
2019-04-11,955073.833
2019-04-12,956644.6780000001
2019-04-15,945648.763
2019-04-16,950780.1900000002
2019-04-17,956958.8470000001
2019-04-18,953712.434
2019-04-19,951827.4200000002
2019-04-22,950151.8520000001
2019-04-25,947010.162
2019-04-26,932348.942
2019-04-29,932139.496
2019-04-30,923761.6560000001
2019-05-02,924808.8859999999
2019-05-03,926798.623
2019-05-06,927741.13
2019-05-07,937899.261
2019-05-08,946277.101
2019-05-10,956539.955
2019-05-13,967640.5929999999
2019-05-14,958424.9689999999
2019-05-15,944392.0869999999
2019-05-16,934233.956
2019-05-17,927845.853
2019-05-20,928997.8059999999
2019-05-21,933500.895
2019-05-22,915069.647
2019-05-23,893287.263
2019-05-24,890145.5730000001
2019-05-27,885851.93
2019-05-28,888470.005
2019-05-29,890669.188
2019-05-30,891192.8030000001
2019-05-31,908995.713
2019-06-03,895905.338
2019-06-04,891925.8640000001
2019-06-05,900617.873
2019-06-06,884071.6390000001
2019-06-07,887003.8829999999
2019-06-10,886480.268
2019-06-11,879673.2729999999
2019-06-13,874437.123
2019-06-14,881663.0099999999
2019-06-17,892017.5739999999
2019-06-18,919566.4139999998
2019-06-19,921466.3339999998
2019-06-20,917191.5139999997
2019-06-21,894867.4539999998
2019-06-24,910541.7939999999
2019-06-25,904842.0339999999
2019-06-26,907216.9339999999
2019-06-27,925266.1739999999
2019-06-28,937900.6419999998
2019-07-01,966589.4339999999
2019-07-02,999933.0299999998
2019-07-03,1035556.5299999998
2019-07-04,1094359.0539999998
2019-07-05,1082959.534
2019-07-08,1103953.65
2019-07-09,1101008.7739999997
2019-07-10,1130457.534
2019-07-12,1123807.8139999998
2019-07-15,1130552.5299999998
2019-07-16,1099203.8499999999
2019-07-17,1104238.6379999998
2019-07-18,1107658.494
2019-07-19,1122857.8539999998
2019-07-22,1114308.214
2019-07-23,1112978.2699999998
2019-07-24,1111363.3379999998
2019-07-25,1110983.3539999998
2019-07-26,1112788.278
2019-07-29,1129222.586
2019-07-30,1128082.6339999998
2019-07-31,1148316.7819999997
2019-08-01,1152211.6179999998
2019-08-02,1119058.0139999997
2019-08-05,1115828.15
2019-08-06,1120957.934
2019-08-07,1127607.6539999999
2019-08-08,1133687.3979999998
2019-08-09,1121432.9139999999
2019-08-12,1121337.9179999998
2019-08-13,1093789.0779999997
2019-08-14,1044961.1339999998
2019-08-15,1026151.9259999999
2019-08-16,997463.1339999998
2019-08-19,1025961.9339999999
2019-08-20,1032326.6659999999
2019-08-21,1060635.4739999997
2019-08-23,1062630.39
2019-08-26,1072509.9739999997
2019-08-27,1087519.342
2019-08-28,1085809.4139999999
2019-08-29,1099963.818
2019-08-30,1104808.6139999998
2019-09-02,1097588.9179999998
2019-09-03,1104713.6179999998
2019-09-04,1124947.7659999998
2019-09-05,1165606.0539999998
2019-09-06,1179475.4699999997
2019-09-09,1163421.1459999997
2019-09-10,1169785.8779999998
2019-09-11,1183275.3099999998
2019-09-12,1173205.7339999997
2019-09-13,1188215.1019999997
2019-09-16,1182515.342
2019-09-17,1221558.6979999999
2019-09-18,1226498.4899999998
