window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,53,118,False,0.677,0.0,0.0,0.0
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,48,168,False,0.573,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,28,138,True,0.895,44.74,1.75,16.5
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,5,110,True,10.402,75.12,1.765,26.91
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,84,116,False,6.578,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,90,105,True,9.637,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,93,135,True,6.994,8.59,0.497,19.77
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,26,113,True,10.08,47.3,1.262,35.03
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,7,104,False,2.875,-17.43,-0.7,31.39
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,19,50,True,3.352,-9.2,-1.308,18.53
