time,equity
2017-01-03,1000000.0
2017-12-07,992687.2400000001
2017-12-08,989553.2
2017-12-11,1004850.2999999999
2017-12-12,1011193.0
2017-12-13,1011640.72
2017-12-14,1014252.4199999998
2017-12-18,1001865.5000000001
2017-12-19,999701.52
2017-12-20,988807.0
2017-12-21,982837.3999999999
2017-12-22,988210.0399999999
2017-12-25,984777.52
2017-12-26,979106.3999999999
2017-12-27,977539.3800000001
2017-12-28,974106.86
2017-12-29,973883.0
2018-02-21,992351.4055694401
2018-02-22,1005927.0619021999
2018-02-26,1013024.99389344
2018-02-27,1009579.3958394402
2018-02-28,986562.8008387199
2018-03-01,965475.74074824
2018-03-02,954932.210703
2018-03-05,975812.5349102401
2018-03-06,968852.42684116
2018-03-07,954863.2987419202
2018-03-09,963477.2938769201
2018-03-12,974089.73588324
2018-03-13,983737.4104344401
2018-03-14,956517.1858078401
2018-03-15,952727.02794844
2018-03-16,971677.81724544
2018-03-19,964166.41348772
2018-03-20,981670.05160204
2018-03-21,975192.32726052
2018-03-22,961341.02308344
2018-03-23,978569.01335344
2018-03-26,952864.8518706
2018-03-27,970299.5780238401
2018-03-28,968025.4833082
2018-03-29,984081.97023984
2018-03-30,980843.1080690802
2018-04-02,966991.803892
2018-04-03,972573.6727394802
2018-04-04,966027.0364368801
2018-04-05,968232.21919144
2018-04-06,975123.4152994399
2018-04-09,930399.5525585199
2018-04-11,953166.3952638899
2018-04-12,957890.35109901
2018-04-13,935517.1713798998
2018-04-16,928431.2376272198
2018-04-17,934336.1824211199
2018-04-18,949754.6493829698
2018-04-19,940897.2321921199
2018-04-20,947458.2819631199
2018-04-23,944768.25155701
2018-04-24,945752.4090226599
2018-04-25,936304.4973524198
2018-04-26,954544.2157157997
2018-04-27,948114.3869402199
2018-04-28,946802.17698602
2018-04-30,957496.68811275
2018-05-02,951001.24883946
2018-05-04,943062.3786165498
2018-05-07,945161.9145432699
2018-05-10,960449.1605096997
2018-05-11,988792.8955204197
2018-05-14,990629.9894562998
2018-05-15,978951.3208639199
2018-05-16,974949.0805036098
2018-05-17,965501.16883337
2018-05-18,955659.59417687
2018-05-21,962942.3594226799
2018-05-22,961236.4864822199
2018-05-23,958349.6245829798
2018-05-25,951985.4063051098
2018-05-29,944177.7570776199
2018-05-30,939978.6852241799
2018-05-31,951394.9118257199
2018-06-01,944833.8620547199
2018-06-04,960842.82349596
2018-06-05,957955.9615967199
2018-06-06,963860.9063906199
2018-06-07,958284.0140852699
2018-06-08,938600.86477227
2018-06-09,945358.7460364
2018-06-11,933548.8564485998
2018-06-13,925150.7127417198
2018-06-25,927450.6737898398
2018-06-26,934012.3273682998
2018-06-27,940303.3972940398
2018-06-28,938679.8953777198
2018-06-29,953900.2258432199
2018-07-02,974126.3538840399
2018-07-03,963911.8209938599
2018-07-04,962220.67316436
2018-07-05,984611.4704269399
2018-07-06,980620.3615493199
2018-07-09,1001184.71915604
2018-07-10,996449.50523344
2018-07-11,979335.0891988999
2018-07-12,981432.11250748
2018-07-13,993540.7309666999
2018-07-16,994420.1278380399
2018-07-17,982987.9685106198
2018-07-18,935500.5374582598
2018-08-30,923482.3342967599
2018-08-31,948594.0535342097
2018-09-03,940877.1020305099
2018-09-04,932464.3598174598
2018-09-05,930313.73398856
2018-09-07,941319.87793646
2018-09-10,953654.3496022099
2018-09-11,963838.19543906
2018-09-12,980853.4409677101
2018-09-13,971049.1173359598
2018-09-14,962509.8677212099
2018-09-17,983446.84270256
2018-09-18,993693.9422402601
2018-09-19,995654.8069666098
2018-09-20,976425.6819082098
2018-09-21,1003561.5195728597
2018-09-24,1005838.6528034599
2018-09-25,1017477.33375986
2018-09-26,1007546.50272641
2018-09-27,1023549.6890414599
2018-09-28,1028673.2388103101
2018-10-01,1024118.9723491098
2018-10-02,1028546.73140861
2018-10-03,1072065.2775934099
2018-10-04,1065929.6686109598
2018-10-05,1078580.40878096
2018-10-08,1086866.64359231
2018-10-09,1088764.2546178102
2018-10-10,1051381.3174154598
2018-10-11,1024308.7334516598
2018-10-12,1056441.61348346
2018-10-15,1037465.5032284599
2018-10-16,1050052.9896976098
2018-10-17,1041007.7104760599
2018-10-18,1013302.58950376
2018-10-19,1020513.5114006597
2018-10-22,984964.9315229597
2018-10-23,971744.90804531
2018-10-24,978639.5614379598
2018-10-25,984648.6630187099
2018-10-26,964723.7472509599
2018-10-29,964850.25465266
2018-10-30,957133.30314896
2018-10-31,983510.0964034098
2018-11-02,972377.44505381
