window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":257,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.6204821010014943,""cluster_atr_mult"":0.7095570653136984,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":false}",0.533,-2.61,-0.994,3.98
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":203,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.8467903667112944,""cluster_atr_mult"":0.45347171131856234,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",0.308,-1.23,0.049,14.58
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.9561064512368884,""cluster_atr_mult"":0.9941433120173511,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",0.868,0.0,0.0,0.0
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.9561064512368884,""cluster_atr_mult"":0.9941433120173511,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",5.291,-3.57,-0.202,12.37
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":124,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":1.151228747976342,""cluster_atr_mult"":0.6760708215595652,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",4.14,41.83,1.603,21.18
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",15.205,-60.36,-2.1,62.47
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":284,""pivot_window"":10,""min_touches"":5,""tolerance_atr_mult"":0.9753182186855304,""cluster_atr_mult"":0.9568513465785311,""confirmation_bars"":3,""cooldown_bars"":7,""allowshort"":false}",5.981,3.18,0.263,12.39
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":273,""pivot_window"":6,""min_touches"":5,""tolerance_atr_mult"":0.6486423460116683,""cluster_atr_mult"":0.6660188066761932,""confirmation_bars"":3,""cooldown_bars"":15,""allowshort"":true}",3.262,-17.14,-1.059,22.63
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":259,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.6158892627181102,""cluster_atr_mult"":0.6948570798666305,""confirmation_bars"":3,""cooldown_bars"":15,""allowshort"":true}",1.665,-22.96,-0.75,40.25
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":299,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":0.6258888681115746,""cluster_atr_mult"":0.7543673000218145,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",0.785,-4.56,-0.947,9.67
