time,equity
2017-01-03,1000000.0
2017-01-05,978152.56
2017-01-06,977517.4600000001
2017-01-09,975612.16
2017-01-10,952939.0900000001
2017-01-11,947148.37
2017-01-12,948596.05
2017-01-13,952818.4500000001
2017-01-16,939909.9700000001
2017-01-17,926880.8500000001
2017-01-18,931646.13
2017-01-19,943770.4500000002
2017-01-20,950707.2500000002
2017-01-23,960358.4500000002
2017-01-24,947992.8500000001
2017-01-25,963072.8500000001
2017-01-26,945941.9700000001
2017-01-27,924226.7700000001
2017-01-30,944072.05
2017-01-31,950104.05
2017-02-01,951008.8500000001
2017-02-02,956136.05
2017-02-03,952818.4500000002
2017-02-06,957945.6500000001
2017-02-07,956739.2500000002
2017-02-08,977851.2500000002
2017-02-09,996490.13
2017-02-10,1006201.6500000001
2017-02-13,1001979.2500000002
2017-02-14,1005477.8100000002
2017-02-15,1010906.6100000001
2017-02-16,1014284.53
2017-02-17,1020557.8100000002
2017-02-20,1018265.6500000003
2017-02-21,1019170.4500000003
2017-02-22,1029243.89
2017-02-24,1028821.65
2017-02-27,1038955.4100000003
2017-02-28,1045409.65
2017-03-01,1046314.4500000001
2017-03-02,1061696.05
2017-03-03,1040584.05
2017-03-06,1041790.4500000002
2017-03-07,1052105.1700000002
2017-03-09,1075569.6500000001
2017-03-10,1076896.6900000002
2017-03-13,1069959.8900000001
2017-03-14,1076776.05
2017-03-15,1084014.4500000002
2017-03-16,1081300.05
2017-03-17,1075931.57
2017-03-20,1076836.37
2017-03-21,1081100.4800000002
2017-03-22,1100748.8300000003
2017-03-23,1095230.5700000003
2017-03-24,1087371.2300000002
2017-03-27,1076919.9800000002
2017-03-28,1080264.3800000001
2017-03-29,1077003.59
2017-03-30,1074328.0700000003
2017-03-31,1069395.0800000003
2017-04-03,1063625.9900000002
2017-04-05,1092722.2700000003
2017-04-06,1091133.6800000002
2017-04-07,1076251.1
2017-04-10,1054846.9400000002
2017-04-11,1053509.1800000002
2017-04-12,1045566.2300000001
2017-04-13,1041302.1200000003
2017-04-14,1055432.2100000004
2017-04-17,1048325.3600000002
2017-04-18,1060699.6400000004
2017-04-19,1066301.5100000002
2017-04-20,1062622.6700000004
2017-04-21,1054178.0600000003
2017-04-24,1012373.0600000003
2017-04-25,1029772.8600000002
2017-04-26,1055318.9300000004
2017-04-27,1055160.7500000002
2017-04-28,1081576.8100000003
2017-05-02,1079757.7400000005
2017-05-03,1074142.3500000003
2017-05-04,1067182.4300000004
2017-05-05,1063069.7500000002
2017-05-10,1061329.7700000003
2017-05-11,1036890.9600000002
2017-05-12,1047963.5600000004
2017-05-15,1040054.5600000002
2017-05-16,1037128.2300000002
2017-05-17,1044562.6900000003
2017-05-18,1003673.1600000004
2017-05-19,1025106.5500000005
2017-05-22,1038314.5800000004
2017-05-23,1032699.1900000004
2017-05-24,1042427.2600000004
2017-05-25,1045511.7700000005
2017-05-26,1040845.4600000003
2017-05-29,1033648.2700000005
2017-05-30,1041636.3600000005
2017-05-31,1056030.7400000005
2017-06-01,1074063.2600000005
2017-06-02,1060697.0500000005
2017-06-05,1066154.2600000005
2017-06-06,1065758.8100000005
2017-06-07,1066786.9800000004
2017-06-08,1063781.5600000005
2017-06-09,1054290.7600000005
2017-06-13,1072876.9100000004
2017-06-14,1095022.1100000006
2017-06-15,1093914.8500000006
2017-06-16,1089723.0800000005
2017-06-19,1079362.2900000005
2017-06-20,1078492.3000000005
2017-06-21,1074300.5300000005
2017-06-22,1088688.0100000005
2017-06-23,1084590.3100000005
2017-06-26,1080674.7300000004
2017-06-27,1086866.8100000005
2017-06-28,1090053.9100000006
2017-06-29,1085136.6700000004
2017-06-30,1079035.6500000004
2017-07-03,1091510.8700000006
2017-07-04,1117645.0900000005
2017-07-05,1117371.9100000006
2017-07-06,1117189.7900000005
2017-07-07,1120103.7100000004
2017-07-10,1131486.2100000004
2017-07-11,1136312.3900000006
2017-07-12,1137131.9300000006
2017-07-13,1143324.0100000005
2017-07-14,1138315.7100000004
2017-07-17,1139590.5500000005
2017-07-18,1133671.6500000004
2017-07-19,1093787.3700000006
2017-07-20,1098249.3100000005
2017-07-21,1113274.2100000004
2017-07-24,1111270.8900000004
2017-07-25,1118282.5100000005
2017-07-26,1112818.9100000004
2017-07-27,1115732.8300000003
2017-07-28,1131941.5100000005
2017-07-31,1139226.3100000005
2017-08-01,1122015.9700000004
2017-08-02,1111999.3700000003
2017-08-03,1107537.4300000004
2017-08-04,1108721.2100000004
2017-08-07,1108265.9100000004
2017-08-08,1109842.4900000005
2017-08-09,1100661.2300000004
2017-08-10,1094818.6100000003
2017-08-11,1105205.4900000002
2017-08-14,1100846.7100000002
2017-08-15,1099084.6500000004
2017-08-16,1106874.8100000003
2017-08-17,1111790.0300000003
2017-08-18,1113830.3100000003
2017-08-21,1114572.2300000002
2017-08-23,1116148.8100000003
2017-08-24,1108636.8700000003
2017-08-25,1096673.4100000004
2017-08-28,1105047.9100000004
2017-08-29,1100860.6600000004
2017-08-30,1099930.1600000004
2017-08-31,1097790.0100000005
2017-09-01,1092486.1600000004
2017-09-04,1088764.1600000004
2017-09-05,1079459.1600000004
2017-09-06,1090066.8600000003
2017-09-07,1097603.9100000004
2017-09-08,1119842.8600000006
2017-09-11,1125984.1600000004
2017-09-12,1135196.1100000003
2017-09-13,1149711.9100000004
2017-09-14,1147664.8100000005
2017-09-15,1139941.6600000004
2017-09-18,1141988.7600000005
2017-09-19,1132962.9100000004
2017-09-20,1137615.4100000004
2017-09-21,1138452.8600000006
2017-09-22,1134823.9100000004
2017-09-25,1144873.3100000005
2017-09-27,1147943.9600000004
2017-09-29,1137150.1600000004
2017-10-02,1134358.6600000004
2017-10-03,1144780.2600000005
2017-10-04,1135661.3600000003
2017-10-05,1119470.6600000004
2017-10-06,1119749.8100000005
2017-10-09,1107281.1100000003
2017-10-10,1103998.8400000003
2017-10-11,1117837.6000000003
2017-10-12,1117216.6300000004
2017-10-13,1125466.6600000004
2017-10-16,1128216.6700000004
2017-10-17,1110297.2500000005
2017-10-18,1124047.3000000003
2017-10-19,1113402.1000000003
2017-10-23,1124934.4000000004
2017-10-24,1118015.0200000003
2017-10-25,1108966.6000000003
2017-10-26,1116063.4000000004
2017-10-27,1100627.8600000003
2017-10-30,1100273.0200000003
2017-10-31,1100982.7000000002
2017-11-01,1095660.1000000003
2017-11-02,1103023.0300000003
2017-11-07,1044385.7200000004
2017-11-08,1044543.6200000005
2017-11-09,1038227.6200000002
2017-11-10,1046122.6200000005
2017-11-13,1052596.5200000003
2017-11-14,1049517.4700000004
2017-11-15,1035938.0700000005
2017-11-16,1020069.1200000002
2017-11-17,1023621.8700000003
2017-11-20,1021174.4200000004
2017-11-21,1001200.0700000003
2017-11-22,1000568.4700000003
2017-11-23,993247.8800000005
2017-11-24,978380.2900000005
2017-11-27,977867.6100000006
2017-11-28,990171.9300000006
2017-11-29,978233.8100000006
2017-11-30,967980.2100000005
2017-12-01,961608.3300000005
2017-12-04,956115.3300000005
2017-12-05,956994.2100000005
2017-12-06,954430.8100000006
2017-12-08,964684.4100000006
2017-12-11,949670.2100000005
2017-12-12,943444.8100000006
2017-12-13,943005.3700000006
2017-12-14,940441.9700000007
2017-12-15,937605.1800000007
2017-12-18,928956.4300000007
2017-12-19,930962.9400000006
2017-12-20,941064.6800000007
2017-12-21,946599.8800000008
2017-12-22,941618.2000000009
2017-12-25,944800.9400000006
2017-12-26,950059.3800000008
2017-12-27,951512.3700000007
2017-12-28,954695.1100000008
2017-12-29,954902.6800000007
2018-01-05,963544.8739209122
2018-01-09,983780.2548088992
2018-01-10,1007880.0313525785
2018-01-11,1015960.1313599347
2018-01-12,1011814.688747465
2018-01-15,1004788.514828025
2018-01-16,1020948.7148427368
2018-01-17,1044907.9679080272
2018-01-18,1056501.1548751034
2018-01-19,1047929.2226933865
2018-01-22,1056149.8461791314
