time,equity
2017-01-03,1000000.0
2017-01-09,1001946.7
2017-01-10,1025112.43
2017-01-11,1018882.99
2017-01-12,1020440.3500000001
2017-01-13,1024982.6499999999
2017-01-16,1011096.19
2017-01-17,997079.9500000001
2017-01-18,991953.6400000001
2017-01-19,978910.75
2017-01-20,971448.3999999999
2017-01-23,961066.0
2017-01-24,974368.4500000001
2017-01-25,958145.9500000001
2017-01-26,976574.7100000001
2017-01-27,999935.1100000001
2017-01-30,978586.3000000002
2017-01-31,972097.3000000002
2017-02-01,971123.9500000001
2017-02-02,965608.3000000002
2017-02-03,969177.25
2017-02-06,963661.6000000001
2017-02-07,964959.3999999999
2017-02-08,942247.8999999999
2017-02-09,922196.8900000001
2017-02-10,911749.6000000001
2017-02-13,916291.8999999999
2017-02-14,912528.28
2017-02-15,906688.18
2017-02-16,903054.34
2017-02-17,896305.78
2017-02-20,898771.6000000001
2017-02-21,897798.25
2017-02-22,886961.6200000001
2017-02-24,887415.8500000001
2017-02-27,876514.33
2017-02-28,869571.1000000001
2017-03-01,868597.75
2017-03-02,852050.8
2017-03-03,874762.3
2017-03-06,873464.5
2017-03-07,862368.3099999999
2017-03-09,837126.1000000001
2017-03-10,835698.52
2017-03-13,843160.8700000001
2017-03-14,835828.3
2017-03-15,828041.5
2017-03-16,830961.55
2017-03-17,836736.76
2017-03-20,835763.4099999999
2017-03-21,839072.8
2017-03-22,854321.9500000001
2017-03-23,850039.2100000001
2017-03-24,843939.55
2017-03-28,838423.8999999999
2017-03-29,835893.1900000001
2017-03-30,833816.7100000001
2017-03-31,829988.2000000001
2017-04-03,825510.79
2017-04-05,848092.51
2017-04-06,846859.6000000001
2017-04-07,835309.18
2017-04-10,818697.3400000001
2017-04-11,817659.1000000001
2017-04-12,811494.55
2017-04-13,808185.1600000001
2017-04-14,797218.75
2017-04-17,802734.4
2017-04-18,793130.68
2017-04-19,788783.05
2017-04-20,791638.21
2017-04-21,798192.1000000001
2017-04-24,830637.1000000001
2017-04-25,844912.8999999999
2017-04-26,865872.3700000001
2017-04-27,865742.5900000001
2017-05-02,885923.3800000001
2017-05-03,881316.1900000001
2017-05-04,875605.8700000001
2017-05-05,872231.59
2017-05-10,870804.01
2017-05-11,850753.0
2017-05-12,859837.6000000001
2017-05-15,853348.6000000001
2017-05-16,850947.67
2017-05-17,857047.33
2017-05-18,823499.2000000001
2017-05-19,805914.01
2017-05-22,795077.38
2017-05-23,799684.5700000001
2017-05-24,791703.1000000001
2017-05-25,789172.39
2017-05-26,793000.9
2017-05-29,798905.89
2017-05-30,792352.0
2017-05-31,780542.02
2017-06-01,765747.1000000001
2017-06-02,776713.51
2017-06-05,772236.1000000001
2017-06-06,772560.55
2017-06-07,771716.98
2017-06-08,774182.8
2017-06-09,781969.6000000001
2017-06-13,766720.4500000001
2017-06-14,748551.25
2017-06-15,749459.71
2017-06-16,752898.88
2017-06-19,761399.47
2017-06-20,762113.26
2017-06-21,765552.43
2017-06-22,775805.05
2017-06-23,772885.0
2017-06-26,770094.73
2017-06-27,774507.25
2017-06-28,776778.4
2017-06-29,773274.3400000001
2017-06-30,768926.71
2017-07-03,777816.64
2017-07-04,796440.0700000001
2017-07-05,796245.4
2017-07-06,796115.6200000001
2017-07-10,806303.3500000001
2017-07-11,809742.52
2017-07-12,810326.53
2017-07-13,814739.05
2017-07-14,811170.1000000001
2017-07-17,812078.56
2017-07-18,807860.71
2017-07-19,779438.89
2017-07-20,782618.5
2017-07-21,771911.65
2017-07-24,773339.23
2017-07-25,768342.7000000001
2017-07-27,770159.6200000001
2018-02-09,760954.4257706818
2018-02-12,770720.9123310562
2018-02-13,785033.8667729842
2018-02-14,779645.4603948465
2018-02-15,769373.8107365217
2018-02-19,776389.9648747218
2018-02-20,793284.8640395073
2018-02-21,808327.4985118083
2018-02-22,819384.9574336113
2018-02-26,825166.2684434882
2018-02-27,822359.8067882082
2018-02-28,803612.6429309377
2018-03-01,786437.0976006241
2018-03-02,777849.3249354674
2018-03-05,794856.4825664641
2018-03-06,789187.4300227986
2018-03-07,777793.1957023618
2018-03-09,784809.3498405617
2018-03-12,793453.2517388241
2018-03-13,801311.3443736081
