window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":258,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6397448568469659,""cluster_atr_mult"":0.6128700874469244,""confirmation_bars"":3,""cooldown_bars"":16,""retest_window"":17,""cancel_atr_mult"":0.8424077969552171,""allowshort"":false}",0.769,-22.98,-1.75,26.98
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.9419203085006955,""cluster_atr_mult"":0.9847065437552076,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5454656587639881,""allowshort"":true}",0.617,7.28,0.433,14.58
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",0.314,45.53,1.574,16.98
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7022300234864176,""allowshort"":true}",3.983,13.75,0.892,20.38
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7022300234864176,""allowshort"":true}",4.163,-1.07,0.042,21.18
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":148,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.183114323845261,""cluster_atr_mult"":1.0217638254545285,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":31,""cancel_atr_mult"":2.3911249680695907,""allowshort"":false}",8.993,-52.28,-1.626,53.74
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":232,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.3132062328063658,""confirmation_bars"":3,""cooldown_bars"":9,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",6.21,0.0,0.0,0.0
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":232,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.3132062328063658,""confirmation_bars"":3,""cooldown_bars"":9,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",5.401,-19.02,-0.499,35.84
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",1.081,-27.02,-0.951,45.71
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",0.758,1.95,0.416,7.38
