time,equity
2017-01-03,1000000.0
2017-01-06,999350.7000000001
2017-01-09,997402.7999999999
2017-01-10,974222.79
2017-01-11,980456.0700000001
2017-01-12,978897.75
2017-01-13,974352.65
2017-01-16,988247.67
2017-01-17,1002272.55
2017-01-18,1007402.02
2017-01-19,1020452.9500000002
2017-01-20,1027919.9000000001
2017-01-23,1038308.7
2017-01-24,1024998.05
2017-01-25,1041230.5499999998
2017-01-26,1022790.4299999999
2017-01-27,1047256.03
2017-01-30,1024897.19
2017-01-31,1018101.1899999998
2017-02-01,1017081.79
2017-02-02,1011305.1899999998
2017-02-03,1015042.99
2017-02-06,1009266.3899999999
2017-02-07,1010625.5899999999
2017-02-08,986839.5899999999
2017-02-09,965839.95
2017-02-10,954898.3899999999
2017-02-13,959655.5899999999
2017-02-14,955713.9099999999
2017-02-15,949597.5099999999
2017-02-16,945791.7499999999
2017-02-17,938723.9099999999
2017-02-20,941306.3899999999
2017-02-21,940286.9899999999
2017-02-22,928937.6699999999
2017-02-24,929413.3899999999
2017-02-27,917996.1099999999
2017-02-28,910724.3899999999
2017-03-01,909704.9899999999
2017-03-02,892375.19
2017-03-03,916161.19
2017-03-06,914801.9899999999
2017-03-07,903180.8299999998
2017-03-09,876744.3899999999
2017-03-10,875249.2699999999
2017-03-13,883064.6699999999
2017-03-14,875385.19
2017-03-15,867229.9899999999
2017-03-16,870288.19
2017-03-17,876336.6299999999
2017-03-20,875317.2299999997
2017-03-21,878783.19
2017-03-22,894753.7899999999
2017-03-23,890268.4299999999
2017-03-24,883880.19
2017-03-28,878103.5899999999
2017-03-29,875453.1499999999
2017-03-30,873278.4299999999
2017-03-31,869268.7899999999
2017-04-03,864579.5499999998
2017-04-05,888229.6299999999
2017-04-06,886938.3899999999
2017-04-07,874841.5099999999
2017-04-10,857443.7499999999
2017-04-11,856356.3899999999
2017-04-12,849900.1899999998
2017-04-13,846434.23
2017-04-14,834948.9899999999
2017-04-17,840725.5899999999
2017-04-18,830667.5099999999
2017-04-19,826114.1899999998
2017-04-20,829104.4299999998
2017-04-21,835968.3899999999
2017-04-24,869948.3899999999
2017-04-25,884899.5899999999
2017-04-26,906850.6699999999
2017-04-27,906714.7499999999
2017-05-02,927850.3099999999
2017-05-03,923025.1499999999
2017-05-04,917044.6699999999
2017-05-05,913510.7499999999
2017-05-10,912015.6299999999
2017-05-11,933015.2699999999
2017-05-12,923500.8699999999
2017-05-15,930296.8699999999
2017-05-16,932811.3899999999
2017-05-17,926423.1499999999
2017-05-18,961558.4699999999
2017-05-19,979975.6299999999
2017-05-22,991324.95
2017-05-23,986499.7899999998
2017-05-24,994858.8699999999
2017-05-25,997509.3099999998
2017-05-26,993499.6699999998
2017-05-29,987315.3099999998
2017-05-30,994179.2699999999
2017-05-31,1006547.9899999999
2017-06-01,1022042.8699999999
2017-06-02,1010557.6299999999
2017-06-05,1015246.8699999999
2017-06-06,1014907.0699999998
2017-06-07,1015790.5499999997
