window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",8.643,1.36,0.165,21.12
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":39,""rsi_upper"":55,""rsi_window"":21,""allowshort"":true}",3.689,2.87,0.238,23.28
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":25,""rsi_upper"":77,""rsi_window"":11,""allowshort"":true}",2.703,-1.4,0.066,25.36
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":30,""rsi_upper"":74,""rsi_window"":7,""allowshort"":false}",5.221,-19.58,-0.777,31.21
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":31,""rsi_upper"":61,""rsi_window"":8,""allowshort"":false}",1.896,-0.14,0.071,12.28
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":23,""rsi_upper"":88,""rsi_window"":30,""allowshort"":false}",5.169,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":26,""rsi_upper"":56,""rsi_window"":13,""allowshort"":false}",1.732,1.29,0.307,2.41
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":23,""rsi_upper"":80,""rsi_window"":12,""allowshort"":true}",1.68,9.43,0.448,23.73
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",8.884,-3.88,0.109,42.04
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":39,""rsi_upper"":69,""rsi_window"":15,""allowshort"":true}",2.247,11.73,1.874,7.31
