time,equity
2017-01-03,1000000.0
2017-02-16,1004007.92
2017-02-17,1011451.2
2017-02-20,1008731.54
2017-02-21,1009805.0900000002
2017-02-22,1021757.2799999999
2017-02-24,1021256.2899999999
2017-02-27,1033280.0500000002
2017-02-28,1040938.0400000002
2017-03-01,1042011.59
2017-03-02,1060261.94
2017-03-03,1035212.4400000001
2017-03-06,1036643.84
2017-03-07,1048882.31
2017-03-09,1076723.04
2017-03-10,1078297.58
2017-03-13,1070067.03
2017-03-14,1078154.44
2017-03-15,1086742.84
2017-03-16,1083522.19
2017-03-17,1077152.46
2017-03-20,1078226.01
2017-03-21,1074575.94
2017-03-22,1057756.99
2017-03-23,1062480.6099999999
2017-03-24,1069208.19
2017-03-28,1075291.6400000001
2017-03-29,1078082.8699999999
2017-03-30,1080373.1099999999
2017-03-31,1084595.74
2017-04-03,1089534.07
2017-04-05,1064627.71
2017-04-06,1065987.54
2017-04-07,1078727.0
2017-04-10,1097048.92
2017-04-11,1098194.04
2017-04-12,1104993.19
2017-04-13,1108643.26
2017-04-14,1120738.59
2017-04-17,1114655.14
2017-04-18,1125247.5
2017-04-19,1130042.69
2017-04-20,1126893.61
2017-04-21,1119665.04
2017-04-24,1083880.04
2017-04-25,1068134.6400000001
2017-04-26,1045017.53
2017-04-27,1045160.67
2017-05-02,1022902.4
2017-05-03,1027983.8699999999
2017-05-04,1034282.0299999999
2017-05-05,1038003.6699999999
2017-05-10,1039578.21
2017-05-11,1061693.34
2017-05-12,1051673.54
2017-05-15,1058830.54
2017-05-16,1061478.6300000001
2017-05-17,1054751.05
2017-05-18,1091752.74
2017-05-19,1111148.21
2017-05-22,1123100.4
2017-05-23,1118018.93
2017-05-24,1126822.04
2017-05-25,1129613.27
2017-05-26,1125390.64
2017-05-29,1118877.77
2017-05-30,1126106.34
2017-05-31,1139132.08
2017-06-01,1155450.04
2017-06-02,1143354.71
2017-06-05,1148293.04
2017-06-06,1147935.19
2017-06-07,1148865.6
2017-06-08,1146145.94
2017-06-09,1137557.54
2017-06-13,1154376.49
2017-06-14,1174416.09
2017-06-15,1173414.11
2017-06-16,1169620.9
2017-06-19,1160245.23
2017-06-20,1159457.96
2017-06-21,1155664.75
2017-06-22,1144356.69
