window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,34,64,True,1.437,17.93,1.262,9.63
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,73,175,True,0.784,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,81,135,True,0.177,0.0,0.0,0.0
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,47,164,False,6.54,2.58,0.993,1.25
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,62,156,False,117.058,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,34,64,True,14.596,-28.95,-0.126,70.56
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,63,71,False,2.153,-13.82,-1.275,14.75
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,6,115,False,1.082,-23.58,-2.672,24.63
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,13,52,False,1.453,-9.82,-0.266,36.23
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,28,83,False,1.007,-1.43,-0.164,9.67
