time,equity
2017-01-03,1000000.0
2017-08-03,994859.14
2017-08-04,995296.6599999999
2017-08-07,1014000.6400000001
2017-08-08,1006344.0400000002
2017-08-09,1013891.2600000001
2017-08-10,1004156.4400000001
2017-08-11,984468.04
2017-08-14,989937.04
2017-08-15,975608.26
2017-08-16,954388.54
2017-08-17,959091.88
2017-08-18,973420.6599999999
2017-08-21,985014.94
2017-08-22,992234.0199999999
2017-08-23,998687.44
2017-08-24,1008531.6399999999
2017-08-25,1000875.0399999999
2017-08-28,1016078.8599999999
2017-08-29,1036204.78
2017-08-30,1039158.04
2017-08-31,1070878.24
2017-09-01,1072300.18
2017-09-04,1066065.52
2017-09-05,1060159.0
2017-09-06,1074706.54
2017-09-07,1056658.8399999999
2017-09-08,1058299.54
2017-09-11,1057424.5
2017-09-12,1079300.5
2017-09-13,1055565.04
2017-09-14,1045720.84
2017-09-15,1042986.3399999999
2017-09-18,1044298.9
2017-09-19,1051517.98
2017-09-20,1058080.78
2017-09-21,1062127.8399999999
2017-09-22,1049330.3800000001
2017-09-26,1050861.7
2017-09-27,1055455.66
2017-09-28,1055346.28
2017-09-29,1085097.6400000001
2017-10-02,1108504.96
2017-10-03,1121521.18
2017-10-04,1117145.98
2017-10-05,1129724.68
2017-10-06,1128083.98
2017-10-09,1141756.48
2017-10-10,1121630.56
2017-10-11,1123927.54
2017-10-12,1110801.94
2017-10-13,1147444.24
2017-10-16,1179164.44
2017-10-17,1173695.44
2017-10-18,1176539.32
2017-10-19,1151491.2999999998
2017-10-20,1169976.52
2017-10-23,1167460.78
2017-10-24,1166695.1199999999
2017-10-25,1136506.24
2017-10-26,1140334.54
2017-10-27,1152038.2
2017-10-30,1158382.24
2017-10-31,1158601.0
2017-11-01,1208697.04
2017-11-02,1241511.04
2017-11-03,1263496.42
2017-11-07,1269949.8399999999
2017-11-08,1252995.94
2017-11-09,1254089.74
2017-11-10,1246980.04
2017-11-13,1254636.6400000001
2017-11-14,1219744.42
2017-11-15,1181680.18
2017-11-16,1208040.76
2017-11-17,1182773.98
2017-11-20,1153350.76
2017-11-21,1150178.74
2017-11-22,1177851.8800000001
2017-11-23,1160460.46
2017-11-24,1175883.04
2017-11-27,1154007.04
2017-11-28,1117911.6400000001
2017-11-29,1105551.7
2017-11-30,1080284.92
2017-12-01,1102598.44
2017-12-04,1112005.1199999999
2017-12-05,1102270.3
2017-12-07,1100738.98
2017-12-11,1140115.78
2017-12-12,1179930.1
2017-12-13,1149850.6
2017-12-14,1167023.26
2017-12-15,1158929.1400000001
2017-12-18,1168226.44
2017-12-19,1165273.18
2017-12-20,1160897.98
2017-12-21,1151928.82
2017-12-22,1171507.8399999999
2017-12-25,1165491.94
2017-12-26,1162648.06
2017-12-27,1161773.02
2017-12-28,1169757.76
2017-12-29,1186821.04
2018-02-15,1189242.7245956992
2018-02-16,1090861.7878954192
2018-02-19,1127287.960355728
2018-02-20,1116087.6691006192
2018-02-21,1140304.5150576113
2018-02-22,1148376.7970432753
2018-02-26,1198223.1383047507
2018-02-27,1165530.3962628113
2018-02-28,1126077.1180578785
2018-03-01,1127489.7674053696
2018-03-02,1135057.5317669297
2018-03-05,1130113.2590507106
2018-03-06,1126278.92510752
2018-03-07,1126178.0215826991
2018-03-09,1117803.0290225728
2018-03-12,1125875.3110082368
2018-03-13,1120224.713618272
2018-03-14,1098025.938157696
2018-03-15,1098934.0698810834
2018-03-16,1102667.5002994528
2018-03-19,1101053.04390232
2018-03-20,1104988.2813703313
2018-03-21,1103172.0179235567
2018-03-22,1110336.1681858336
2018-03-23,1109831.6505617297
2018-03-26,1084807.5764061713
2018-08-28,1102246.6060858273
2018-08-29,1110868.1488488032
2018-08-30,1103422.2710080512
2018-08-31,1099307.4437802674
2018-09-03,1105871.5729293514
2018-09-05,1091077.7893246992
2018-09-06,1097935.8347043393
2018-09-07,1097348.0022432273
2018-09-10,1113513.3949238074
2018-09-11,1122428.8539173394
2018-09-12,1133107.8102942074
2018-09-13,1140161.7998275512
2018-09-14,1129188.9272201273
2018-09-17,1130658.5083729073
2018-09-18,1135263.1959849512
2018-09-19,1141533.4089034793
2018-09-20,1146823.9010534873
2018-09-21,1182877.6253350233
2018-09-24,1167496.0092692592
2018-09-25,1171512.8644201912
2018-09-26,1164556.8469636992
2018-09-27,1159070.4106599872
2018-09-28,1115766.7526914033
2018-10-01,1107831.0144663912
2018-10-02,1100189.1924719354
2018-10-04,1118509.9708432592
2018-10-05,1106361.4333136112
2018-10-08,1109202.6235423193
2018-10-09,1117236.3338441832
2018-10-10,1114591.0877691794
2018-10-11,1102540.5223163834
2018-10-12,1094408.8399376674
2018-10-15,1086375.1296358032
2018-10-16,1103618.2151617552
2018-10-17,1119881.5799191874
2018-10-18,1113023.5345395473
2018-10-19,1114787.0319228834
2018-10-22,1106263.461236759
2018-10-23,1083729.883560799
2018-10-24,1080202.8887941274
2018-10-25,1068152.3233413314
2018-10-26,1043463.3599746273
2018-11-02,1063868.3741153474
2018-11-06,1072679.6302215673
2018-11-07,1084737.1385774473
2018-11-08,1085015.3887702753
2018-11-09,1084180.6381917913
2018-11-12,1076667.8829854352
2018-11-14,1083624.1378061352
2018-11-15,1085293.6389631033
2018-11-16,1086499.3897986913
2018-11-19,1089467.3918555232
2018-11-20,1089096.3915984193
2018-11-21,1096330.8966119473
2018-11-22,1101524.9002114034
2018-11-23,1108759.4052249314
2018-11-26,1109223.1555463113
2018-11-27,1148178.1825422314
2018-11-28,1184443.4576741473
2018-11-29,1177116.2025963434
2018-11-30,1181475.4556173151
2018-12-03,1188802.710695119
2018-12-04,1174797.4509894433
