window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":255,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.5790335043950412,""cluster_atr_mult"":0.8730336508193897,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",0.758,18.68,1.154,14.93
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":271,""pivot_window"":8,""min_touches"":5,""tolerance_atr_mult"":0.6488347836575646,""cluster_atr_mult"":0.7981485938136983,""confirmation_bars"":1,""cooldown_bars"":17,""allowshort"":true}",1.131,1.9,0.198,12.92
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",0.656,40.63,1.861,8.87
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",5.664,-13.87,-0.435,30.4
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":186,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42554447458683764,""cluster_atr_mult"":0.5629301836816962,""confirmation_bars"":2,""cooldown_bars"":11,""allowshort"":true}",1.565,-7.75,-0.601,17.51
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",1.54,-13.23,-0.419,26.16
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42683180247728636,""cluster_atr_mult"":1.0219772826786355,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",0.7,6.63,0.52,12.79
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":136,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.652450215974195,""cluster_atr_mult"":1.0753840888206496,""confirmation_bars"":1,""cooldown_bars"":17,""allowshort"":true}",0.88,-19.18,-0.922,27.4
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":133,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.9919164799710722,""cluster_atr_mult"":0.6067853346150189,""confirmation_bars"":3,""cooldown_bars"":10,""allowshort"":true}",1.055,27.13,0.954,17.71
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":133,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.985669522199143,""cluster_atr_mult"":0.3118262841460275,""confirmation_bars"":1,""cooldown_bars"":14,""allowshort"":false}",0.68,0.0,0.0,0.0
