time,equity
2017-01-03,1000000.0
2017-01-11,1004039.56
2017-01-12,961239.46
2017-01-13,938348.62
2017-01-27,938540.2999999999
2017-01-30,936623.4999999999
2017-01-31,922918.38
2017-02-01,943907.34
2017-02-02,982914.22
2017-02-03,967004.7799999999
2017-02-06,950999.4999999999
2017-02-07,971509.2599999999
2017-02-08,971413.4199999999
2017-02-09,958379.1799999999
2017-02-10,965375.4999999999
2017-02-13,947932.62
2017-02-14,933556.62
2017-02-16,935153.0899999999
2017-02-17,912896.4199999999
2017-03-20,897165.94
2017-03-21,906922.82
2017-03-22,913991.58
2017-03-23,914190.6999999998
2017-03-24,912498.18
2017-03-27,885218.7399999999
2017-03-29,894577.3799999999
2017-03-30,894975.62
2017-03-31,889002.02
2017-04-03,893482.2199999999
2017-04-04,896070.7799999999
2017-04-05,914588.94
2017-04-06,909312.2599999999
2017-04-07,898559.7799999999
2017-04-10,891690.14
2017-04-11,892486.62
2017-04-12,888504.2199999999
2017-04-13,873669.7799999999
2017-04-26,875343.6
2017-04-27,861559.1999999998
2017-04-28,861263.8199999998
2017-05-02,867368.3399999999
2017-05-03,855454.6799999998
2017-05-04,856734.6599999999
2017-05-05,863036.1
2017-05-10,852500.8799999999
2017-05-11,836944.1999999998
2017-06-09,846030.4799999999
2017-06-13,841643.9999999999
2017-06-14,847388.1999999998
2017-06-15,836735.3199999998
2017-06-16,851670.24
2017-06-19,861696.4799999999
2017-06-20,868067.3199999998
2017-06-21,865874.08
2017-06-22,819920.4799999999
2017-06-23,837153.08
2017-06-26,835482.0399999998
2017-06-27,848745.9199999999
2017-06-28,853863.4799999999
2017-06-29,854385.6799999998
2017-06-30,842688.3999999999
2017-07-03,861278.7199999999
2017-07-04,856161.1599999999
2017-07-05,865665.1999999998
2017-07-06,871409.3999999999
2017-07-07,874542.6
2017-07-10,889373.08
2017-07-11,897310.5199999999
2017-07-12,898250.4799999999
2017-07-13,887388.7199999999
2017-07-14,885717.6799999998
2017-07-17,897519.3999999999
2017-07-18,895535.0399999998
2017-07-19,907963.3999999999
2017-07-20,878406.8799999998
