window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",2.469,31.23,1.579,14.93
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",2.448,-1.52,0.024,15.37
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",2.155,48.33,2.155,8.87
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":233,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.31616568805333756,""cluster_atr_mult"":0.5984557630028188,""confirmation_bars"":2,""cooldown_bars"":9,""retest_window"":40,""cancel_atr_mult"":0.6284350697141062,""allowshort"":false}",8.54,16.48,0.874,18.74
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",5.981,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":192,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8255495672726881,""cluster_atr_mult"":1.0471706018230442,""confirmation_bars"":1,""cooldown_bars"":6,""retest_window"":32,""cancel_atr_mult"":2.077808279659666,""allowshort"":false}",5.979,2.5,0.239,20.3
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",0.236,6.38,0.465,11.13
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":243,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.1284760192142818,""cluster_atr_mult"":1.0258394478495398,""confirmation_bars"":1,""cooldown_bars"":8,""retest_window"":29,""cancel_atr_mult"":2.1487020276402515,""allowshort"":false}",0.29,4.05,0.316,16.76
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",0.753,23.74,0.98,10.44
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.5741523922560337,""cluster_atr_mult"":0.38790490260574545,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.4903538202225404,""allowshort"":false}",0.972,0.0,0.0,0.0
