time,equity
2017-01-03,1000000.0
2017-01-25,1005165.09
2017-01-26,1032044.64
2017-01-27,1032255.46
2017-01-30,1030147.2600000001
2017-01-31,1015073.63
2017-02-01,1038158.42
2017-02-02,1081060.29
2017-02-03,1063562.23
2017-03-02,1056185.3800000001
2017-03-03,1059590.08
2017-03-06,1058228.2
2017-03-07,1028380.3300000001
2017-03-09,999553.87
2017-03-10,1005001.3900000001
2017-03-13,1017485.2900000002
2017-03-14,1032465.9700000001
2017-03-15,1027926.3700000001
2017-03-16,1027585.9
2017-03-17,1040637.2500000001
2017-03-20,1022705.8300000001
2017-03-21,1033827.85
2017-03-22,1041885.64
2017-03-23,1042112.6199999999
2017-03-24,1040183.29
2017-03-27,1009087.0300000001
2017-03-29,1019755.0899999999
2017-03-30,1020209.05
2017-03-31,1013399.6500000003
2017-04-03,1018506.6999999998
2017-04-04,1021457.4400000001
2017-04-05,1042566.5800000001
2017-04-06,1036551.6100000001
2017-04-07,1024294.6900000001
2017-04-10,1016463.8800000001
2017-04-11,1017371.8
2017-04-12,1012832.1999999998
2017-04-13,995922.1900000001
2017-04-14,988545.34
2017-04-17,1003412.53
2017-04-18,971067.8800000001
2017-04-19,970727.41
2017-04-20,978331.2400000001
2017-04-21,969025.06
2017-04-24,985708.09
2017-04-25,1007044.2100000001
2017-04-26,1008973.5400000002
2017-04-27,993084.9400000001
2017-04-28,992744.4700000001
2017-05-02,999780.8500000001
2017-05-03,986048.56
2017-05-04,987523.9300000002
2017-05-05,994787.2900000002
2017-05-10,982643.86
2017-05-11,964712.4400000001
2017-05-12,953930.89
2017-05-15,968117.14
2017-05-16,953590.42
2017-05-17,950185.7200000001
2017-05-18,955633.2400000001
2017-05-19,942581.89
2017-05-22,939177.1900000001
2017-05-23,948710.3500000001
2017-05-24,953249.95
2017-05-25,933729.67
2017-05-26,930665.4400000001
2017-05-29,924196.5100000001
2017-05-30,913641.9400000001
2017-05-31,896845.42
2017-06-01,884248.03
2017-06-02,888560.6500000001
2017-06-05,895143.0700000001
2017-06-06,896391.4600000001
2017-06-07,892646.2900000002
2017-06-08,909442.81
2017-06-09,919316.4400000001
2017-06-13,914549.8600000001
2017-06-14,920791.81
2017-06-15,909215.8300000001
2017-06-16,925444.9000000001
2017-06-19,936339.9400000001
2017-06-20,943262.8300000001
2017-06-21,940879.5400000002
2017-06-22,890943.9400000001
2017-12-04,898544.6200000001
2017-12-05,890678.8
2017-12-07,889441.4800000001
2017-12-11,921258.2800000001
2017-12-12,953428.6000000001
2017-12-13,929124.1000000001
2018-04-11,936511.138322014
2018-04-12,982727.4806443583
2018-04-13,993523.9212688402
2018-04-16,937647.6057561701
2018-04-17,968805.7545759472
2018-04-18,1010760.3440202064
2018-04-19,1011991.5170738751
2018-04-20,1005362.1237079652
2018-04-23,1029985.584781345
2018-04-24,1028565.00048865
2018-04-25,1023166.7801764089
2018-04-26,1040687.3197863143
2018-04-27,1040782.0254058271
2018-04-28,1036993.800625307
2018-04-30,1024208.5419910521
2018-05-02,1045612.0120009901
