window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":31,""rsi_upper"":61,""rsi_window"":8,""allowshort"":false}",15.484,-7.09,-0.433,18.21
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":25,""rsi_upper"":79,""rsi_window"":13,""allowshort"":false}",6.058,29.11,1.406,13.09
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":32,""rsi_upper"":73,""rsi_window"":12,""allowshort"":false}",6.008,7.78,1.485,1.9
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":44,""rsi_upper"":80,""rsi_window"":14,""allowshort"":false}",3.15,15.59,0.586,28.77
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",11.362,-8.4,-0.47,18.98
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":23,""rsi_upper"":81,""rsi_window"":13,""allowshort"":false}",2.627,-1.92,0.056,29.81
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",2.91,1.74,0.186,21.92
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",3.299,41.87,1.907,8.93
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":25,""rsi_upper"":71,""rsi_window"":11,""allowshort"":true}",11.637,-18.36,-0.242,32.74
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",0.706,-1.34,-0.024,10.87
