time,equity
2017-01-03,1000000.0
2017-09-08,1001552.65
2017-09-11,1000724.5700000001
2017-09-12,1021426.5700000001
2017-09-13,998964.9
2017-09-14,989649.0
2017-09-15,987061.25
2017-09-18,988303.37
2017-09-19,995135.03
2017-09-20,1001345.6300000001
2017-09-21,1005175.5
2017-09-22,993064.8300000001
2017-09-26,994513.97
2017-09-27,998861.39
2017-09-28,998757.8800000001
2017-09-29,1026912.6000000002
2017-10-02,1049063.74
2017-10-03,1061381.4300000002
2017-10-04,1057241.03
2017-10-05,1069144.6800000002
2017-10-06,1067592.03
2017-10-09,1080530.78
2017-10-10,1061484.9400000002
2017-10-11,1063658.6500000001
2017-10-12,1051237.45
2017-10-13,1085913.3
2017-10-16,1115931.2
2017-10-17,1110755.7
2017-10-18,1113446.96
2017-10-19,1089743.17
2017-10-20,1107236.36
2017-10-23,1104855.6300000001
2017-10-24,1104131.06
2017-10-25,1075562.3
2017-10-26,1079185.1500000001
2017-10-27,1090260.72
2017-10-30,1096264.3
2017-10-31,1096471.32
2017-11-01,1143878.9000000001
2017-11-02,1174931.9000000001
2017-11-03,1195737.4100000001
2017-11-07,1201844.5
2017-11-08,1185800.45
2017-11-09,1186835.55
2017-11-10,1180107.4000000001
2017-11-13,1187353.1
2017-11-14,1154333.4100000001
2017-11-15,1118311.9300000002
2017-11-16,1143257.84
2017-11-17,1119347.03
2017-11-20,1091502.84
2017-11-21,1088501.05
2017-11-22,1114689.08
2017-11-23,1098230.99
2017-11-24,1112825.9000000001
2017-11-27,1092123.9000000001
2017-11-28,1057965.6
2017-11-29,1046268.9700000001
2017-11-30,1022358.1600000003
2017-12-01,1043474.2000000002
2017-12-04,1052376.06
2017-12-05,1043163.67
2017-12-07,1041714.5300000001
2017-12-11,1078978.1300000001
2017-12-12,1116655.77
2017-12-13,1088190.52
2017-12-14,1104441.59
2017-12-15,1096781.85
2017-12-18,1105580.2
2017-12-19,1102785.4300000002
2017-12-20,1098645.03
2017-12-21,1090157.21
2017-12-22,1108685.5
2017-12-25,1102992.45
2017-12-26,1100301.1900000002
2017-12-27,1099473.11
2017-12-28,1107029.34
2017-12-29,1123176.9000000001
2018-04-09,1286739.210341199
2018-04-10,1219765.5196064792
2018-04-11,1211603.101048185
2018-04-12,1160535.6618629612
