window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,62,156,False,2.897,12.32,0.873,14.93
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,19,101,True,0.821,-24.87,-0.997,41.62
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,34,64,True,0.63,21.07,1.232,10.89
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,54,99,False,5.021,7.42,0.767,7.93
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,94,105,False,4.558,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,16,145,True,0.77,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,41,200,True,1.756,-0.39,0.032,10.63
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,74,105,True,2.309,26.56,1.258,12.34
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,5,198,True,3.287,13.03,0.467,18.45
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,5,105,True,1.657,6.62,1.782,3.94
