time,equity
2017-01-03,1000000.0
2017-01-11,998677.0
2017-01-12,970894.0
2017-01-13,967954.0
2017-01-16,953254.0
2017-01-17,951196.0
2017-08-29,942746.0
2017-08-30,946321.0
2017-08-31,957858.5
2017-09-01,949571.0
2017-09-04,943071.0
2017-09-05,939333.5
2017-09-06,950871.0
2017-09-07,936896.0
2017-09-08,952821.0
2017-09-11,947621.0
2017-09-12,964683.5
2017-09-13,957046.0
2017-09-14,967446.0
2017-09-15,970208.5
2017-09-18,987758.5
2017-09-19,985321.0
2017-09-20,972321.0
2017-09-21,974433.5
2017-09-25,990033.5
2017-09-26,984346.0
2017-09-27,998158.5
2017-09-28,998321.0
2017-09-29,997996.0
2017-10-02,991658.5
2017-10-03,994746.0
2017-10-04,989708.5
2017-10-06,996696.0
2017-10-09,994258.5
2017-10-10,989383.5
2017-10-11,990196.0
2017-10-12,988571.0
2017-10-13,983046.0
2017-10-16,983696.0
2017-10-17,978171.0
2017-10-18,980771.0
2017-10-20,975246.0
2017-10-23,976221.0
2017-10-25,978821.0
2017-10-26,975896.0
2017-10-30,996046.0
2017-10-31,1008396.0000000001
2017-11-01,1024158.5
2017-11-02,1025946.0
2017-11-03,1031958.5
2017-11-07,1082821.0
2017-11-08,1086396.0
2017-11-09,1096796.0
2017-11-10,1089158.5
2017-11-13,1083146.0
2017-11-15,1073396.0
2017-11-16,1075996.0
2017-11-17,1076158.5
2017-11-20,1068521.0
2017-11-21,1081033.5
2017-11-22,1097121.0
2017-11-23,1100696.0
2017-11-24,1105571.0
2017-11-27,1095821.0
2017-11-28,1088671.0
2017-11-29,1077458.5
2017-11-30,1072258.5
2017-12-01,1088996.0
2017-12-04,1104108.5
2017-12-05,1108171.0
2017-12-07,1098908.5
2017-12-08,1103458.5
2017-12-11,1117758.5
2017-12-12,1131083.5
2017-12-13,1126046.0
2017-12-14,1124583.5
2017-12-15,1113696.0
2017-12-18,1105733.5
2017-12-19,1107846.0
2017-12-20,1098421.0
2017-12-21,1085258.5
2017-12-22,1089971.0
