window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":207,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.6085193594396846,""cluster_atr_mult"":1.0622965110497988,""confirmation_bars"":2,""cooldown_bars"":12,""allowshort"":false}",2.481,8.59,0.868,6.31
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":269,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.5910284480296648,""cluster_atr_mult"":0.8221969318270124,""confirmation_bars"":3,""cooldown_bars"":17,""allowshort"":false}",1.289,21.55,1.019,10.65
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":267,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.035958430299577,""cluster_atr_mult"":0.938303853248386,""confirmation_bars"":2,""cooldown_bars"":13,""allowshort"":false}",10.996,-10.67,-1.012,16.59
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":292,""pivot_window"":9,""min_touches"":2,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.7522780959073165,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":false}",5.409,-40.63,-1.174,46.85
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":145,""pivot_window"":5,""min_touches"":2,""tolerance_atr_mult"":0.5787929919914608,""cluster_atr_mult"":0.595793297695721,""confirmation_bars"":2,""cooldown_bars"":13,""allowshort"":true}",0.643,2.82,0.234,17.85
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":273,""pivot_window"":5,""min_touches"":5,""tolerance_atr_mult"":0.30515179692578964,""cluster_atr_mult"":0.7981485938136983,""confirmation_bars"":1,""cooldown_bars"":16,""allowshort"":false}",0.737,-15.09,-0.458,25.56
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":270,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.9064777340464519,""cluster_atr_mult"":0.35436655457850125,""confirmation_bars"":3,""cooldown_bars"":7,""allowshort"":true}",1.166,33.53,1.583,12.43
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":233,""pivot_window"":6,""min_touches"":4,""tolerance_atr_mult"":0.7920392514089516,""cluster_atr_mult"":0.4663690099729743,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",5.194,3.5,1.025,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":233,""pivot_window"":6,""min_touches"":4,""tolerance_atr_mult"":0.7920392514089516,""cluster_atr_mult"":0.4663690099729743,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",10.069,-13.27,-0.769,20.88
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":269,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":0.6488347836575646,""cluster_atr_mult"":0.7149820274303703,""confirmation_bars"":2,""cooldown_bars"":7,""allowshort"":false}",3.251,-0.21,0.034,9.06
