time,equity
2017-01-03,1000000.0
2017-02-02,996892.0
2017-02-03,998668.0
2017-02-06,989048.0
2017-02-07,1001184.0000000001
2017-02-08,977504.0
2017-03-23,960445.5
2017-03-24,945265.0
2017-03-30,920933.0
2017-04-06,921083.5
2017-04-07,901067.0
2017-04-10,890532.0
2017-04-27,865117.0
2017-04-28,845084.0
2017-05-11,822831.0
2017-05-12,827455.0
2017-05-15,833235.0
2017-05-16,837425.5
2017-05-17,831501.0
2017-05-18,833524.0
2017-05-19,825721.0
2017-05-22,814450.0
2017-05-23,818496.0
2017-05-24,812427.0
2017-05-25,810693.0
2017-05-26,810259.5
2017-05-29,809681.5
2017-05-31,797688.0
2017-06-01,782371.0
2017-06-14,773739.5
2017-06-15,768645.5
2017-06-16,761004.5
2017-06-20,758138.0
2017-06-21,747081.5
2017-06-22,755817.5
2017-06-23,759776.0
2017-06-26,757592.0
2017-06-27,766601.0
2017-06-28,786939.5
2017-06-29,786530.0
2017-06-30,786393.5
2017-07-03,799361.0
2017-07-04,802910.0
2017-07-05,807960.5
2017-07-06,817106.0
2017-07-07,781889.0
2017-07-10,782708.0
2017-07-11,787076.0
2017-07-12,797859.5
2017-07-13,796221.5
2017-07-14,800180.0
2017-07-17,788441.0
2017-07-18,777521.0
2017-07-19,792809.0
2017-07-21,778067.0
2017-07-24,773835.5
2017-07-25,776156.0
2017-08-04,769028.0
2017-08-07,772856.0
2017-08-08,787772.0
2017-08-09,778532.0
2017-08-10,768632.0
2017-08-11,757676.0
2017-08-14,763880.0
2017-08-15,761372.0
2017-08-16,754112.0
2017-08-28,755402.0
2017-08-29,748694.0
2017-08-30,751532.0
2017-08-31,760691.0
2017-09-04,748952.0
2017-09-05,745985.0
2017-09-06,755144.0
2017-09-07,744050.0
2017-09-11,739986.0
2017-09-12,753321.0
2017-09-13,747352.0
2017-09-14,755480.0
2017-09-15,757639.0
2017-09-18,771355.0
2017-09-19,769450.0
2017-09-20,759290.0
2017-09-21,760941.0
2017-09-25,773133.0
2017-09-26,768688.0
2017-09-27,779483.0
2017-09-28,779610.0
2017-09-29,779356.0
2017-10-02,774403.0
2017-10-03,776816.0
2017-10-04,772879.0
2017-10-06,778340.0
2017-10-09,776435.0
2017-10-10,772625.0
2017-10-11,773260.0
2017-10-12,771990.0
2017-11-02,773337.5
2017-11-03,777870.0
2017-11-07,816212.5
2017-11-08,818907.5
2017-11-09,826747.5
2017-11-10,820990.0
2017-11-13,816457.5
2017-11-15,809107.5
2017-11-16,811067.5
2017-11-17,811190.0
2017-11-20,805432.5
2017-11-21,814865.0
2017-11-22,826992.5
2017-11-23,829687.5
2017-11-24,833362.5
2017-11-27,826012.5
2017-11-28,820622.5
2017-11-29,812170.0
2017-11-30,808250.0
2017-12-07,801495.5
2017-12-13,797930.5
2017-12-14,796895.5
2017-12-15,789190.5
2018-01-05,804597.4715362501
2018-01-09,817867.70979375
2018-01-10,820679.2009500001
2018-01-11,831137.94805125
2018-01-12,880732.6520475
2018-01-15,873647.6943337499
2018-01-16,870386.3645924999
2018-01-17,868024.7120212499
2018-01-18,868811.929545
2018-01-19,862176.81041625
2018-01-22,872185.7189325
2018-01-23,865775.51909625
2018-01-24,867687.3330824999
2018-01-25,862064.35077
2018-01-26,861164.6736
2018-01-29,870836.2031775
2018-01-30,885455.95719
2018-01-31,882082.1678025
2018-02-01,874772.29079625
2018-02-02,866562.73662
2018-02-05,876684.1047825
2018-02-06,898388.81650875
2018-02-07,880507.732755
2018-02-08,891528.7780875
2018-02-09,906935.7496237501
2018-02-12,898163.8972162501
2018-02-13,881744.78886375
2018-02-14,886355.6343599999
2018-02-15,881632.3292174999
2018-02-16,876909.0240750001
2018-02-19,885006.118605
2018-02-20,878483.4591225
2018-02-21,863976.1647562501
2018-02-22,857790.8842125
2018-02-26,858572.57740275
2018-02-27,858349.23649125
2018-02-28,844502.09997825
2018-03-01,839476.9294695001
2018-03-02,840481.96357125
2018-03-05,844837.1113455
2018-03-06,841710.3385845
2018-03-07,846847.1795490001
2018-03-09,831659.997567
2018-03-12,835903.4748855
2018-03-13,835233.4521509999
2018-03-14,842157.0204075
2018-03-15,829203.2475405001
2018-03-16,812564.34963375
2018-03-19,800120.7884249999
2018-03-20,809531.8851375001
2018-03-21,812459.7818925
2018-03-22,808904.47869
2018-03-26,796983.7561875001
2018-03-27,813296.3238225001
2018-03-28,823543.9624650001
2018-03-29,837033.20108625
2018-03-30,830654.5688700001
2018-04-02,829504.3237162499
2018-04-03,828563.214045
2018-04-04,826053.5882550001
2018-04-05,836719.4978625
2018-04-09,759339.3693375
2018-04-10,700781.4342375
2018-04-11,665228.4022125
2018-04-12,684259.73112
2018-04-13,671073.1470555
2018-04-16,672785.6904404999
2018-04-17,664565.4821925
2018-04-18,649152.5917275001
2018-04-19,646737.6687975
2018-04-20,641907.8229375
2018-04-23,640136.8794555
2018-04-24,644242.2484365
2018-04-25,648991.5968655001
2018-04-26,666862.0265475
2018-04-27,678453.6566115
2018-04-28,673060.3287345
2018-04-30,669518.4417705
2018-05-02,667023.0214095
2018-05-03,655270.3964835
2018-05-04,661710.1909635
2018-05-07,663803.1241695
2018-05-08,673301.8210275
2018-05-10,682156.5384375
2018-05-11,705983.7780135
2018-05-14,709928.1521325
2018-05-15,707432.7317715
2018-05-16,710330.6392875
2018-05-17,701314.9270155
2018-05-18,716770.4337675
2018-05-21,708479.1983745
2018-05-22,702280.8961875
2018-05-23,686664.3945735
2018-05-24,691977.2250195
2018-05-25,689079.3175035
2018-05-28,682317.5332995
2018-05-29,692943.1941915
2018-05-30,689320.8097965
2018-05-31,695358.1171215
2018-06-01,695921.5991384999
2018-06-04,680868.5795415001
2018-06-05,684249.4716435
2018-06-06,686422.9022805
2018-06-07,688757.3277795
2018-06-08,703327.3627905
2018-06-09,698256.0246374999
2018-06-13,706466.7625995
2018-06-14,714516.5056995001
2018-06-15,720151.3258694999
2018-06-18,721680.7770585
2018-06-19,714355.5108375
2018-06-20,707754.7214955001
2018-06-21,707271.7369095
