time,equity
2017-01-03,1000000.0
2017-10-04,994931.5
2017-10-06,1001962.0
2017-10-09,999509.5
2017-10-10,994604.5
2017-10-11,995422.0
2017-10-12,993787.0
2017-10-13,988228.0
2017-10-16,988882.0
2017-10-17,983323.0
2017-10-18,985939.0
2017-10-19,977437.0
2017-10-20,980380.0
2017-10-23,981361.0
2017-10-25,983977.0
2017-10-26,981034.0
2017-10-27,1003433.5000000001
2017-10-30,1001308.0000000001
2017-10-31,1013733.9999999999
2017-11-01,1029593.5
2017-11-02,1031392.0000000001
2017-11-03,1037441.4999999999
2017-11-07,1088617.0
2017-11-08,1092214.0
2017-11-09,1102678.0
2017-11-10,1094993.5
2017-11-13,1088944.0
2017-11-15,1079134.0
2017-11-16,1081750.0
2017-11-17,1081913.5
2017-11-20,1074229.0
2017-11-21,1086818.5
2017-11-22,1103005.0
2017-11-23,1106602.0
2017-11-24,1111507.0
2017-11-27,1101697.0
2017-11-28,1094503.0
2017-11-29,1083221.5
2017-11-30,1077989.5
2017-12-01,1094830.0
2017-12-04,1110035.5
2017-12-05,1114123.0
2017-12-07,1104803.5
2017-12-08,1109381.5
2017-12-11,1123769.5
2017-12-12,1137176.5
2017-12-13,1132108.0
2017-12-14,1130636.5
2017-12-15,1119682.0
2017-12-18,1111670.5
2017-12-19,1113796.0
2017-12-20,1104313.0
2017-12-21,1091069.5
2017-12-22,1095811.0
2017-12-25,1086982.0
2017-12-26,1076518.0
2017-12-27,1075046.5
2017-12-28,1086001.0
2017-12-29,1091723.5
2018-04-25,1099774.9608125
2018-04-26,1130070.2879375
2018-04-27,1149721.3109375
2018-04-28,1140578.126625
2018-04-30,1134573.647375
2018-05-02,1130343.2188125
2018-05-03,1110419.2649375
2018-05-04,1121336.4999375
2018-05-07,1124884.6013125
2018-05-08,1140987.5229375002
2018-05-10,1155998.7210625
2018-05-11,1196392.4905625
2018-05-14,1203079.297
2018-05-15,1198848.8684375
2018-05-16,1203761.6241875
2018-05-17,1188477.4951875
2018-05-18,1214678.8591875
2018-05-21,1200622.919125
2018-05-22,1190115.0804375
2018-05-23,1163640.7855625
2018-05-24,1154634.0666875
2018-05-25,1159546.8224374999
2018-05-28,1171009.9191875
2018-05-29,1152996.4814374999
2018-05-30,1159137.426125
2018-05-31,1148902.5183125
2018-06-01,1147947.26025
2018-06-04,1173466.2970625
2018-06-05,1167734.7486875001
2018-06-06,1164050.181875
2018-06-07,1160092.6841875
2018-06-08,1135392.44
2018-06-09,1143989.7625624998
2018-06-14,1116423.7441874999
2018-06-15,1106871.1635625002
2018-06-18,1104278.32025
2018-06-19,1116696.6750625
2018-06-20,1127886.8409375001
2018-10-03,1159181.095065
2018-10-04,1148864.3079900001
2018-10-05,1148176.522185
2018-10-08,1143362.02155
2018-10-09,1144622.9621925
2018-10-10,1128574.6267424999
2018-10-11,1106221.58808
2018-10-12,1106680.11195
2018-10-15,1093153.6577849998
2018-10-16,1104158.230665
2018-10-17,1099114.468095
2018-10-18,1081117.4061975
2018-10-19,1080773.513295
2018-10-22,1076302.9055625
2018-10-23,1098426.6822900001
2018-10-24,1150010.617665
2018-10-25,1138088.997045
2018-10-26,1125594.2215875
2018-10-29,1121926.0306275
2018-10-30,1100375.4087375
2018-10-31,1138547.520915
2018-11-01,1136713.4254349999
2018-11-02,1146571.68864
2018-11-06,1163766.333765
2018-11-07,1191163.1349975
2018-11-08,1187838.8369399998
2018-11-09,1172822.1801975
