window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.5741523922560337,""cluster_atr_mult"":0.38790490260574545,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.4903538202225404,""allowshort"":false}",1.984,9.17,1.155,5.46
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":183,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":0.5125381329495904,""cluster_atr_mult"":0.8620252788571543,""confirmation_bars"":3,""cooldown_bars"":6,""retest_window"":20,""cancel_atr_mult"":1.3941108011878456,""allowshort"":true}",2.627,3.26,0.305,12.35
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.5741523922560337,""cluster_atr_mult"":0.38790490260574545,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.4903538202225404,""allowshort"":false}",10.96,-6.4,-0.566,15.56
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":211,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.8171558485648601,""cluster_atr_mult"":0.31383096359529383,""confirmation_bars"":1,""cooldown_bars"":7,""retest_window"":40,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",9.679,-2.17,-0.029,24.04
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":128,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.1881982429404654,""cluster_atr_mult"":0.9950202923669915,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":35,""cancel_atr_mult"":1.9137146876952342,""allowshort"":false}",2.09,-5.37,-0.158,18.25
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",2.366,-21.57,-0.656,33.51
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":203,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":0.9623258550125454,""cluster_atr_mult"":0.5984557630028188,""confirmation_bars"":2,""cooldown_bars"":15,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",0.571,70.62,2.71,11.49
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.9419203085006955,""cluster_atr_mult"":0.9847065437552076,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5454656587639881,""allowshort"":true}",4.356,1.45,0.182,11.4
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":187,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.9392607673877916,""cluster_atr_mult"":0.6128700874469244,""confirmation_bars"":3,""cooldown_bars"":15,""retest_window"":29,""cancel_atr_mult"":2.193992246777331,""allowshort"":true}",5.485,-20.77,-0.775,34.55
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":136,""pivot_window"":8,""min_touches"":4,""tolerance_atr_mult"":0.866586340996607,""cluster_atr_mult"":0.6751213083471953,""confirmation_bars"":2,""cooldown_bars"":6,""retest_window"":20,""cancel_atr_mult"":1.9538353190917421,""allowshort"":true}",5.694,0.0,0.0,0.0
