time,equity
2017-01-03,1000000.0
2019-04-23,1015749.9999999999
2019-04-24,1012250.0000000001
2019-04-25,992737.5
2019-04-26,982150.0
2019-04-29,975850.0
2019-04-30,968675.0
2019-05-02,975675.0
2019-05-03,958525.0
2019-05-06,962900.0
2019-05-07,950212.5
2019-05-08,937175.0
2019-05-10,930000.0
2019-05-13,940500.0
2019-05-14,912237.5
2019-05-15,879250.0
2019-05-16,914250.0
2019-05-17,924750.0
2019-05-20,909437.5
2019-05-21,931750.0
2019-05-22,934812.5
2019-05-23,927375.0
2019-05-24,921250.0
2019-05-27,917750.0
2019-05-28,896750.0
2019-05-30,919500.0
2019-05-31,926237.5
2019-06-03,923787.5
2019-06-04,909000.0
2019-06-05,897275.0
2019-06-06,906637.5
2019-06-07,902525.0
2019-06-10,910925.0
2019-06-11,920725.0
2019-06-13,916087.5
2019-06-14,910487.5
2019-06-17,912500.0
2019-06-19,922125.0
2019-06-20,935250.0
2019-06-21,938400.0
2019-06-24,926500.0
2019-06-25,933412.5
2019-06-26,941987.5
2019-06-27,945750.0
2019-06-28,932625.0
2019-07-01,945487.5
2019-07-02,944350.0
2019-07-03,939712.5
2019-07-04,960537.5
2019-07-05,959750.0
2019-07-08,941812.5
2019-07-09,944700.0
2019-07-10,943125.0
2019-07-12,925275.0
2019-07-16,912587.5
2019-07-17,915300.0
2019-07-18,908300.0
2019-07-19,914337.5
2019-07-22,908212.5
2019-07-23,914687.5
2019-07-24,902787.5
2019-07-25,896137.5
2019-07-26,892375.0
2019-07-29,895787.5
2019-07-30,897625.0
2019-07-31,918887.5
2019-08-01,917837.5
2019-08-02,902000.0
2019-08-05,903575.0
2019-08-06,920287.5
2019-08-07,916000.0
2019-08-08,926150.0
2019-08-09,929475.0
2019-08-13,927550.0
2019-08-14,897887.5
2019-08-15,883362.5
2019-08-20,936387.5
2019-08-21,927900.0
2019-08-23,911362.5
2019-08-26,899375.0
2019-08-27,894387.5
2019-08-28,913375.0
2019-08-29,941550.0
2019-08-30,945662.5
2019-09-02,962375.0
2019-09-03,952575.0
2019-09-04,958000.0
2019-09-05,971037.5
2019-09-06,971387.5
2019-09-09,966750.0
2019-09-10,962550.0
2019-09-11,973750.0
2019-09-12,954412.5
2019-09-13,945312.5
2019-09-16,977075.0
2019-09-17,961937.5
2019-09-18,960975.0
2019-09-19,947675.0
2019-09-20,964825.0
2019-09-23,952750.0
2019-09-24,938312.5
2019-09-25,939362.5
2019-09-26,947062.5
2019-09-27,950125.0
2019-10-01,972000.0
2019-10-02,951000.0
2019-10-03,942687.5
2019-10-04,937875.0
2019-10-07,943475.0
2019-10-09,932450.0
2019-10-10,934987.5
2019-10-11,953625.0
2019-10-15,984512.5
2019-10-16,1003500.0000000001
2019-10-17,1004375.0
2019-10-18,1005250.0
2019-10-21,1013649.9999999999
2019-10-22,1029837.5
2019-10-23,1050050.0
2019-10-24,1080500.0
2019-10-25,1074812.5
2020-02-20,1080485.89778125
2020-02-21,1065110.1675625
2020-02-25,1018242.9685
2020-02-26,1033289.80609375
2020-02-27,991109.3269375
2020-02-28,941693.21003125
2020-03-02,917108.4863125
2020-03-03,955260.0308125
2020-03-04,976062.4893437499
2020-03-05,968497.95896875
2020-03-06,924015.2314375
2020-03-10,752497.7274999999
2020-03-11,811533.9536875
2020-03-12,746330.9907812501
2020-03-13,730297.4753125
2020-03-16,703492.7263750001
2020-03-17,689925.90559375
2020-03-18,621762.9090625
2020-03-19,716977.324
2020-03-20,739917.58459375
2020-03-23,691077.02978125
2020-03-24,743453.1803125
2020-03-25,759240.0263125
2020-03-26,777329.1206875
2020-03-27,732928.6163125
2020-03-30,737697.5593750001
2020-03-31,779795.815375
2020-04-01,773135.7397187499
2020-04-02,834885.3300625001
2020-04-03,860292.28534375
2020-04-06,853467.7633750001
2020-04-07,846067.6793125
2020-04-08,849685.4981875
2020-04-09,859716.72325
2020-04-10,848041.0350624999
2020-04-13,833240.8669375
2020-04-14,801009.3896875
2020-04-15,741808.7171875
2020-04-16,754553.30640625
2020-04-17,764173.4156875
2020-04-20,748139.90021875
2020-04-21,740328.700375
2020-04-22,795500.43821875
2020-04-23,810629.49896875
2020-04-24,784811.42790625
2020-04-27,769106.8050625001
2020-04-28,783660.30371875
2020-04-29,809725.04425
2020-04-30,798131.57921875
2020-05-04,801749.39809375
2020-05-05,822551.856625
2020-05-06,803229.4149062501
2020-05-07,800187.158125
2020-05-08,799036.0339375001
2020-05-12,809807.26740625
2020-05-13,796898.231875
2020-05-14,805284.9938125
2020-05-15,806025.0022187501
2020-05-18,854701.11071875
2020-05-19,871392.4114375
2020-05-20,900663.8550625
2020-05-21,873694.6598125
2020-05-22,878792.4955
