window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":26,""rsi_upper"":79,""rsi_window"":14,""allowshort"":false}",14.183,0.0,0.0,0.0
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":30,""rsi_upper"":72,""rsi_window"":14,""allowshort"":false}",8.684,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":44,""rsi_upper"":81,""rsi_window"":13,""allowshort"":false}",6.231,7.48,0.519,13.44
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":44,""rsi_upper"":81,""rsi_window"":14,""allowshort"":false}",4.736,-20.49,-0.298,42.46
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":45,""rsi_upper"":80,""rsi_window"":13,""allowshort"":false}",0.408,19.13,0.826,15.26
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":42,""rsi_upper"":71,""rsi_window"":13,""allowshort"":true}",0.934,-14.72,-0.075,49.43
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":16,""rsi_upper"":65,""rsi_window"":19,""allowshort"":true}",0.51,-59.78,-0.964,77.82
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":40,""rsi_upper"":73,""rsi_window"":21,""allowshort"":true}",0.601,5.34,0.35,19.18
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",0.597,39.57,1.297,13.11
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":45,""rsi_upper"":80,""rsi_window"":13,""allowshort"":false}",0.528,1.99,0.406,9.11
