time,equity
2017-01-03,1000000.0
2017-10-05,1005099.5
2017-10-06,1007073.5
2017-10-09,1004606.0000000001
2017-10-10,999671.0
2017-10-11,1000493.4999999999
2017-10-12,998848.5
2017-10-13,993255.5
2017-10-16,993913.5
2017-10-17,988320.5
2017-10-18,990952.5
2017-10-19,982398.5
2017-10-20,985359.5
2017-10-23,986346.5
2017-10-25,988978.5
2017-10-26,986017.5
2017-10-27,1008554.0
2017-10-30,1006415.4999999999
2017-10-31,1018917.4999999999
2017-11-01,1034874.0000000001
2017-11-02,1036683.5000000001
2017-11-03,1042770.0
2017-11-07,1094258.5
2017-11-08,1097877.5
2017-11-09,1108405.5
2017-11-10,1100674.0
2017-11-13,1094587.5
2017-11-15,1084717.5
2017-11-16,1087349.5
2017-11-17,1087514.0
2017-11-20,1079782.5
2017-11-21,1092449.0
2017-11-22,1108734.5
2017-11-23,1112353.5
2017-11-24,1117288.5
2017-11-27,1107418.5
2017-11-28,1100180.5
2017-11-29,1088830.0
2017-11-30,1083566.0
2017-12-01,1100509.5
2017-12-04,1115808.0
2017-12-05,1119920.5
2017-12-07,1110544.0
2017-12-08,1115150.0
2017-12-11,1129626.0
2017-12-12,1143115.0
2017-12-13,1138015.5
2017-12-14,1136535.0
2017-12-15,1125513.5
2017-12-18,1117453.0
2017-12-19,1119591.5
2017-12-20,1110050.5
2017-12-21,1096726.0
2017-12-22,1101496.5
2017-12-25,1092613.5
2017-12-26,1082085.5
2017-12-27,1080605.0
2017-12-28,1091626.5
2017-12-29,1097384.0
2019-05-17,1084742.13632
2019-05-20,1103178.18752
2019-05-21,1076314.2272
2019-05-22,1072627.01696
2019-05-23,1081581.6704
2019-05-24,1088956.09088
2019-05-27,1093170.04544
2019-05-28,1118453.7728000002
2019-05-30,1091063.06816
2019-05-31,1082951.205632
2019-06-03,1085900.973824
2019-06-04,1103704.93184
2019-06-05,1117821.679616
2019-06-06,1106549.351168
2019-06-07,1111500.747776
2019-06-10,1101387.256832
2019-06-11,1089588.184064
2019-06-13,1095171.673856
2019-06-14,1101914.001152
2019-06-17,1099490.97728
2019-06-19,1087902.60224
2019-06-20,1072100.27264
2019-06-21,1068307.713536
2019-06-24,1082635.15904
2019-06-25,1074312.598784
2019-06-26,1063988.410112
2019-06-27,1059458.40896
2019-06-28,1075260.73856
2019-07-01,1059774.455552
2019-07-02,1061143.990784
2019-07-03,1066727.480576
2019-07-04,1041654.4509439999
2019-07-05,1042602.5907200001
2019-07-08,1064199.10784
2019-07-09,1060722.595328
2019-07-10,1062618.87488
2019-07-12,1084110.043136
2019-07-16,1099385.6284160002
2019-07-17,1096119.813632
2019-07-18,1104547.7227520002
2019-07-19,1097278.651136
2019-07-22,1104653.071616
2019-07-23,1096857.25568
2019-07-24,1111184.701184
2019-07-25,1119191.2148479999
2019-07-26,1123721.216
2019-07-29,1119612.610304
2019-07-30,1117400.28416
2019-07-31,1091800.510208
2019-08-01,1093064.696576
2019-08-02,1112132.84096
2019-08-05,1110236.5614079998
2019-08-06,1090114.928384
2019-08-07,1095277.02272
2019-08-08,1083056.554496
2019-08-09,1079053.297664
2019-08-13,1081370.972672
2019-08-14,1117084.2375679999
2019-08-15,1134572.148992
2019-08-16,1139523.5456
2019-08-20,1070730.737408
2019-08-21,1080949.577216
2019-08-23,1100860.512512
2019-08-26,1115293.3068799998
2019-08-27,1121298.192128
2019-08-28,1098437.48864
2019-08-29,1064515.1544320001
2019-08-30,1059563.757824
2019-09-02,1039442.1248
2019-09-03,1051241.197568
2019-09-04,1044709.568
2019-09-05,1029012.587264
2019-09-06,1028591.1918080001
2019-09-09,1023676.557564
2019-09-10,1019225.5680600001
2019-09-11,1031094.873404
2019-09-12,1010601.7758960001
2019-09-13,1000957.9653040001
2019-09-16,1034618.5734280001
2019-09-17,1018576.4654239999
2019-09-18,1017556.446996
2019-09-19,1003461.6468999999
2019-09-20,1021636.520708
2019-09-23,1008839.925884
2019-09-24,993539.649464
2019-09-25,994652.39684
2019-09-26,1002812.544264
2019-09-27,1006058.057444
2019-10-01,1029240.294444
2019-10-02,1006985.3469240001
2019-10-03,998176.096864
2019-10-04,993076.004724
2019-10-07,999010.657396
2019-10-08,990294.136284
2019-10-09,987326.809948
2019-10-10,990015.94944
2019-10-11,1009767.215364
2019-10-14,1014403.662764
2019-10-15,1042500.534008
2019-10-16,1062622.715724
2019-10-17,1063550.005204
2019-10-18,1064477.294684
2019-10-21,1073379.273692
2019-10-22,1090534.129072
2019-10-23,1111954.51606
2019-10-24,1144224.1899640001
2019-10-25,1138196.808344
2019-10-28,1100827.0423
2019-10-29,1083023.084284
2019-10-30,1088586.821164
2019-10-31,1101476.144936
2019-11-01,1120300.12138
2019-11-05,1117889.1687319998
2019-11-06,1142369.6110039998
2019-11-07,1141164.13468
2019-11-08,1123823.821404
2019-11-11,1125307.484572
2019-11-12,1122525.616132
2019-11-13,1125678.400364
2019-11-14,1132076.697776
2019-11-15,1146264.22682
2019-11-18,1130685.763556
2019-11-19,1133096.7162040002
2019-11-21,1132633.071464
2019-11-22,1138660.453084
2019-11-25,1135507.668852
2019-11-26,1127532.979324
2019-11-27,1128460.268804
2019-11-29,1141905.966264
2019-12-02,1145986.039976
2019-12-04,1129943.9319719998
2019-12-05,1138938.639928
2019-12-06,1157206.2426840002
2019-12-09,1150158.842636
2019-12-10,1134024.005684
2019-12-11,1136805.874124
2019-12-12,1141627.77942
2019-12-13,1147562.432092
2019-12-16,1151642.505804
2019-12-17,1158318.99006
2019-12-18,1162862.708512
2019-12-19,1131056.679348
2019-12-20,1131149.408296
2019-12-23,1131613.053036
2019-12-24,1131334.866192
2019-12-25,1131427.5951399999
2019-12-26,1132169.4267240001
2019-12-30,1147747.889988
2021-12-23,1155856.7288307655
2021-12-24,1154234.9610622122
2021-12-27,1139098.4618890504
2021-12-28,1124592.6501814371
2021-12-29,1117745.1862697687
2021-12-30,1107473.9904022662
2023-04-10,1110688.4336594087
2023-04-11,1103426.172967346
2023-04-12,1115331.5183641703
2023-04-13,1101640.3711578222
2023-04-14,1102949.959151473
2023-04-17,1108188.3111260757
2023-04-18,1098544.981354648
2023-04-19,1084258.5668784587
2023-04-20,1133427.6433673433
2023-04-21,1129498.8793863913
2023-04-24,1124974.848135598
2023-04-25,1119855.5496149634
2023-04-26,1112712.3423768687
2023-04-27,1122474.7256022647
2023-04-28,1116402.9994498845
2023-05-02,1094140.003557823
2023-05-03,1076877.2527324276
2023-05-04,1086163.4221419506
2023-05-05,1076996.3061863957
2023-05-08,1090211.2395768708
2023-05-10,1126284.4361292487
2023-05-11,1143547.1869546438
2023-05-12,1150809.4476467068
2023-05-15,1204740.6622943212
2023-05-16,1214383.992065749
2023-05-17,1217003.1680530503
2023-05-18,1211764.8160784477
2023-05-19,1212598.1902562252
2023-05-22,1215336.4196974947
2023-05-23,1235099.2930562233
2023-05-24,1239623.3243070166
2023-05-25,1242361.553748286
2023-05-26,1264505.4961863796
2023-05-29,1322127.3679070093
2023-05-30,1320103.459189549
2023-05-31,1329389.6285990723
2023-06-01,1356771.9230117684
2023-06-02,1285101.7437228856
2023-06-05,1233551.598154636
2023-06-06,1229503.7807197159
2023-06-07,1217955.5956847963
2023-06-08,1209383.7469990826
2023-06-09,1212241.0298943205
2023-06-13,1256767.0216784438
2023-06-14,1252481.0973355868
2023-06-15,1265934.1376339984
2023-06-16,1255933.6475006659
2023-06-19,1240099.5381228896
2023-06-20,1229741.8876276524
2023-06-21,1223670.161475272
2023-06-22,1226527.4443705096
2023-06-23,1201050.0052213056
2023-06-26,1205454.9830181305
2023-06-27,1226765.5512784463
2023-06-28,1219622.3440403515
2023-06-29,1223432.0545673354
2023-06-30,1212717.2437101936
2023-07-03,1216646.0076911454
2023-07-04,1243671.141741937
2023-07-05,1264981.7100022524
2023-07-06,1276529.8950371721
2023-07-07,1298554.7840212972
2023-07-10,1297721.4098435196
2023-07-11,1298435.730567329
2023-07-12,1312960.2519514547
2023-07-13,1312484.0381355816
2023-07-14,1316293.7486625654
2023-07-17,1313674.5726752642
2023-07-18,1321889.2609990728
2023-07-19,1317246.1762943112
2023-07-20,1287720.919710187
2023-07-21,1314150.786491137
2023-07-24,1323794.116262565
2023-07-25,1344747.5241609756
2023-07-26,1342961.7223514519
2023-07-27,1352962.2124847844
2023-07-28,1407250.5874943037
2023-07-31,1417251.077627636
2023-08-01,1433918.56118319
2023-08-02,1448562.1360212842
2023-08-03,1468920.276649854
2023-08-04,1456538.7174371565
2023-08-07,1443561.8909546179
2023-08-08,1461658.015957791
2023-08-09,1472849.0406308058
2023-08-10,1492016.646719693
2023-08-11,1499755.1212276288
2023-08-14,1462372.3366816004
2023-08-15,1463324.7643133462
2023-08-16,1454514.8087196962
2023-08-17,1470587.025005409
2023-08-18,1498088.3728720734
2023-08-21,1495231.0899768355
2023-08-22,1576425.5455831776
2023-08-23,1530232.8054434992
2023-08-24,1565710.734726036
2023-08-25,1566782.2158117502
2023-08-28,1589640.478973653
2023-08-29,1617618.0406561901
2023-08-30,1631309.187862538
2023-08-31,1629642.4395069827
2023-09-01,1627023.2635196813
2023-09-04,1634404.5776657125
2023-09-05,1650119.6335895204
2023-09-06,1638571.448554601
2023-09-07,1590711.9600593671
2023-09-08,1580830.5233800027
2023-09-11,1540590.4559387362
2023-09-12,1605593.6418053976
2023-09-13,1577258.9197609555
2023-09-14,1555591.191138735
2023-09-15,1563686.8260085757
2023-09-18,1557257.9394942904
2023-09-19,1513922.48224985
2023-09-20,1532732.9279768325
2023-09-21,1522256.224027627
2023-09-22,1549876.6253482595
2023-09-25,1538923.707583181
2023-09-26,1523922.9723831823
2023-09-27,1548686.0908085771
2023-09-28,1585711.7149927008
2023-09-29,1593212.0825927001
2023-10-02,1603450.679633969
2023-10-03,1611665.3679577778
2023-10-04,1589283.318611748
2023-10-05,1603807.8399958739
2023-10-06,1621784.9115450785
2023-10-09,1637619.020922855
2023-10-10,1635237.95184349
2023-10-11,1644047.9074371401
2023-10-12,1698693.4428085638
2023-10-13,1728218.6993926885
2023-10-16,1749886.4280149087
2023-10-17,1761672.7199577647
2023-10-18,1786316.7849291912
2023-10-19,1785840.5711133182
2023-10-20,1787150.159106969
2023-10-23,1780245.0587768108
2023-10-24,1775840.0809799857
2023-10-25,1774292.3860783987
2023-10-26,1724528.0423196729
2023-10-27,1745838.6105799882
2023-10-30,1729171.1270244343
2023-10-31,1705955.7035006266
2023-11-01,1727266.2717609424
2023-11-02,1730480.715018085
2023-11-03,1726790.0579450694
2023-11-06,1759648.8112403047
2023-11-07,1749529.267653004
2023-11-08,1740362.1516974492
2023-11-09,1732028.409919672
2023-11-10,1738814.456795862
2023-11-13,1736195.2808085608
2023-11-14,1717741.9954434829
2023-11-15,1723456.5612339587
2023-11-16,1702384.0998815796
2023-11-17,1723813.7215958633
2023-11-20,1716432.4074498322
2023-11-21,1719884.9576149113
2023-11-22,1741314.5793291952
2023-11-23,1731552.1961037992
2023-11-27,1723099.4008720538
2023-11-29,1718218.209259356
2023-11-30,1727028.164853006
2023-12-01,1711908.376199039
2023-12-04,1701669.77915777
2023-12-05,1729290.1804784026
2023-12-06,1702979.3671514206
2023-12-07,1692026.4493863422
2023-12-08,1703455.5809672938
2023-12-11,1664644.1549736464
2023-12-12,1673573.1640212645
2023-12-13,1680478.2643514227
2023-12-14,1636785.6467450773
2023-12-15,1565353.574364131
2023-12-18,1604284.0538117466
2023-12-19,1600831.5036466678
2023-12-20,1607022.2832530164
2023-12-21,1599164.7552911122
2023-12-22,1606427.015983175
2023-12-25,1609165.2454244448
2023-12-26,1615594.13193873
2023-12-27,1614879.8112149204
2023-12-28,1614641.704306984
2023-12-29,1607974.7108847622
2024-08-01,1625111.7013660166
2024-08-02,1647803.4404860225
2024-08-05,1688814.0314997826
2024-08-06,1681841.049166031
2024-08-07,1668131.4567810274
2024-08-08,1690468.6374772834
2024-08-09,1690941.3820422832
2024-08-12,1681486.4907422808
2024-08-13,1682431.9798722812
2024-08-14,1696496.1306810349
2024-08-15,1705478.277416037
2024-08-16,1730888.2977847937
2024-08-19,1754761.8983172993
2024-08-20,1752634.547774799
2024-08-21,1714342.238009789
2024-08-22,1688459.4730760327
2024-08-23,1686332.122533532
2024-08-26,1635039.3372310193
2024-08-27,1663049.4527072762
2024-08-28,1695550.6415510345
2024-08-29,1710914.8399135384
2024-08-30,1753225.4784810492
2024-09-02,1760316.646956051
2024-09-03,1744006.9594635468
2024-09-04,1724860.8045810417
2024-09-05,1723206.1986035414
2024-09-06,1709023.8616535377
2024-09-09,1664585.8725435266
2024-09-10,1684677.5165560318
2024-09-11,1689759.520629783
2024-09-12,1681604.676883531
2024-09-13,1639884.96902227
2024-09-16,1593556.0016522587
2024-09-17,1597692.5165960097
2024-09-18,1611283.9228397629
2024-09-19,1595801.538336009
2024-09-20,1575355.335899754
2024-09-23,1555263.691887249
2024-09-24,1561882.1157972505
2024-09-25,1582564.6905160057
2024-09-26,1577128.1280185045
2024-09-27,1571337.0070972529
2024-09-30,1580910.0845385054
2024-10-01,1558454.7177009997
2024-10-02,1594501.4907822588
2024-10-03,1561527.5573735004
2024-10-04,1548999.8264009973
2024-10-07,1538126.7014059944
2024-10-08,1557391.0424297494
2024-10-09,1578664.5478547548
2024-10-10,1584928.4133410065
2024-10-11,1589655.8589910076
2024-10-14,1567318.678294752
2024-10-15,1553254.5274859983
2024-10-16,1555854.622593499
2024-10-18,1559872.951396
2024-10-21,1546399.7312934967
2024-10-22,1562945.7910685008
2024-10-23,1570036.9595435024
2024-10-24,1560936.6266672504
2024-10-25,1610102.0614272626
2024-10-28,1614120.3902297637
2024-10-30,1600292.6117035104
2024-10-31,1599701.6809972601
2024-11-01,1587883.066872257
2024-11-02,1588473.9975785073
2024-11-05,1581146.4568210053
2024-11-06,1551954.4799322481
2024-11-07,1519926.0356534899
2024-11-08,1510471.1443534875
2024-11-11,1545808.8005872464
2024-11-12,1553490.8997684985
2024-11-13,1568855.0981310024
2024-11-14,1567082.3060122519
2024-11-15,1546163.3590109965
2024-11-18,1561645.7435147506
2024-11-20,1598756.1918672598
2024-11-21,1565664.0723172515
2024-11-22,1565309.5138935014
2024-11-25,1577955.4310072546
2024-11-26,1581973.7598097555
2024-11-27,1575591.7081822539
2024-11-28,1573464.3576397535
2024-11-29,1584101.110352256
2024-12-02,1596037.9106185092
2024-12-03,1605256.4296360114
2024-12-04,1617193.2299022647
2024-12-05,1588710.3698610074
2024-12-06,1584219.2964935063
2024-12-09,1557509.2285709993
2024-12-10,1576182.6388885041
2024-12-11,1575828.080464754
2024-12-12,1583628.365787256
2024-12-13,1598401.63344351
2024-12-16,1603247.265234761
2024-12-17,1718833.3113772904
2024-12-18,1698859.8535060352
2024-12-19,1718006.0083885402
2024-12-20,1616129.5546310141
2024-12-23,1570273.3318260026
2024-12-24,1590601.348121008
2024-12-25,1554081.8304747485
2024-12-26,1550418.0600959978
2024-12-27,1553372.7136272483
2024-12-28,1551599.9215084978
2024-12-30,1495579.6905559837
2025-01-13,1493031.2227632762
2025-01-14,1515330.315949466
2025-01-15,1528709.7718611797
2025-01-16,1534974.7551849189
2025-01-17,1563432.645536818
2025-01-20,1532001.5427600937
2025-01-21,1541664.4831407757
2025-01-22,1536461.3613973316
2025-01-24,1533169.5904984178
2025-01-27,1504711.7001465184
2025-01-28,1524780.8840140894
2025-01-29,1531576.7981279755
2025-01-30,1526055.117910443
2025-01-31,1527116.979490738
2025-02-03,1526904.6071746787
2025-02-04,1510658.124996169
2025-02-06,1520745.8100089692
2025-02-07,1522232.416221382
2025-02-10,1522126.2300633523
2025-02-11,1548354.2110966328
2025-02-12,1634364.9991005072
2025-02-13,1604208.1302201364
2025-02-14,1595394.67910369
2025-02-17,1657407.3953929034
2025-02-18,1627675.2711446504
2025-02-19,1642541.3332687768
2025-02-20,1643709.3810071012
2025-02-21,1641479.471688482
2025-02-24,1647425.8965381326
2025-02-25,1645620.7318516315
2025-02-26,1608667.9488573745
2025-02-27,1596350.3545259554
2025-02-28,1606862.7841708735
2025-03-02,1603571.0132719595
2025-03-03,1563326.4593787887
2025-03-04,1574263.6336558245
2025-03-05,1541983.041614864
2025-03-06,1527966.4687549735
2025-03-07,1538585.0845579212
2025-03-10,1530090.1919155628
2025-03-11,1543575.8339853063
2025-03-12,1534337.6382367418
2025-03-13,1518409.7145323209
2025-03-14,1522550.9746954704
2025-03-15,1526267.4902265018
2025-03-16,1535293.3136590072
2025-03-17,1538054.1537677736
2025-03-18,1529665.4472834452
2025-03-19,1537735.595293685
2025-03-20,1553132.588207959
2025-03-21,1564388.3209590835
2025-03-24,1552601.6574178117
2025-03-25,1547079.977200279
2025-03-27,1513843.7097370531
2025-03-28,1504499.3278304597
2025-03-29,1493668.339711453
2025-03-30,1459582.5829839916
2025-03-31,1496429.1798202193
2025-04-01,1470625.9434190572
