window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,80,103,False,1.165,9.74,1.223,5.47
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,34,64,True,1.067,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,34,64,True,13.34,4.59,0.356,13.36
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,100,121,False,8.854,0.0,0.0,0.0
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,11,177,True,0.847,-3.51,-1.573,4.19
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,48,168,False,1.002,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,34,129,True,0.447,45.19,1.865,12.41
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,40,193,True,1.416,-6.99,-0.355,15.04
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,39,170,False,2.863,-9.56,-0.631,18.39
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,14,74,False,3.038,-4.76,-1.254,7.63
