window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":203,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.8467903667112944,""cluster_atr_mult"":0.45347171131856234,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",39.699,-14.53,-0.867,21.43
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":292,""pivot_window"":9,""min_touches"":2,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.7522780959073165,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":false}",19.257,-8.97,-0.205,29.66
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":264,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":1.196414878572692,""cluster_atr_mult"":1.170692835118854,""confirmation_bars"":3,""cooldown_bars"":12,""allowshort"":false}",1.199,8.38,0.502,13.56
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":132,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.6191573070221035,""cluster_atr_mult"":0.7242447187592536,""confirmation_bars"":2,""cooldown_bars"":7,""allowshort"":false}",2.146,100.79,2.142,15.22
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":289,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.6401563949686822,""cluster_atr_mult"":0.7825697298279836,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":false}",13.371,-4.91,-0.241,14.96
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42683180247728636,""cluster_atr_mult"":1.0219772826786355,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",8.307,-42.28,-1.821,42.28
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":264,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.6559472951946903,""cluster_atr_mult"":1.170692835118854,""confirmation_bars"":3,""cooldown_bars"":17,""allowshort"":true}",4.259,5.35,0.5,7.55
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":255,""pivot_window"":7,""min_touches"":5,""tolerance_atr_mult"":0.5738217669989432,""cluster_atr_mult"":1.0139754952895468,""confirmation_bars"":3,""cooldown_bars"":17,""allowshort"":true}",1.042,5.79,0.337,22.21
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",3.801,44.95,1.371,17.4
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":124,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.6204821010014943,""cluster_atr_mult"":0.7155982411707246,""confirmation_bars"":2,""cooldown_bars"":14,""allowshort"":true}",5.56,-0.84,-0.168,6.78
