window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":20,""macd_slow"":42,""macd_signal"":7,""allowshort"":false}",19.383,19.73,1.563,6.24
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":20,""macd_slow"":37,""macd_signal"":12,""allowshort"":false}",16.891,21.87,1.011,15.16
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":20,""macd_slow"":40,""macd_signal"":8,""allowshort"":false}",8.033,18.44,1.283,13.53
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":10,""macd_slow"":21,""macd_signal"":15,""allowshort"":false}",7.52,69.34,1.769,21.76
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":14,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",13.052,12.98,0.766,16.75
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":14,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",9.476,-6.63,0.024,37.63
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":7,""macd_slow"":29,""macd_signal"":10,""allowshort"":true}",2.895,7.52,0.426,21.3
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":7,""macd_slow"":29,""macd_signal"":10,""allowshort"":true}",0.721,0.71,0.173,25.26
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":7,""macd_slow"":21,""macd_signal"":14,""allowshort"":false}",1.787,17.46,0.883,10.78
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":7,""macd_slow"":21,""macd_signal"":14,""allowshort"":false}",19.768,0.26,0.116,5.81
