window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":232,""pivot_window"":9,""min_touches"":2,""tolerance_atr_mult"":0.34081683775981403,""cluster_atr_mult"":1.1857570766224488,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":30,""cancel_atr_mult"":2.462714816707233,""allowshort"":false}",23.047,-4.0,-0.142,17.19
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":211,""pivot_window"":5,""min_touches"":2,""tolerance_atr_mult"":0.34081683775981403,""cluster_atr_mult"":1.0111503682526546,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":30,""cancel_atr_mult"":1.0546721659108724,""allowshort"":false}",28.3,-3.14,0.032,27.68
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":128,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.1881982429404654,""cluster_atr_mult"":0.9950202923669915,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":35,""cancel_atr_mult"":1.9137146876952342,""allowshort"":false}",2.194,35.85,2.12,8.65
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":257,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.3947503282835558,""cluster_atr_mult"":0.6324526064193617,""confirmation_bars"":3,""cooldown_bars"":15,""retest_window"":15,""cancel_atr_mult"":0.9182450439672459,""allowshort"":false}",3.151,80.08,1.668,23.55
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",8.357,-19.94,-1.634,19.94
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.4636424704863905,""cluster_atr_mult"":0.46506405886809044,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.0824582803960838,""allowshort"":true}",10.148,-2.5,-0.372,4.88
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.4636424704863905,""cluster_atr_mult"":0.46506405886809044,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.0824582803960838,""allowshort"":true}",4.588,-3.15,-0.356,7.55
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":155,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.866586340996607,""cluster_atr_mult"":0.5966208914516267,""confirmation_bars"":2,""cooldown_bars"":15,""retest_window"":29,""cancel_atr_mult"":0.5219783784875427,""allowshort"":true}",1.429,11.36,0.505,22.21
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":258,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.6397448568469659,""cluster_atr_mult"":0.994731611142064,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":29,""cancel_atr_mult"":0.8424077969552171,""allowshort"":false}",3.223,0.6,0.125,23.75
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":128,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.1881982429404654,""cluster_atr_mult"":0.9950202923669915,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":35,""cancel_atr_mult"":1.9137146876952342,""allowshort"":false}",9.705,0.0,0.0,0.0
