window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",3.746,10.63,0.853,8.8
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":44,""rsi_upper"":80,""rsi_window"":13,""allowshort"":false}",11.609,18.5,0.688,28.16
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",2.014,15.7,1.639,5.67
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",5.403,73.25,2.453,9.45
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",22.781,3.01,0.251,22.93
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",7.303,3.81,0.301,41.92
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",2.457,0.0,0.0,0.0
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",6.426,0.0,0.0,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",9.039,0.0,0.0,0.0
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":39,""rsi_upper"":80,""rsi_window"":12,""allowshort"":false}",16.628,-10.54,-1.514,18.04
