window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,7,78,True,120.182,-11.05,-0.466,24.89
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,53,148,True,0.481,-41.46,-1.296,53.43
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,40,183,True,0.716,0.0,0.0,0.0
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,5,83,False,0.821,0.0,0.0,0.0
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,72,151,False,17.632,-19.67,-1.964,19.67
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,5,100,False,6.472,-6.2,-0.373,15.48
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,63,71,False,1.796,30.23,1.26,13.83
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,66,100,False,0.345,13.68,0.57,22.21
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,48,168,False,2.346,0.0,0.0,0.0
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,48,168,False,10.378,0.0,0.0,0.0
