window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":104,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":1.1429838779316581,""cluster_atr_mult"":1.1813011339788835,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":false}",0.898,-6.67,-0.377,13.96
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.9561064512368884,""cluster_atr_mult"":0.9941433120173511,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",0.832,38.64,1.417,20.86
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":291,""pivot_window"":10,""min_touches"":2,""tolerance_atr_mult"":0.31616568805333756,""cluster_atr_mult"":0.8090517816132626,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":false}",3.918,6.09,0.635,6.58
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",1.354,5.61,0.373,19.62
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":161,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.6961372443656411,""cluster_atr_mult"":0.4098344113603009,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":true}",2.218,20.51,1.034,15.55
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":145,""pivot_window"":4,""min_touches"":5,""tolerance_atr_mult"":1.196414878572692,""cluster_atr_mult"":0.740231810435635,""confirmation_bars"":2,""cooldown_bars"":14,""allowshort"":true}",3.237,-14.98,-0.517,33.03
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42683180247728636,""cluster_atr_mult"":1.0219772826786355,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",0.601,38.09,2.156,8.54
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":130,""pivot_window"":6,""min_touches"":5,""tolerance_atr_mult"":0.6665025629824473,""cluster_atr_mult"":0.8014800158704923,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",3.708,1.75,0.355,7.1
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":276,""pivot_window"":9,""min_touches"":2,""tolerance_atr_mult"":1.151228747976342,""cluster_atr_mult"":0.32267660716252566,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":false}",4.806,2.45,0.228,9.55
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":203,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.8467903667112944,""cluster_atr_mult"":0.45347171131856234,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",2.35,1.61,0.295,16.56
