time,equity
2017-01-03,1000000.0
2017-01-04,968782.7
2017-01-05,951148.5
2017-01-06,966638.0
2017-01-09,963063.5
2017-01-10,938280.3
2017-01-11,954723.0
2017-01-12,970331.65
2017-01-13,977361.5
2017-01-16,967352.9
2017-01-17,968544.4
2017-01-18,979744.5
2017-01-19,994638.25
2017-01-20,978553.0
2017-01-23,972118.9
2017-01-24,977004.05
2017-01-25,987608.4
2017-01-26,974978.5
2017-01-27,943999.5
2017-01-31,954961.3
2017-02-01,957106.0
2017-02-02,947097.4
2017-02-03,948408.05
2017-02-06,939233.5
2017-02-07,928986.6
2017-02-08,956748.5499999999
2017-02-09,952578.2999999999
2017-02-10,957820.8999999999
2017-02-13,954484.7
2017-02-14,976289.1499999999
2017-02-15,999761.7
2017-02-16,994995.7
2017-02-17,1014059.7
2017-02-20,1025974.7
2017-02-22,1030740.7
2017-02-24,1040272.7000000001
2017-02-27,1068749.5499999998
2017-02-28,1068630.4
2017-03-01,1043132.2999999999
2017-03-02,1055523.9
2017-03-03,1055762.2
2017-03-06,1066485.7
2017-03-07,1073396.4
2017-03-09,1097822.15
2017-03-10,1106996.7
2017-03-13,1099251.95
2017-03-14,1106043.5
2017-03-15,1107711.6
2017-03-16,1109498.85
2017-03-17,1108307.35
2017-03-20,1116171.25
2017-03-21,1133568.2000000002
2017-03-22,1149171.6500000001
2017-03-23,1140562.85
2017-03-24,1132312.75
2017-03-27,1111328.8
2017-03-28,1128546.4000000001
2017-03-29,1155807.6
2017-03-30,1179123.1
2017-03-31,1160470.7000000002
2017-04-03,1178047.0
2017-04-04,1189884.1
2017-04-05,1213199.6
2017-04-06,1212302.85
2017-04-07,1205128.85
2017-04-10,1173742.6
2017-04-11,1185579.7000000002
2017-04-12,1166209.9000000001
2017-04-13,1154731.5
2017-04-14,1132671.4500000002
2017-04-17,1105768.9500000002
2017-04-18,1123165.9000000004
2017-04-19,1135182.35
2017-04-20,1129622.5
2017-04-21,1126752.9000000004
2017-04-24,1116350.6
2017-04-25,1116888.6500000004
2017-04-26,1137467.8500000006
2017-04-27,1110610.2500000005
2017-04-28,1106773.4500000004
2017-05-02,1102413.4500000004
2017-05-03,1087240.6500000004
2017-05-04,1092995.8500000003
2017-05-05,1084450.2500000002
2017-05-10,1075381.4500000002
2017-05-11,1084799.0500000003
2017-05-12,1101715.8500000003
2017-05-15,1078520.6500000004
2017-05-16,1082880.6500000004
2017-05-17,1078209.6500000006
2017-05-18,1055546.6500000004
2017-05-19,1051740.6500000004
2017-05-22,1047588.6500000005
2017-05-23,1029942.6500000004
2017-05-24,1012144.2500000006
2017-05-25,1010166.6500000004
2017-05-26,1002256.2500000005
2017-05-29,991544.2500000006
2017-05-30,984283.5000000006
2017-05-31,973150.3500000006
2017-06-01,973473.0500000006
2017-06-02,974925.2000000007
2017-06-05,962017.2000000007
2017-06-06,954289.9000000007
2017-06-07,971479.2000000007
2017-06-08,969902.2000000007
2017-06-09,965171.2000000007
2017-06-13,984568.3000000006
2017-06-14,959809.4000000007
2017-06-15,951293.6000000007
2017-06-16,966748.2000000007
2017-06-19,980941.2000000007
2017-06-20,996711.2000000007
2017-06-21,1004280.8000000005
2017-06-22,1006173.2000000005
2017-06-23,1015635.2000000007
2017-06-26,1012481.2000000008
2017-06-27,1032351.4000000007
2017-06-28,1048436.8000000006
2017-06-29,1050329.2000000007
2017-06-30,1018789.2000000008
2017-07-03,1038974.8000000005
2017-07-05,1032036.0000000006
2017-07-06,1023520.2000000005
2017-07-07,1002388.4000000007
2017-07-10,993872.6000000008
2017-07-12,993714.9000000007
2017-07-13,1001757.6000000008
2017-07-17,1008381.0000000008
2017-07-18,1010904.2000000005
2017-07-19,1000180.6000000009
2017-07-20,1002230.7000000005
2017-07-21,1003650.0000000008
2017-07-24,1016581.4000000006
2017-07-25,1013900.5000000008
2017-07-26,1026989.6000000007
2017-07-28,1039921.0000000008
2017-07-31,1022889.4000000006
2017-08-01,1007750.2000000007
2017-08-02,989141.6000000008
2017-08-03,973786.6000000008
2017-08-04,970715.6000000008
2017-08-07,971483.3500000008
2017-08-08,967644.6000000008
2017-08-09,949986.3500000008
2017-08-10,963038.1000000008
2017-08-11,966262.6500000008
2017-08-15,963345.2000000009
2017-08-16,972097.5500000007
2017-08-17,973018.8500000008
2017-08-18,978239.5500000007
2017-08-21,975015.0000000007
2017-08-22,975475.6500000008
2017-08-23,968565.9000000008
2017-08-24,975322.1000000008
2017-08-30,994762.1000000008
2017-08-31,985042.1000000008
