window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":7,""macd_slow"":29,""macd_signal"":10,""allowshort"":true}",0.758,-8.87,-0.36,27.21
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":17,""macd_slow"":29,""macd_signal"":6,""allowshort"":true}",1.546,-31.45,-1.442,38.99
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":19,""macd_slow"":48,""macd_signal"":15,""allowshort"":false}",1.323,-0.79,-0.001,9.46
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",0.749,90.9,2.008,23.68
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",7.581,12.08,0.578,15.81
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":14,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",7.924,-10.02,-0.301,36.17
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",6.586,28.32,1.302,12.06
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",2.419,25.03,0.994,19.18
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",3.208,20.86,0.699,17.15
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",3.955,47.62,4.512,5.42
