window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":232,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.3132062328063658,""confirmation_bars"":3,""cooldown_bars"":9,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",3.921,-25.72,-1.35,28.32
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7022300234864176,""allowshort"":true}",0.342,33.34,1.267,20.86
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",4.674,6.98,0.636,8.31
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",2.896,-19.59,-1.259,23.09
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",2.901,17.72,0.857,13.09
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",6.925,7.98,0.56,14.44
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",4.579,45.08,2.298,10.29
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",5.93,12.13,0.858,13.56
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",5.802,-3.34,-0.117,10.62
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",2.069,-4.13,-2.034,5.58
