window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":31,""rsi_upper"":61,""rsi_window"":8,""allowshort"":false}",4.186,-9.9,-0.748,18.42
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":39,""rsi_upper"":79,""rsi_window"":15,""allowshort"":false}",6.841,26.24,1.548,7.17
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":39,""rsi_upper"":79,""rsi_window"":15,""allowshort"":false}",9.338,11.45,0.79,9.32
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":39,""rsi_upper"":81,""rsi_window"":15,""allowshort"":true}",6.507,-6.59,0.05,50.24
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",4.758,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",9.241,18.65,0.64,43.1
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",9.591,-70.76,-1.415,74.46
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",2.042,0.0,0.0,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",1.99,0.0,0.0,0.0
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":31,""rsi_upper"":61,""rsi_window"":8,""allowshort"":false}",1.665,-3.65,-0.621,10.41
