window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,12,102,True,0.598,4.68,0.356,12.06
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,5,146,True,0.453,-1.74,0.056,29.24
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,14,110,False,1.236,-10.89,-0.971,20.01
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,8,138,True,0.72,-31.63,-1.03,56.24
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,89,151,True,1.274,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,89,158,True,0.928,-33.01,-0.116,63.81
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,77,81,False,2.148,64.14,2.551,12.23
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,73,88,False,8.42,0.0,0.0,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,44,90,False,5.588,-7.82,-0.978,9.79
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,5,100,False,2.11,-3.54,-0.392,16.56
