time,equity
2017-01-03,1000000.0
2018-01-04,1029752.8
2018-01-05,1028890.3999999999
2018-01-09,1036651.9999999999
2018-01-10,1025268.32
2018-01-11,1030615.2
2018-01-12,1025225.2
2018-01-15,1029968.4
2018-01-16,1033374.88
2018-01-17,1034151.04
2018-01-18,1058643.2
2018-01-19,1045491.6000000001
2018-01-22,1052132.08
2018-01-23,1053900.0
2018-01-24,1067396.56
2018-01-25,1080806.88
2018-01-26,1065111.2
2018-01-29,1080116.96
2018-01-30,1111680.8
2018-01-31,1140571.2
2018-02-01,1134965.5999999999
2018-02-02,1109611.04
2018-02-05,1102366.88
2018-02-06,1116596.48
2018-02-07,1110732.16
2018-02-08,1091802.48
2018-02-09,1078521.52
2018-02-12,1099822.8
2018-02-13,1113836.8
2018-02-14,1129920.5599999998
2018-02-15,1140916.16
2018-02-16,1151308.08
2018-02-19,1150704.4000000001
2018-02-20,1152299.84
2018-02-21,1203957.5999999999
2018-02-22,1196584.08
2018-02-26,1207277.84
2018-02-27,1199688.72
2018-02-28,1174636.0
2018-03-01,1185847.2
2018-03-02,1177223.2
2018-03-05,1194471.2
2018-03-06,1181664.5599999998
2018-03-07,1181535.2
2018-03-09,1184122.4000000001
2018-03-12,1182828.8
2018-03-13,1181319.5999999999
2018-03-14,1131947.2
2018-03-15,1097494.3199999998
2018-11-07,1120241.1199999999
2018-11-08,1125733.6399999997
2018-11-09,1086120.9199999997
2018-11-12,1092057.2799999998
2018-11-13,1090614.7999999998
2018-11-14,1105261.5199999998
2018-11-15,1110532.1199999999
2018-11-16,1105594.3999999997
2018-11-19,1098548.4399999997
2018-11-20,1077576.9999999998
2018-11-21,1095829.9199999997
2018-11-22,1106371.1199999999
2018-11-23,1094720.3199999998
2018-11-26,1045897.9199999998
2018-11-27,1059934.3599999999
2018-11-28,1055329.5199999998
2018-11-29,1086176.3999999997
2018-11-30,1076411.9199999997
2018-12-03,1111364.3199999998
2018-12-04,1104151.9199999997
2018-12-05,1087507.9199999997
2018-12-06,1066370.0399999998
2018-12-07,1082015.3999999997
2018-12-10,1064206.3199999998
2018-12-11,1068478.2799999998
2018-12-12,1056716.5199999998
2018-12-13,1049615.0799999996
2018-12-14,1026091.5599999998
2018-12-17,1011500.32
2018-12-18,1035356.7199999997
2018-12-19,1047839.7199999999
2018-12-20,1050336.3199999998
2018-12-21,1036410.8399999999
2018-12-24,1022596.32
2018-12-25,1017048.3199999998
2018-12-26,1017603.1199999998
2018-12-27,1026479.9199999999
2018-12-28,1034801.9199999998
2018-12-29,1033692.3199999998
2019-01-21,1027394.869985019
2019-01-22,1031262.5951910701
2019-01-23,1043411.2192357183
2019-01-24,1052336.7389419903
2019-01-25,1051345.0145301824
2019-01-28,1039940.1837943902
2019-01-29,1059328.3960452366
2019-01-30,1056997.8436774877
2019-01-31,1080600.8846785184
2019-02-01,1072617.503163464
2019-02-04,1068700.1917368222
2019-02-05,1080352.9535755662
2019-02-06,1074105.0897811758
2019-02-07,1046435.9786917325
2019-02-08,1043559.9778974896
2019-02-11,1061262.2586482624
2019-02-12,1086551.2311493661
2019-02-13,1060766.3964423584
2019-02-14,1013808.2455432494
2019-02-15,1031510.5262940223
2019-02-18,1012618.1762490799
2019-02-19,1002155.4837045055
2019-02-20,1026006.4558084877
2019-02-21,1008750.4510430286
2019-02-22,1017874.3156316623
2019-02-25,1020899.0750876768
2019-02-26,1020601.5577641343
2019-02-27,1018618.1089405182
2019-02-28,1030518.8018822143
2019-03-01,1024270.9380878238
2019-03-04,1019113.9711464223
2019-03-05,1006320.726234099
2019-03-06,1016634.6601169023
2019-03-07,1011428.1069549102
2019-03-12,1017130.5223228063
2019-03-13,1021593.2821759423
2019-03-14,1009990.1065577886
2019-03-15,1009444.6581312943
2019-03-18,1021097.4199700382
2019-03-19,1030022.9396763102
2019-03-20,1040436.0460002943
2019-03-21,1044452.5298681166
2019-03-26,1081096.7468844224
2019-03-27,1061758.1208541663
2019-03-28,1066567.984251435
2019-03-29,1063344.8799130588
2019-04-01,1079609.1602667102
2019-04-02,1082237.2299580013
2019-04-03,1086303.3000464144
2019-04-04,1099939.5107087744
2019-04-05,1128203.6564453023
2019-04-08,1152005.0423286944
2019-04-09,1180269.1880652222
2019-04-10,1208434.1613605695
2019-04-11,1184533.6030359964
2019-04-12,1187707.1211537821
2019-04-15,1179277.4636534143
2019-04-16,1156666.147064192
2019-04-17,1161922.2864467744
2019-04-18,1154434.7671376239
2019-04-19,1153492.6289464063
2019-04-22,1167426.3569323088
2019-04-23,1168715.598667659
2019-04-24,1170351.9439471422
2019-04-25,1129691.2430630142
2019-04-26,1106782.4091502493
2019-04-29,1134649.8651220545
2019-04-30,1116650.0670477392
2019-05-02,1136137.4517397662
2019-05-03,1153095.939181683
2019-05-06,1154484.3533582145
2019-05-07,1147988.558460872
2019-05-08,1140600.2115929024
2019-05-10,1125724.3454157822
2019-05-13,1111939.376091651
2019-05-14,1130087.9328277374
2019-05-15,1134104.4166955596
2019-05-16,1131625.1056660397
2019-05-17,1125426.8280922398
2019-05-20,1120765.7233567424
2019-05-21,1154038.0773729004
2019-05-22,1169657.7368588767
2019-05-23,1137129.1761515744
2019-05-24,1162666.07975563
2019-05-28,1156418.21596124
2019-05-29,1157459.5265936384
2019-05-30,1154236.4222552623
2019-06-03,1189938.50108035
2019-06-05,1185227.8101242622
2019-06-06,1214434.094052008
2019-06-07,1231243.8228321534
2019-06-10,1234814.0307146623
2019-06-11,1169806.4955206476
2019-06-13,1192616.156992232
2019-06-14,1184236.0857124543
2019-06-18,1199111.9518895743
2019-06-19,1192169.8810069181
2019-06-20,1210516.7826253662
2019-06-21,1180368.360506403
2019-06-24,1185674.0861095758
2019-06-25,1173822.97938847
2019-06-26,1193112.0191981357
2019-06-27,1192665.7432128224
2019-06-28,1182996.4301976943
2019-07-01,1204963.1259192415
2019-07-02,1196136.7786541502
2019-07-03,1197673.9514924528
2019-07-04,1204169.7463897949
2019-07-05,1204219.3326103855
2019-07-08,1206549.8849781344
2019-07-09,1203773.0566250717
2019-07-10,1208830.8511252925
2019-07-11,1196632.6408600544
2019-07-12,1175409.738447363
2019-07-15,1166732.149844043
2019-12-24,1166122.602156785
2019-12-25,1163168.6402877679
2019-12-26,1164106.4059604718
2019-12-27,1182017.730309118
2019-12-30,1194630.678606987
2020-07-23,1187465.0448705666
2020-07-24,1190551.7794031785
2020-07-27,1195677.9635376947
2020-07-28,1188126.4879846976
2020-07-29,1208245.3827061858
2020-07-30,1202567.9959765605
2020-07-31,1221419.1247292971
2020-08-03,1249806.0583774243
2020-08-04,1252231.349795905
2020-08-05,1248042.2100730748
2020-08-06,1245837.3996926374
2020-08-07,1252892.792910036
2020-08-10,1245782.2794331268
2020-08-11,1282492.3722674036
2020-08-12,1336234.6252905568
2020-08-13,1330667.4790799534
2020-08-14,1322950.6427484236
2020-08-17,1310879.3059155308
2020-08-18,1302611.2669888919
2020-08-19,1319698.5474372788
