window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.9561064512368884,""cluster_atr_mult"":0.9941433120173511,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",5.46,0.0,0.0,0.0
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",11.45,3.37,0.295,16.22
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",12.417,15.57,0.947,8.41
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",9.987,25.35,1.292,17.08
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",2.585,4.72,0.365,16.39
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",3.778,-17.24,-0.678,25.55
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2.029,0.0,0.0,0.0
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.0491983767203794,""cluster_atr_mult"":0.4911051996104485,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",6.274,7.59,0.712,9.9
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",25.928,-1.4,-0.374,3.09
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",14.534,5.07,1.835,2.56
