time,equity
2017-01-03,1000000.0
2017-01-27,1029518.02
2017-01-30,1004660.7400000001
2017-01-31,990851.14
2017-02-01,1000632.9400000001
2017-02-02,994476.1600000001
2017-02-03,1000057.5400000003
2017-02-06,994706.3200000001
2017-02-07,998158.7200000001
2017-02-08,985097.14
2017-03-20,1001293.9400000001
2017-03-21,996282.0999999999
2017-03-22,995915.3799999999
2017-03-23,1003433.14
2017-03-24,1005694.5800000001
2017-03-27,994509.62
2017-03-28,1000438.2599999999
2017-03-29,997748.98
2017-03-30,999460.34
2017-03-31,976845.9400000001
2017-04-03,989069.9400000001
2017-04-05,1027575.5399999999
2017-04-06,1023847.2200000002
2017-04-07,987175.2200000001
2017-04-10,948730.7399999999
2017-04-24,966027.7799999998
2017-04-25,966324.98
2017-04-26,981184.98
2017-04-27,979045.1399999999
2017-04-28,982076.5799999998
2017-05-02,990635.9399999997
2017-05-03,979164.0199999999
2017-05-04,983859.7799999998
2017-05-05,985642.98
2017-05-10,1015362.9799999999
2017-05-11,1010429.4599999998
2017-05-12,996936.5799999998
2017-05-15,1018632.1799999998
2017-05-16,1014530.8199999998
2017-05-17,1006090.3399999999
2017-05-18,989803.7799999998
2017-05-19,1003891.0599999997
2017-05-22,998898.0999999999
2017-06-27,1016941.0299999997
2017-06-28,1005880.2299999999
2017-06-29,994128.1299999999
2017-06-30,1006502.3999999998
2017-07-03,1019706.2299999997
2017-07-04,1032771.7999999997
2017-07-05,1029799.2099999997
2017-07-06,1039408.2799999998
2017-07-07,1051920.8099999998
2017-07-10,1071553.7299999997
2017-07-11,1084757.5599999998
2017-07-12,1111994.7799999998
2017-07-13,1105703.9499999997
2017-07-14,1115796.93
2017-07-17,1119806.4699999997
2017-07-18,1117870.8299999996
2017-07-19,1136121.15
2017-07-20,1133286.8199999998
2017-07-21,1120636.0299999998
2017-07-24,1115313.0199999998
2017-07-25,1107639.5899999999
2017-07-26,1116833.88
2017-07-27,1147596.7299999997
2017-07-28,1143448.93
2017-07-31,1137434.6199999999
2017-08-01,1149739.7599999998
2017-08-02,1174557.43
2017-08-03,1175248.7299999997
2017-08-04,1173382.2199999997
2017-08-07,1194535.9999999998
2017-08-08,1214998.4799999997
2017-08-09,1198752.93
2017-08-10,1190457.3299999996
2017-08-11,1189420.38
2017-08-14,1192600.3599999996
2017-08-28,1201452.3999999997
2017-08-29,1201716.6399999997
2017-08-30,1212352.2999999998
2017-08-31,1212418.3599999996
2017-09-01,1213409.2599999998
2017-09-04,1216315.8999999997
2017-09-05,1216580.1399999997
2017-09-06,1209842.0199999998
2017-09-07,1215655.2999999998
2017-09-12,1208125.7199999997
2017-09-13,1206721.8999999997
2017-09-14,1203786.6399999997
2017-09-15,1204488.5499999998
2017-11-08,1222792.7899999998
2017-11-09,1286886.8699999999
2017-11-10,1273144.0699999996
2017-11-13,1266769.7499999998
2017-11-14,1294781.6699999997
2017-11-15,1321390.0699999996
2017-11-16,1330454.4699999997
2017-11-17,1319635.6699999997
2017-11-20,1313495.2699999998
2017-11-21,1350922.4699999997
2017-11-22,1346536.4699999997
2017-11-23,1319109.3499999999
2017-11-24,1333378.4699999997
2017-11-27,1326126.9499999997
2017-11-28,1345074.4699999997
2018-01-04,1385094.2016910159
2018-01-05,1383934.2094680876
2018-01-09,1394374.1394744397
2018-01-10,1379062.24213179
2018-01-11,1386254.1939139436
2018-01-12,1379004.2425206436
2018-01-15,1385384.1997467477
2018-01-16,1389966.1690273134
2018-01-17,1391010.1620279485
2018-01-18,1423953.9411591035
2018-01-19,1406264.0597594518
2018-01-22,1415195.9998759974
2018-01-23,1417573.983933
2018-01-24,1435727.862221823
2018-01-25,1453765.7412883532
2018-01-26,1432653.8828310638
2018-01-29,1452837.7475100108
2018-01-30,1495293.4628691757
2018-01-31,1534153.2023372636
2018-02-01,1526613.2528882315
2018-02-02,1492509.4815341486
2018-02-05,1482765.5468615533
2018-02-06,1501905.4185398652
2018-02-07,1494017.471423955
2018-02-16,1507625.8319503497
2018-02-19,1506835.3047828414
2018-02-20,1508924.5551541133
2018-02-21,1576571.094202332
2018-02-22,1566915.3695134798
2018-02-26,1580918.9936236283
2018-02-27,1570980.9378035225
2018-02-28,1538174.0603519238
2018-03-01,1552855.2791770801
2018-03-02,1541562.0339269603
2018-04-06,1510733.249892433
2018-04-09,1253277.6030697403
2018-04-24,1251874.3541289128
2018-04-25,1237561.2149324722
2018-04-26,1238964.4638732998
2018-04-27,1256982.1802735247
2018-04-28,1261977.7465028707
2018-04-30,1274270.2072245197
2018-05-02,1285664.588624039
2018-05-03,1280107.722818362
2018-05-04,1283026.4806152834
2018-05-07,1290379.5050652195
2018-05-08,1272642.4384531598
2018-05-10,1311933.4087963297
2018-05-11,1323271.660238216
2018-05-14,1334946.6914259007
2018-05-15,1298967.3885830836
2018-05-16,1290042.725319421
2018-05-17,1268993.9912070083
2018-05-18,1247383.957518265
2018-06-22,1271272.7625711034
2018-06-25,1200614.0637547665
2018-06-29,1255317.5699124315
2018-07-02,1272649.943968702
2018-07-03,1257908.7886251628
2018-07-04,1253590.0907706104
2018-07-05,1292976.6152041294
2018-07-06,1305472.0476633012
2018-07-09,1324416.7355852714
2018-07-10,1326144.2147270925
2018-07-11,1310424.1545365213
2018-07-12,1304838.6386446336
2018-07-13,1323552.996014361
2018-07-16,1312842.6253350708
2018-07-17,1281229.7570397465
2018-07-18,1245413.3561659912
2018-08-22,1219442.6582992312
2018-08-23,1160424.247397019
2018-08-30,1125646.674437934
2018-09-03,1120760.7990316167
2018-09-04,1110185.043405284
2018-09-05,1103753.0048957015
2018-09-06,1082354.1075465141
2018-09-07,1081735.6423052081
2018-09-10,1058914.2749010166
2018-09-14,1088977.8998725398
2018-09-17,1085515.6781867596
2018-09-18,1105942.7861328616
2018-09-19,1118926.1174545367
2018-09-20,1103115.3050894747
2018-09-21,1116271.7474954387
2018-09-24,1146912.4094145917
2018-09-25,1128447.2270904316
2018-09-26,1129832.1157647436
2018-09-27,1177783.8861127968
2018-09-28,1173282.9979212827
2018-10-01,1178360.9230604267
2018-10-02,1151240.1865218168
2018-10-03,1144315.7431502566
2018-10-04,1092670.9363373716
2018-11-01,1086165.6181706635
2018-11-02,1108790.3087858516
2018-11-06,1138726.2861901717
2018-11-07,1162329.6529897316
2018-11-08,1168029.0025340156
2018-11-09,1126924.6027903918
2018-11-12,1133084.5058332037
2018-11-13,1131587.7069629875
2018-11-14,1146785.9724144116
2018-11-15,1152255.0452094318
2018-11-16,1147131.3875383076
2018-11-19,1139820.1007491758
2018-11-20,1118058.9479437277
2018-12-04,1110804.0197748886
2018-12-05,1094061.8778467986
2018-12-06,1072799.3575981243
2019-01-04,1095744.3902584328
2019-01-08,1097178.4547997024
2019-01-09,1130219.3018305467
2019-01-10,1128785.2372892774
2019-01-11,1129072.0501975315
2019-01-15,1135955.559995624
2019-01-16,1154655.7616137755
2019-01-17,1166472.4534338345
2019-01-18,1195842.0952390295
2019-01-21,1188557.0473693816
2019-01-22,1193031.3287381416
2019-01-23,1207085.161242581
2019-01-24,1217410.4259397197
2019-01-25,1216263.1743067042
2019-01-28,1203069.7805270266
2019-01-29,1225498.5499524788
2019-01-30,1222802.5086148921
2019-01-31,1250107.0974806596
2019-02-01,1240871.7218348854
2019-02-04,1236340.0778844745
2019-02-05,1249820.2845724057
2019-02-06,1242592.5992844084
2019-02-07,1210584.2787232779
2019-03-20,1222824.168433922
2019-03-21,1227545.268750885
2019-03-25,1247303.9478552109
2019-03-26,1270618.0234945335
2019-03-27,1247886.799746194
2019-03-28,1253540.4630887294
2019-03-29,1249751.9257973395
2019-04-01,1268869.467821584
2019-04-02,1271958.5828437943
2019-04-03,1276737.9683498554
2019-04-04,1292766.3953518895
2019-04-05,1325988.9531379242
2019-04-08,1353965.8439051108
2019-04-09,1387188.4016911455
2019-04-10,1420294.3890989835
2019-04-11,1392200.9279536
2019-04-12,1395931.1800558916
2019-04-15,1386022.6979091794
2019-04-16,1359444.6516803517
2019-04-17,1365622.8817247723
2019-04-18,1356821.818170928
2019-04-19,1355714.39957806
2019-05-23,1318014.1703772952
2019-05-27,1326727.4467597075
2019-05-28,1310931.1198986897
2019-05-29,1312111.6283117905
2019-05-30,1308457.6736998113
2019-05-31,1311212.1933303804
2019-06-03,1348932.2478632734
2019-06-05,1343591.85266115
2019-06-06,1376702.3029143154
2019-06-07,1395759.0815829453
2019-06-10,1399806.5389992916
2019-06-11,1326109.085209988
2019-06-13,1351967.840925533
2019-06-14,1342467.5589343873
2019-06-17,1336846.090300573
2019-08-26,1330755.8083474888
2019-08-27,1327040.736356107
2019-08-28,1329537.751956872
2019-08-29,1349026.6542067423
2019-08-30,1365470.4154800703
2019-09-02,1380574.3147237203
2019-09-03,1364252.3590894535
2019-09-04,1383132.2331440155
2019-09-05,1405605.373550898
2019-09-06,1394825.5744939381
2019-09-09,1394703.7688548763
2019-09-10,1420891.98125314
2019-09-11,1429540.1816265201
2019-09-12,1428626.6393335573
2019-09-13,1419064.8966672146
2019-09-16,1433194.3507983708
2019-09-17,1436665.811511629
2019-09-18,1433072.5451593092
2019-09-19,1431123.654934322
2019-09-20,1412974.61471413
2019-09-23,1398966.9662220355
2019-09-24,1385568.3459252496
2019-10-14,1374079.340668969
2019-10-15,1380094.526667022
2019-10-16,1389718.824263906
2019-10-17,1404756.7892590377
2019-10-18,1417087.9205550458
2019-10-21,1413418.6570962332
2019-10-22,1442472.005466828
2019-10-23,1441268.968267217
2019-10-24,1460577.7153209664
2019-10-25,1443855.4982463801
2019-10-28,1425990.3958321637
2019-10-29,1444517.1687061659
2019-10-30,1440908.0571073343
2019-10-31,1413117.8977963307
2019-11-01,1422200.8286533905
2019-11-05,1435013.1748292425
2019-11-06,1437960.6159682882
2019-11-07,1458893.463241512
2019-11-08,1444878.079866049
2019-11-11,1452878.2772434594
2019-11-12,1443073.524066633
2019-11-13,1427073.1293118133
2019-12-11,1441528.360423891
2019-12-12,1445906.9159059727
2019-12-13,1446866.5992993058
2019-12-16,1448306.1243893052
2019-12-17,1449205.827570555
2019-12-18,1476796.725128878
2019-12-19,1463601.0784705495
2019-12-20,1467859.6735284647
2019-12-23,1492391.5802705388
2019-12-24,1491611.8375134557
2019-12-25,1487833.0841522072
2019-12-26,1489032.6883938736
2019-12-27,1511945.1294096985
2019-12-30,1528079.8064601088
2020-03-27,1465600.0919151157
2020-03-30,1486887.0687822006
2020-03-31,1521092.4781754934
2020-04-01,1501349.2133712887
2020-04-02,1518980.0300894466
2020-04-03,1508336.5416559041
2020-04-06,1549448.031330503
2020-04-07,1605752.8976239758
2020-04-08,1627364.866504298
2020-04-09,1654339.2036030472
2020-04-10,1641177.0270669106
2020-04-13,1610871.521832473
2020-04-14,1603640.449537929
2020-04-15,1511830.205798212
2020-04-16,1531573.470602417
2020-04-17,1558385.3116945468
2020-04-20,1538235.8068737942
2020-04-21,1511667.7097915933
2020-04-22,1545385.6311650288
2020-04-23,1551397.9834099307
2020-04-24,1534904.6387381053
2020-04-27,1534823.390734796
2020-04-28,1566510.112025495
2020-04-29,1590884.51301834
2020-04-30,1602665.4734982152
2020-05-04,1573741.1843200389
2020-05-05,1582353.472670844
2020-05-06,1590072.032985245
2020-05-07,1588528.320922365
2020-05-08,1592671.969091149
2020-05-12,1555135.3915621673
2020-05-13,1521904.9582085882
2020-05-14,1493468.1570502687
2020-05-21,1481304.580667654
2020-05-22,1454359.949440343
2020-05-25,1470526.7281767298
2020-05-26,1493622.1263715676
2020-05-27,1528342.208324474
2020-05-28,1578305.253085974
2020-05-29,1543662.1557937171
2020-06-01,1567989.3085589462
2020-06-02,1632194.515540596
2020-06-03,1705329.9431575835
2020-06-04,1640662.828212037
2020-06-05,1686853.624601713
2020-06-08,1696091.7838796484
2020-06-09,1672457.4930602638
2020-06-10,1636274.702555018
2020-06-11,1604095.114403543
2020-06-15,1596165.694356649
2020-06-16,1599553.0194252252
2020-07-07,1569147.0429435128
2020-07-08,1572426.1188385994
2020-07-09,1558564.5707366422
2020-07-13,1530008.4876686304
2020-07-21,1543169.9001648636
2020-07-22,1550179.782907423
2020-07-23,1540880.9588611708
2020-07-24,1544886.6061426336
2020-07-27,1551538.8418064902
2020-07-28,1541739.3118500558
2020-07-29,1567847.548595301
2020-07-30,1560480.01877404
2020-07-31,1584943.0789572562
2020-08-03,1621780.728063561
2020-08-04,1624928.0223561383
2020-08-05,1619491.7867598683
2020-08-06,1616630.6101302523
2020-08-07,1625786.375345023
2020-08-10,1616559.0807145122
2020-08-11,1664197.6715976167
2020-08-12,1733938.8519445048
2020-08-13,1726714.3809547243
2020-08-14,1716700.262751069
2020-08-17,1701035.3207039218
2020-08-18,1690305.908342862
2020-08-19,1712480.0272223854
2020-08-20,1662981.67153003
2020-08-21,1653968.9651467402
2020-09-16,1650825.7049848514
2020-09-17,1653683.2142229318
2020-09-18,1645396.4374324987
2020-09-21,1616464.1563969348
2020-09-22,1642396.0527325142
2020-09-23,1632537.6458611367
2020-09-24,1630180.2007397204
2020-09-25,1630680.2648563846
2020-09-28,1633466.336363513
2020-09-29,1610963.4511136299
2020-10-22,1610044.4027948328
2020-10-23,1642900.3801918386
2020-10-26,1616860.6778259128
2020-10-27,1590361.4513005887
2020-10-28,1568074.5295697525
2020-10-29,1574584.4551612341
2020-10-30,1539430.8569672348
2020-11-02,1566313.0202920577
2020-11-03,1602309.0794449544
2020-11-05,1659749.59936979
2020-11-06,1665876.5881617726
2020-11-09,1746676.2528560413
2020-11-10,1808329.0775753644
2020-11-11,1870364.839094187
2020-11-12,1854128.3187954333
2020-11-13,1861097.7685463135
2020-11-16,1899391.4484962036
2020-11-17,1881852.943079154
2020-11-18,1858953.32246912
2020-11-19,1840266.0066535731
2020-11-20,1833756.0810620915
2020-11-23,1835900.5271392858
2020-11-24,1894336.6827428183
2020-11-25,1929413.693576918
2020-11-26,1915551.3814350574
2020-11-27,1926962.8980601246
2020-11-30,1911951.7755197678
2020-12-01,1997576.4438877227
2020-12-02,2022467.3358551513
2020-12-03,2015421.298744371
2020-12-04,2067960.227635621
2020-12-07,2101352.316551925
2020-12-08,2110006.6882206006
2020-12-09,2120728.9186065695
2020-12-10,2161396.8067133534
2020-12-11,2173114.6727780197
2020-12-14,2144164.6507359026
2020-12-15,2134591.2307484304
2020-12-16,2131910.6731519382
2020-12-17,2133059.4835504345
2021-01-12,2136743.277278526
2021-01-13,2090990.5591756282
2021-01-14,2098431.8225063733
2021-01-15,2040301.5574770877
2021-01-18,2019009.229728718
2021-01-19,2030797.3696586112
2021-01-20,2018935.5538541563
2021-01-21,2058720.5261175456
2021-01-22,2104031.1889730725
2021-01-25,2125765.571968813
2021-01-26,2096000.5186458328
2021-01-27,2124292.0544775757
2021-01-28,2120902.964247732
2021-01-29,2178738.52577877
2021-02-01,2136816.9531530873
2021-02-02,2141605.8849996068
2021-02-03,2138806.201766257
2021-02-04,2090327.4763045714
2021-02-05,2078613.0122492402
2021-02-08,2052826.4561525988
2021-02-09,2098652.8501300584
2021-02-10,2121345.019495103
2021-02-11,2130186.1244425224
2021-02-12,2120608.2607494844
2021-02-15,2077802.57762906
2021-02-16,2084507.082214187
2021-02-18,2054423.7550856664
2021-02-19,2020955.091911993
2021-02-20,2014774.4880666214
2021-02-22,2038603.32216926
2021-02-24,2025125.1378799547
2021-02-25,2016263.790198036
2021-02-26,2012242.674443216
2021-03-01,2037635.27578384
2021-03-02,2078740.014610892
2021-03-03,2070623.3179946805
2021-03-04,2046347.6932526175
2021-03-05,2066825.5975595724
2021-03-09,2128557.1709067207
2021-03-10,2102122.058074106
2021-03-11,2130120.938144706
2021-03-12,2122153.1717416365
2021-03-15,2180310.419973389
2021-03-16,2177257.3506039884
2021-03-17,2110387.6849034587
2021-03-18,2079856.9912094527
2021-03-19,2126174.287496457
2021-03-22,2149854.1913859537
2021-03-23,2104802.801910653
2021-03-25,2122078.706635066
2021-03-26,2088122.618038806
2021-03-29,2103034.580921169
2021-03-30,2102676.120274958
2021-03-31,2086688.7754539629
2021-04-01,2081096.789373077
2021-04-02,2091563.840242428
2021-04-05,2070629.738503726
2021-04-06,2122821.608591996
2021-04-07,2105041.9605399477
2021-04-08,2105687.1897031274
2021-04-09,2125904.370149408
2021-04-12,2121029.305360943
2021-04-13,2076580.1852308225
2021-04-14,2082100.4791824662
2021-04-15,2106905.955900243
2021-04-16,2072637.1181225053
2021-04-19,2078229.1042033911
2021-04-20,2080379.868080655
2021-04-21,2067260.2084293454
2021-04-22,2046254.4145614011
2021-04-23,2053327.2771887423
2021-04-26,2067893.172500494
2021-04-27,2090512.3272394163
2021-04-28,2090442.2988965716
2021-04-29,2080708.3592411221
2021-04-30,2085120.1448403546
2021-05-04,2126927.065518796
2021-05-05,2142963.556030292
2021-05-06,2204098.299333943
2021-05-07,2226647.4257300203
2021-05-10,2242403.802870136
2021-05-11,2151156.8721431526
2021-05-12,2115162.3039208427
2021-05-13,2148215.681743664
2021-05-14,2129728.1992325946
2021-05-17,2130848.652718114
2021-05-18,2117963.437634642
2021-05-19,2179448.322652517
2021-05-20,2181409.1162521755
2021-05-21,2149826.3336290983
2021-05-24,2153537.8357998813
2021-05-25,2110820.5466644554
