window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":7,""macd_slow"":21,""macd_signal"":14,""allowshort"":false}",4.992,34.51,2.125,7.85
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":14,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",17.907,-20.24,-0.748,33.02
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":11,""macd_slow"":36,""macd_signal"":8,""allowshort"":false}",2.567,42.44,2.491,7.87
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":11,""macd_slow"":31,""macd_signal"":8,""allowshort"":false}",9.46,39.59,1.7,12.09
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":17,""macd_slow"":29,""macd_signal"":6,""allowshort"":true}",9.72,32.87,1.333,8.51
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":18,""macd_slow"":21,""macd_signal"":8,""allowshort"":false}",25.015,-22.82,-0.477,43.08
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",7.499,26.29,1.056,16.92
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",4.963,22.35,0.949,19.44
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",6.158,5.93,0.328,13.99
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":11,""macd_slow"":37,""macd_signal"":5,""allowshort"":false}",4.412,1.59,0.795,2.65
