window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7022300234864176,""allowshort"":true}",4.2,37.03,2.208,4.84
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7022300234864176,""allowshort"":true}",11.191,-8.77,-0.521,11.51
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":231,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.31616568805333756,""cluster_atr_mult"":0.5984557630028188,""confirmation_bars"":1,""cooldown_bars"":15,""retest_window"":29,""cancel_atr_mult"":0.6045673619738694,""allowshort"":false}",3.149,16.99,1.143,8.41
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":226,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.196034762555084,""cluster_atr_mult"":1.193113280576023,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":40,""cancel_atr_mult"":0.5320012560015903,""allowshort"":false}",5.922,6.99,0.369,34.98
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":233,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.31616568805333756,""cluster_atr_mult"":0.5984557630028188,""confirmation_bars"":2,""cooldown_bars"":9,""retest_window"":40,""cancel_atr_mult"":0.6284350697141062,""allowshort"":false}",7.994,2.32,0.214,17.43
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":226,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":1.1924634424867446,""cluster_atr_mult"":1.1884567310116885,""confirmation_bars"":1,""cooldown_bars"":6,""retest_window"":18,""cancel_atr_mult"":0.5212261173590615,""allowshort"":false}",8.268,-61.58,-1.288,63.4
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",3.405,39.79,1.68,12.7
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.4636424704863905,""cluster_atr_mult"":0.46506405886809044,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.0824582803960838,""allowshort"":true}",7.716,-19.19,-1.583,25.68
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":160,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":0.4548633510344595,""cluster_atr_mult"":0.7250897655004813,""confirmation_bars"":2,""cooldown_bars"":8,""retest_window"":20,""cancel_atr_mult"":1.7626024272395542,""allowshort"":true}",30.006,0.27,0.071,3.3
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",3.2,3.8,1.377,2.56
