time,equity
2017-01-03,1000000.0
2017-01-18,995542.2400000001
2017-01-19,1001927.68
2017-01-20,1009096.2400000001
2017-01-23,1004638.4800000001
2017-01-24,1025722.48
2017-01-25,1025782.7200000001
2017-01-26,1047047.4400000001
2017-01-27,1077950.56
2017-01-30,1051926.8800000001
2017-01-31,1037469.28
2017-02-01,1047710.0800000001
2017-02-02,1041264.4000000003
2017-02-03,1047107.68
2017-02-06,1041505.3600000001
2017-02-07,1045119.76
2017-02-08,1031445.28
2017-02-09,1016987.6800000002
2017-02-10,997108.4800000001
2017-02-13,992289.28
2017-02-14,980241.28
2017-02-15,985060.4800000001
2017-02-16,1003072.2400000001
2017-02-17,997048.2400000001
2017-02-20,996747.04
2017-02-21,1006144.4800000001
2017-02-22,999518.0800000001
2017-02-24,997168.72
2017-02-27,969699.28
2017-02-28,939880.4800000001
2017-03-01,963976.4800000001
2017-03-02,984458.0800000001
2017-03-03,990482.0800000001
2017-03-06,976024.4800000001
2017-03-07,969880.0
2017-03-09,941085.28
2017-03-10,948916.4800000001
2017-03-13,957470.5599999999
2017-03-14,948434.5599999999
2017-03-16,954036.88
2017-03-17,970904.0800000001
2017-03-20,986867.6800000002
2017-03-21,981928.0
2017-03-22,981566.5599999999
2017-03-23,988976.0800000001
2017-03-24,991204.9600000001
2017-03-27,980181.04
2017-03-28,986024.3200000001
2017-03-29,983373.76
2017-03-31,962771.6800000002
2017-04-03,974819.6800000002
2017-04-05,1012770.8799999999
2017-04-07,972952.2400000001
2017-04-10,935061.28
2017-04-12,905423.2000000001
2017-04-13,915784.4800000001
2017-04-14,899158.2400000001
2017-04-17,927772.2400000001
2017-04-18,924218.0800000001
2017-04-19,925422.88
2017-04-20,953193.5200000001
2017-04-21,961506.6400000001
2017-04-24,979036.4800000001
2017-04-25,979337.6800000002
2017-04-26,994397.6800000002
2017-04-27,992229.04
2017-04-28,995301.28
2017-05-02,1003975.8400000001
2017-05-03,992349.5200000001
2017-05-05,998915.6800000002
2017-05-10,1029035.6800000003
2017-05-11,1024035.7600000001
2017-05-12,1010361.2799999999
2017-05-15,1032348.88
2017-05-16,1028192.3200000001
2017-05-17,1019638.2400000001
2017-05-18,1003132.4800000001
2017-05-19,1017409.36
2017-05-22,1012349.2000000001
2017-05-23,1001987.9200000002
2017-05-24,998313.28
2017-05-25,988373.6800000002
2017-05-26,968193.28
2017-05-29,987470.0800000001
2017-05-30,973855.84
2017-05-31,939458.8
2017-06-01,921808.4800000001
2017-06-02,946747.84
2017-06-05,932049.28
2017-06-06,920603.6800000002
2017-06-07,920724.16
2017-06-08,915362.8
2017-06-09,904519.6000000001
2017-06-13,879640.4800000001
2017-06-14,861568.4800000001
2017-06-15,837472.4800000001
2017-06-16,853315.6000000001
2017-06-19,873616.4800000001
2017-06-20,873014.0800000001
2017-06-21,864520.2400000001
2017-06-22,869098.4800000001
2017-06-23,868194.88
2017-06-26,870544.2400000001
2017-06-27,886266.88
2017-06-28,876628.4800000001
2017-06-29,866387.6800000002
2017-06-30,877170.6400000001
2017-07-03,888676.4800000001
2017-07-04,900061.84
2017-07-05,897471.5200000001
2017-07-06,905844.88
2017-07-07,916748.3200000001
2017-07-10,933856.4800000001
2017-07-11,945362.3200000001
2017-07-12,969096.88
2017-07-13,963615.04
2017-07-14,972410.0800000001
2017-07-17,975904.0
2017-07-18,974217.28
