window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":43,""rsi_upper"":80,""rsi_window"":13,""allowshort"":true}",2.994,-7.55,-0.183,23.81
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":44,""rsi_upper"":80,""rsi_window"":13,""allowshort"":false}",19.366,-30.71,-0.896,37.01
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",4.542,3.05,0.554,5.05
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":24,""rsi_upper"":56,""rsi_window"":14,""allowshort"":false}",27.779,4.91,0.331,12.25
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":23,""rsi_upper"":81,""rsi_window"":14,""allowshort"":false}",1.722,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":43,""rsi_upper"":80,""rsi_window"":13,""allowshort"":true}",4.586,-53.78,-0.906,66.76
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":22,""rsi_upper"":55,""rsi_window"":22,""allowshort"":true}",0.415,-14.91,-0.743,21.72
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",0.814,-1.9,0.044,20.94
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",0.839,-8.52,-0.224,21.6
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":41,""rsi_upper"":71,""rsi_window"":7,""allowshort"":false}",2.891,10.2,4.193,1.21
