window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,34,129,True,9.608,23.75,1.356,16.74
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,89,167,False,14.618,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,7,104,False,3.392,21.17,1.093,13.61
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,40,141,False,1.606,-0.67,0.037,17.92
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,56,179,True,0.931,0.0,0.0,0.0
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,5,100,False,1.649,3.27,0.448,5.46
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,26,89,True,2.402,0.0,0.0,0.0
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,43,51,True,33.248,3.61,0.3,15.78
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,5,100,False,15.263,-5.37,-0.311,13.31
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,16,142,True,10.34,3.22,1.055,4.94
