window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":145,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.5790335043950412,""cluster_atr_mult"":0.621986143605362,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",1.684,-3.05,-0.236,9.87
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":299,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.6141729448456521,""cluster_atr_mult"":0.8006381551359074,""confirmation_bars"":2,""cooldown_bars"":6,""allowshort"":false}",0.835,8.61,0.487,15.56
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":299,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.1719560906510078,""cluster_atr_mult"":0.796977588508382,""confirmation_bars"":2,""cooldown_bars"":7,""allowshort"":false}",0.359,2.39,0.352,7.14
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":155,""pivot_window"":10,""min_touches"":5,""tolerance_atr_mult"":1.196414878572692,""cluster_atr_mult"":0.9051104511809184,""confirmation_bars"":2,""cooldown_bars"":10,""allowshort"":false}",0.885,0.0,0.0,0.0
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":299,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.172015303528391,""cluster_atr_mult"":0.8190636267710918,""confirmation_bars"":2,""cooldown_bars"":6,""allowshort"":false}",1.007,-9.39,-0.496,20.28
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.0491983767203794,""cluster_atr_mult"":0.4911051996104485,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",0.974,-6.05,-0.665,7.52
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.0491983767203794,""cluster_atr_mult"":0.4911051996104485,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",0.983,91.85,2.295,17.31
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.4763845761772306,""cluster_atr_mult"":0.34070456001948424,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2.201,3.59,0.44,8.43
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":299,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.1730575104519845,""cluster_atr_mult"":0.8079716452834246,""confirmation_bars"":2,""cooldown_bars"":7,""allowshort"":false}",9.339,-27.25,-1.444,35.27
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":127,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":1.1990566574767374,""cluster_atr_mult"":1.1782995903702542,""confirmation_bars"":2,""cooldown_bars"":6,""allowshort"":false}",13.787,-3.63,-0.417,13.45
