time,equity
2017-01-03,1000000.0
2017-01-05,980243.25
2017-01-06,989209.7750000001
2017-01-09,979331.4
2017-01-26,1012264.3
2017-01-27,995648.155
2017-01-30,1005977.1099999999
2017-01-31,1028431.3599999999
2017-02-01,1043251.1649999998
2017-02-02,1032922.21
2017-02-03,1059268.53
2017-02-06,1053580.1199999999
2017-02-07,1059867.31
2017-02-08,1051035.305
2017-02-09,1067352.06
2017-02-10,1038910.0100000001
2017-02-13,1019749.0500000002
2017-02-14,1017952.7099999998
2017-03-21,1023603.7199999999
2017-03-22,1038265.8
2017-03-23,1019174.55
2017-03-24,1012607.1599999997
2017-03-27,997639.6199999998
2017-03-28,1020090.9299999998
2017-03-29,1001457.8699999999
2017-03-30,996570.5099999999
2017-03-31,983282.9999999998
2017-04-03,977631.99
2017-04-07,983434.215
2017-04-10,955910.8400000001
2017-04-11,934338.4650000001
2017-04-27,931956.5450000002
2017-04-28,908286.2150000001
2017-05-02,910519.265
2017-05-03,922279.9950000001
2017-05-04,948481.1150000001
2017-05-05,940739.8750000001
2017-05-10,934933.9450000001
2017-05-11,928532.535
2017-05-16,893101.4750000001
2017-05-17,883722.6650000002
2017-05-18,889677.4650000001
2017-06-21,889370.635
2017-06-22,880165.735
2017-06-23,893973.0850000001
2017-06-26,880625.98
2017-06-27,879245.2450000001
2017-06-28,874796.2100000001
2017-06-29,875870.1150000001
2017-06-30,874182.55
2017-07-03,878324.755
2017-07-04,873875.7200000001
2017-07-05,871267.665
2017-07-06,868352.78
2017-07-07,875563.285
2017-07-10,874489.38
2017-07-11,907780.435
2017-07-12,895967.48
2017-07-13,901337.005
2017-07-14,886762.58
2017-07-17,887836.485
2017-07-18,878631.5850000001
2017-07-19,880932.81
2017-07-21,871421.08
2017-08-02,862764.3049999999
2017-08-03,874208.855
2017-08-04,872448.1549999999
2017-08-07,873621.955
2017-08-08,867019.33
2017-08-09,874355.58
2017-08-10,869513.6549999999
2017-08-11,853960.8049999999
2017-08-14,859976.5299999999
2017-08-15,863791.3799999999
2017-08-16,841049.005
2017-09-04,830174.925
2017-09-05,832178.0449999999
2017-09-06,836041.205
2017-09-07,829459.525
2017-09-08,829888.765
2017-09-11,824737.885
2017-09-12,828887.205
2017-09-14,848489.1649999999
2017-09-15,854784.685
2017-09-18,847058.365
2017-09-19,849633.805
2017-09-20,851350.765
2017-09-22,844196.765
2017-09-25,838616.645
2017-09-27,848059.925
2017-09-28,842765.965
2017-10-02,846342.965
2017-10-03,838187.4049999999
2017-10-16,837907.1749999998
2017-10-17,835385.1049999999
2017-10-18,833703.7249999999
2017-10-19,819692.2249999999
2017-11-03,819135.5649999998
2017-11-07,851421.8449999999
2017-11-08,875497.3899999998
2017-11-09,876749.8749999999
2017-11-10,856153.455
2017-11-13,843906.9349999999
2017-11-14,858101.7649999998
2017-11-15,846133.5749999998
2017-11-16,829433.7749999999
2017-11-17,829712.1049999999
2017-11-20,838757.83
2017-12-13,817505.95
2017-12-14,816247.615
2017-12-15,835821.715
2017-12-18,829110.5949999999
2017-12-19,813171.6849999998
2017-12-20,803804.08
2018-01-12,809673.2162509359
2018-01-15,814564.163126716
2018-01-16,828398.5557182078
2018-01-17,850198.204650256
2018-01-18,869203.026796144
2018-01-19,866408.2000099841
2018-01-22,873954.232332616
2018-01-23,880661.8166193999
2018-01-24,865150.5279562119
2018-01-25,884015.608762792
2018-01-26,889465.5209958038
2018-01-30,858023.7196515038
2018-01-31,829656.2277719799
2018-02-01,833289.502593988
2018-02-02,851595.6180433359
2018-02-05,873395.266975384
2018-02-06,836363.8120587639
2018-02-07,838040.7081304599
2018-02-08,839577.8628628479
2018-02-09,848241.8258999441
2018-02-12,841534.2416131599
2018-02-13,832171.5718795239
2018-02-14,837621.484112536
2018-02-15,838459.9321483839
2018-02-16,843630.36170278
2018-02-19,849778.9806323318
2018-02-20,848661.0499178678
2018-02-21,839857.3455414639
2018-02-22,826721.6596465119
2018-02-26,809114.250893704
2018-02-27,826442.1769678958
2018-03-01,836084.3293801479
2018-03-02,831472.8651829839
2018-03-05,830494.6758078279
2018-03-06,843211.137684856
2018-03-07,844049.5857207039
2018-03-09,828817.7797361319
2018-03-12,834267.6919691438
2018-03-13,823088.384824504
2018-03-14,806302.1744719872
2018-03-15,796419.9699902637
2018-03-16,793306.3987152001
2018-03-19,800646.898334576
2018-03-20,794355.041517968
2018-03-21,791733.434511048
2018-03-22,781640.247534406
2018-03-23,784392.9348916721
2018-03-26,803792.8267428802
2018-03-27,808511.7193553362
2018-03-28,807200.915851876
2018-03-29,790422.6310075881
2018-03-30,793830.7201165842
2018-04-02,801302.3000863061
2018-04-03,807594.156902914
2018-04-04,802219.8625387282
2018-04-05,792782.0773138162
2018-04-06,790160.4703068961
2018-04-09,827125.1291044682
2018-04-10,777707.8370240261
2018-04-12,774824.0693164141
2018-04-13,765741.6498942905
2018-04-16,759601.4226793337
2018-04-17,767020.8638974065
2018-04-18,776231.2047198417
2018-04-19,774696.1479161024
2018-04-20,781348.0607323057
2018-04-23,780324.6895298129
2018-04-26,803222.6201855892
2018-04-27,788895.4233506902
2018-04-28,792605.1439597264
2018-04-30,793500.5937619078
2018-05-02,793116.8295609729
2018-05-03,798361.6069737484
2018-05-04,799896.6637774877
2018-05-07,802327.1703834081
2018-05-10,796186.9431684513
2018-05-11,808467.3975983649
2018-05-14,811537.5112058432
2018-05-15,822027.0660313946
2018-05-16,834051.6776606849
2018-05-17,847995.1102946494
2018-05-18,830214.035651337
2018-05-21,833028.3064581922
2018-05-22,845564.6036887289
2018-05-23,818189.4240220465
2018-05-24,816142.6816170609
2018-05-25,813584.253610829
2018-05-28,808211.5547977416
2018-05-29,815886.8388164376
2018-05-30,823306.2800345104
2018-05-31,836610.1056669168
2018-06-01,822027.0660313944
2018-06-04,810258.2972027272
2018-06-05,809234.9260002344
2018-06-06,813072.5680095825
2018-06-07,790302.5587541177
2018-06-08,819980.323626409
2018-06-09,815247.2318148797
2018-06-11,819852.4022260972
2018-06-13,807955.7119971185
2018-06-14,803094.6987852777
2018-06-15,820492.0092276554
2018-06-18,816782.288618619
2018-06-19,814863.4676139449
2018-06-20,810514.1400033504
2018-06-21,815375.1532151913
2018-06-22,823050.4372338873
2018-06-26,817166.0528195536
2018-06-28,821515.3804301481
2018-06-29,807316.1049955604
2018-07-03,806676.4979940025
2018-07-04,813048.2529361625
2018-07-05,838535.2727048026
2018-07-06,848730.0806122583
2018-07-09,861473.5904965784
2018-07-10,856376.1865428506
2018-07-11,846181.3786353945
2018-07-12,842613.1958677849
2018-07-13,848475.210414572
2018-07-16,853700.0494671431
2018-07-17,851278.7825891225
2018-07-19,833947.6091464473
2018-07-20,839809.6236932345
2018-07-23,839299.8832978616
2018-07-24,829105.0753904057
2018-07-25,817126.1760991449
2018-07-26,808205.719180121
2018-07-27,804382.6662148249
2018-07-30,822871.3175327
2018-07-31,829594.4634664728
2018-08-01,840399.519431465
2018-08-02,818789.407501481
2018-08-03,827193.339918697
2018-08-06,817348.7333728154
2018-08-07,827673.5646282521
2018-08-08,842800.642979241
2018-08-09,844001.2047531288
2018-08-10,866451.7099248345
2018-08-13,870773.7323108313
2018-08-14,888421.9903869848
2018-08-15,881218.619743657
2018-08-16,865491.2605057242
2018-08-17,864410.7549092247
2018-08-20,862489.8560710043
2018-08-21,852885.3618799002
2018-08-22,866811.8784570008
2018-08-23,858648.0583945625
2018-08-24,861529.4066518937
2018-08-27,860568.9572327834
2018-08-28,857207.384265897
2018-08-29,836677.7779324121
2018-08-30,837518.1711741337
2018-08-31,849781.0705229401
2018-09-03,866245.148352356
2018-09-04,867948.328817468
2018-09-05,850802.9788020072
2018-09-06,858864.6996702041
2018-09-07,845125.7105849673
2018-09-10,874306.8692205527
2018-09-11,870900.5082903289
2018-09-12,850462.3427089847
2018-09-13,837972.3526314968
2018-09-14,824346.9089106007
2018-09-17,822984.3645385111
2018-09-18,828888.7234842329
2018-09-19,831727.3575927529
2018-09-20,831159.6307710487
2018-09-21,799366.9287556248
2018-09-24,825936.5440113719
2018-09-26,821281.1840733993
2018-09-27,798572.1112052392
2018-09-28,811402.7373757495
2018-10-01,804135.8340579384
2018-10-02,810607.9198253641
2018-10-03,810267.2837323416
2018-10-04,828775.178119892
2018-10-08,818669.6406935607
2018-10-09,819805.0943369688
2018-10-10,815490.3704920183
2018-10-11,833316.9926935241
2018-10-12,824460.4542749417
2018-10-15,830251.2678563225
2018-10-22,859659.5172205896
2018-10-23,855912.5201973432
2018-10-24,851597.7963523929
2018-10-25,859091.7903988855
2018-10-26,855231.2480112984
2018-10-29,846488.2549570567
2018-10-30,844671.529127604
2018-10-31,809926.6476393192
