window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":10,""macd_slow"":21,""macd_signal"":15,""allowshort"":false}",0.709,-19.62,-1.371,24.69
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":12,""macd_slow"":40,""macd_signal"":12,""allowshort"":true}",0.62,-5.11,-0.112,17.63
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":17,""macd_slow"":34,""macd_signal"":10,""allowshort"":true}",1.497,46.23,1.539,11.11
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",0.235,5.21,0.341,16.31
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":20,""macd_slow"":42,""macd_signal"":12,""allowshort"":false}",3.185,6.05,0.619,13.22
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",7.846,17.09,0.608,30.93
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",1.296,27.75,0.912,22.65
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",2.434,56.92,1.662,14.11
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",4.174,-29.49,-1.131,30.77
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":17,""macd_slow"":26,""macd_signal"":10,""allowshort"":true}",1.272,1.93,0.342,8.39
