time,equity
2017-01-03,1000000.0
2017-09-11,993793.24
2017-09-12,998793.13
2017-09-14,1022413.2999999999
2017-09-15,1029999.3400000001
2017-09-18,1020689.2000000001
2017-09-19,1023792.5800000001
2017-09-20,1025861.5
2017-09-22,1017241.0000000001
2017-09-25,1010517.01
2017-09-27,1021896.0700000002
2017-09-28,1015516.8999999999
2017-10-02,1019827.15
2017-10-03,1009999.78
2017-10-04,1013103.16
2017-10-05,1014654.8499999999
2017-10-06,1019137.51
2017-10-09,1021206.4299999999
2017-10-12,1031378.6199999999
2017-10-16,1031033.7999999999
2017-10-17,1027930.4199999999
2017-10-19,1008620.4999999999
2017-10-20,1006723.99
2017-10-23,990517.4500000001
2017-10-24,993965.65
2017-10-25,977759.11
2017-10-26,979310.7999999999
2017-10-27,996034.5700000001
2017-10-30,993276.01
2017-11-24,1001030.775
2017-11-27,989316.13
2017-11-28,975621.545
2017-11-29,965226.86
2017-11-30,936847.72
2017-12-01,953017.23
2017-12-04,947242.4049999999
2017-12-05,951862.2649999999
2017-12-06,965886.84
2017-12-07,951532.275
2017-12-08,963741.9049999999
2017-12-11,989481.125
2017-12-12,989811.115
2017-12-13,964731.875
2017-12-14,963246.92
2017-12-15,986346.22
2017-12-18,978426.46
2017-12-19,959617.0299999999
2017-12-20,948562.365
2017-12-21,936352.735
2017-12-22,940147.6199999999
2017-12-25,936022.7449999999
2017-12-26,923978.11
2017-12-27,927443.005
2017-12-28,927937.99
2018-01-22,936020.0143939834
2018-01-23,943204.0360775242
2018-01-24,926590.9859343361
2018-01-25,946796.0469192946
2018-01-26,952633.0645371715
2018-01-30,918957.9628955739
2018-01-31,888575.5378589326
2018-02-01,892466.8829375174
2018-02-02,912073.2754488474
2018-02-05,935421.345920355
2018-02-06,895759.5595424735
2018-02-07,893963.5541215882
2018-02-08,892317.2158191102
2018-02-09,883037.85447787
2018-02-12,890221.8761614107
2018-02-13,900249.5730946864
2018-02-14,894412.5554768095
2018-02-15,893514.552766367
2018-02-16,887976.8693853043
2018-02-19,881391.516175392
2018-02-20,882588.8531226487
2018-02-21,892017.881582296
2018-02-22,906086.5907125635
2018-02-26,924944.6476318579
2018-02-27,906385.9249493777
2018-03-01,896058.8937792877
2018-03-02,900997.908686722
2018-03-05,902045.5785155717
2018-03-06,888425.8707405255
2018-03-07,887527.8680300829
2018-03-09,903841.5839364569
2018-03-12,898004.56631858
2018-03-13,909977.935791148
2018-03-14,891419.2131086675
2018-03-15,902344.9127523858
2018-03-16,905787.2564757493
2018-03-19,914168.6151065467
2018-03-20,906984.593423006
2018-03-21,903991.251054864
2018-03-23,895609.8924240664
2018-03-26,873459.1588998155
2018-03-27,868071.14263716
2018-03-28,869567.813821231
2018-03-29,888725.2049773397
2018-03-30,884833.8598987552
2018-04-02,876302.8341495504
2018-04-03,869118.8124660098
2018-04-04,875255.1643207007
2018-04-05,886031.196846012
2018-04-06,889024.5392141539
2018-04-09,846818.4118233518
2018-04-10,903242.9154628285
2018-04-12,906535.5920677846
2018-04-13,895909.2266608805
2018-04-17,897405.8978449516
2018-04-18,908181.9303702628
2018-04-23,912971.2781592901
2018-04-26,939761.6923541611
2018-04-27,922998.9750925658
2018-04-28,927339.3215263715
2018-04-30,928386.9913552214
2018-05-03,934074.341854691
2018-05-04,935870.3472755763
2018-05-07,938714.0225253111
2018-05-10,931530.0008417703
2018-05-11,945898.0442088521
2018-05-14,949490.0550506224
2018-05-15,961762.7587600047
2018-05-16,975831.467890272
2018-05-17,992145.1837966461
2018-05-18,971341.4543380592
2018-05-21,974634.1309430151
2018-05-22,989301.5085469108
2018-05-23,957272.7452077916
2018-05-24,954878.071313278
2018-05-25,951884.728945136
2018-05-28,945598.7099720377
2018-05-29,936618.6828676118
2018-05-31,912372.6096856616
2018-06-01,929434.661184071
2018-06-05,944401.3730247811
2018-06-06,939911.359472568
2018-06-07,966552.1065490317
2018-06-08,931829.3350785845
2018-06-09,937367.0184596473
2018-06-11,931979.0021969917
2018-06-14,951585.3947083218
2018-06-15,931230.6666049563
2018-06-18,935571.0130387621
2018-06-19,937816.0198148685
2018-06-20,942904.70184071
2018-06-21,937217.3513412401
2018-06-22,928237.3242368144
2018-06-26,935122.0116835408
2018-06-28,930033.3296576993
2018-06-29,946646.3798008874
2018-07-03,947394.7153929229
2018-07-05,984811.494994698
2018-07-06,996784.8644672659
2018-07-09,1011751.5763079758
2018-07-10,1005764.8915716921
2018-07-11,993791.5220991242
2018-07-12,989600.8427837252
2018-07-13,996485.5302304518
2018-07-16,1002621.8820851429
2018-07-17,999778.206835408
2018-07-19,979423.4787320424
2018-07-20,986308.166178769
2018-07-23,985709.4977051405
2018-07-24,973736.1282325727
2018-07-25,987804.83736284
2018-07-26,998281.535651337
2018-07-27,1002771.5492035501
2018-07-30,1025820.2854382435
2018-07-31,1034201.644069041
2018-08-01,1047671.68472568
2018-08-02,1020731.603412402
2018-08-03,1031208.3017008991
