window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":203,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":0.9623258550125454,""cluster_atr_mult"":0.5984557630028188,""confirmation_bars"":2,""cooldown_bars"":15,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",2.308,-7.21,-0.813,10.41
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.0767930832880341,""cluster_atr_mult"":0.8609683141448021,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.150366644053494,""allowshort"":true}",0.855,21.54,1.035,11.11
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0066583652537122,""cluster_atr_mult"":0.47970640394252373,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7150897038028767,""allowshort"":true}",0.804,-9.77,-0.25,27.65
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":231,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6180565244942645,""cluster_atr_mult"":0.31350932273851206,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":17,""cancel_atr_mult"":0.6545996352073894,""allowshort"":false}",2.191,2.37,0.25,11.77
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.5741523922560337,""cluster_atr_mult"":0.38790490260574545,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.4903538202225404,""allowshort"":false}",8.043,-7.31,-0.318,22.31
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":212,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.8710067588992013,""cluster_atr_mult"":0.6273249663572709,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":30,""cancel_atr_mult"":0.9101975907877075,""allowshort"":true}",0.59,-14.74,-0.988,20.59
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",0.607,115.31,2.652,17.31
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.4636424704863905,""cluster_atr_mult"":0.46506405886809044,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.0824582803960838,""allowshort"":true}",2.892,-0.34,-0.047,3.22
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7680612190600297,""cluster_atr_mult"":0.7920392514089516,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.3789978831283785,""allowshort"":true}",11.548,-16.84,-0.942,20.18
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.9419203085006955,""cluster_atr_mult"":0.9847065437552076,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5454656587639881,""allowshort"":true}",10.274,-6.07,-1.209,11.88
